level,method,seed,pool,subset,metric,value
single_model,PDRF,102,none,affected,accuracy,0.4730878186968839
single_model,PDRF,102,none,affected,macro_f1,0.4701063658425862
single_model,PDRF,102,none,affected,macro_auroc,0.791374997845716
single_model,PDRF,102,none,affected,macro_auprc,0.5168700212291618
single_model,PDRF,102,none,affected,nll,2.972361509788541
single_model,PDRF,102,none,unaffected,accuracy,0.590227010388611
single_model,PDRF,102,none,unaffected,macro_f1,0.5581886586209551
single_model,PDRF,102,none,unaffected,macro_auroc,0.8706199633578539
single_model,PDRF,102,none,unaffected,macro_auprc,0.6466587729258234
single_model,PDRF,102,none,unaffected,nll,1.7432254920584025
single_model,PDRF,103,none,all,accuracy,0.536205316223648
single_model,PDRF,103,none,all,macro_f1,0.5271684352837971
single_model,PDRF,103,none,all,macro_auroc,0.8267207785201919
single_model,PDRF,103,none,all,macro_auprc,0.5607769256056069
single_model,PDRF,103,none,all,nll,2.708934593397223
single_model,PDRF,103,none,affected,accuracy,0.46175637393767704
single_model,PDRF,103,none,affected,macro_f1,0.45819513877127505
single_model,PDRF,103,none,affected,macro_auroc,0.7748640129220209
single_model,PDRF,103,none,affected,macro_auprc,0.4852526387292024
single_model,PDRF,103,none,affected,nll,3.8401873442886396
single_model,PDRF,103,none,unaffected,accuracy,0.5867641400538669
single_model,PDRF,103,none,unaffected,macro_f1,0.5714721248824718
single_model,PDRF,103,none,unaffected,macro_auroc,0.8666891186886266
single_model,PDRF,103,none,unaffected,macro_auprc,0.625770783280464
single_model,PDRF,103,none,unaffected,nll,1.9406925367125938
single_model,PDRF,104,none,all,accuracy,0.5403299725022914
single_model,PDRF,104,none,all,macro_f1,0.526133655773121
single_model,PDRF,104,none,all,macro_auroc,0.825092755649386
single_model,PDRF,104,none,all,macro_auprc,0.5540563952181545
single_model,PDRF,104,none,all,nll,2.5182175636398227
single_model,PDRF,104,none,affected,accuracy,0.46912181303116146
single_model,PDRF,104,none,affected,macro_f1,0.46648051270358004
single_model,PDRF,104,none,affected,macro_auroc,0.7792017107827597
single_model,PDRF,104,none,affected,macro_auprc,0.48263676789553167
single_model,PDRF,104,none,affected,nll,3.310529487995887
single_model,PDRF,104,none,unaffected,accuracy,0.5886879569065026
single_model,PDRF,104,none,unaffected,macro_f1,0.5632619862235199
single_model,PDRF,104,none,unaffected,macro_auroc,0.8619155237942452
single_model,PDRF,104,none,unaffected,macro_auprc,0.6333494027899585
single_model,PDRF,104,none,unaffected,nll,1.9801527131248347
single_model,PDRF,105,none,all,accuracy,0.537121906507791
single_model,PDRF,105,none,all,macro_f1,0.528238791357546
single_model,PDRF,105,none,all,macro_auroc,0.8354960431746993
single_model,PDRF,105,none,all,macro_auprc,0.5972655532180083
single_model,PDRF,105,none,all,nll,1.9381290285554174
single_model,PDRF,105,none,affected,accuracy,0.4679886685552408
single_model,PDRF,105,none,affected,macro_f1,0.4653120292873358
single_model,PDRF,105,none,affected,macro_auroc,0.79504493338783
single_model,PDRF,105,none,affected,macro_auprc,0.5349117741792565
single_model,PDRF,105,none,affected,nll,2.5798884194521694
single_model,PDRF,105,none,unaffected,accuracy,0.584070796460177
single_model,PDRF,105,none,unaffected,macro_f1,0.5672349784247972
single_model,PDRF,105,none,unaffected,macro_auroc,0.8661538429273877
single_model,PDRF,105,none,unaffected,macro_auprc,0.647247192767482
single_model,PDRF,105,none,unaffected,nll,1.502305509920263
single_model,PDRF,106,none,all,accuracy,0.5478918423464711
single_model,PDRF,106,none,all,macro_f1,0.5325646171258636
single_model,PDRF,106,none,all,macro_auroc,0.8385260162311727
single_model,PDRF,106,none,all,macro_auprc,0.5909512374873209
single_model,PDRF,106,none,all,nll,2.6132478911367056
single_model,PDRF,106,none,affected,accuracy,0.4810198300283286
single_model,PDRF,106,none,affected,macro_f1,0.47291716008094054
single_model,PDRF,106,none,affected,macro_auroc,0.7988684231246591
single_model,PDRF,106,none,affected,macro_auprc,0.523525115831957
single_model,PDRF,106,none,affected,nll,3.4517448333424094
single_model,PDRF,106,none,unaffected,accuracy,0.593305117352828
single_model,PDRF,106,none,unaffected,macro_f1,0.5697139130266874
single_model,PDRF,106,none,unaffected,macro_auroc,0.8689489531453779
single_model,PDRF,106,none,unaffected,macro_auprc,0.648211141949934
single_model,PDRF,106,none,unaffected,nll,2.0438184555872385
single_model,PDRF,107,none,all,accuracy,0.5439963336388635
single_model,PDRF,107,none,all,macro_f1,0.5322446231382008
single_model,PDRF,107,none,all,macro_auroc,0.8321350340934136
single_model,PDRF,107,none,all,macro_auprc,0.5831948831737154
single_model,PDRF,107,none,all,nll,2.118029705842461
single_model,PDRF,107,none,affected,accuracy,0.4668555240793201
single_model,PDRF,107,none,affected,macro_f1,0.4628436203859274
single_model,PDRF,107,none,affected,macro_auroc,0.7878006887136042
single_model,PDRF,107,none,affected,macro_auprc,0.514487748515661
single_model,PDRF,107,none,affected,nll,2.905149286839712
single_model,PDRF,107,none,unaffected,accuracy,0.596383224317045
single_model,PDRF,107,none,unaffected,macro_f1,0.5761846432154275
single_model,PDRF,107,none,unaffected,macro_auroc,0.867402732150209
single_model,PDRF,107,none,unaffected,macro_auprc,0.6481408649707191
single_model,PDRF,107,none,unaffected,nll,1.5834910138608718
single_model,PDRF,108,none,all,accuracy,0.574243813015582
single_model,PDRF,108,none,all,macro_f1,0.5549080766663433
single_model,PDRF,108,none,all,macro_auroc,0.8383007157977804
single_model,PDRF,108,none,all,macro_auprc,0.5850838837448454
single_model,PDRF,108,none,all,nll,2.2994571661882652
single_model,PDRF,108,none,affected,accuracy,0.5042492917847026
single_model,PDRF,108,none,affected,macro_f1,0.5028899716976313
single_model,PDRF,108,none,affected,macro_auroc,0.8012143203535232
single_model,PDRF,108,none,affected,macro_auprc,0.5222365752856021
single_model,PDRF,108,none,affected,nll,2.8289582276207628
single_model,PDRF,108,none,unaffected,accuracy,0.6217776067718354
single_model,PDRF,108,none,unaffected,macro_f1,0.5866527074782611
single_model,PDRF,108,none,unaffected,macro_auroc,0.8655812574026651
single_model,PDRF,108,none,unaffected,macro_auprc,0.6411033819035818
single_model,PDRF,108,none,unaffected,nll,1.9398691040765466
single_model,PDRF,109,none,all,accuracy,0.5735563703024747
single_model,PDRF,109,none,all,macro_f1,0.5567086071661868
single_model,PDRF,109,none,all,macro_auroc,0.8395698146369518
single_model,PDRF,109,none,all,macro_auprc,0.5895626271656097
single_model,PDRF,109,none,all,nll,2.5025433217829884
single_model,PDRF,109,none,affected,accuracy,0.4912181303116147
single_model,PDRF,109,none,affected,macro_f1,0.48660424356086435
single_model,PDRF,109,none,affected,macro_auroc,0.799350450924836
single_model,PDRF,109,none,affected,macro_auprc,0.5203530205442123
single_model,PDRF,109,none,affected,nll,3.2571563965095844
single_model,PDRF,109,none,unaffected,accuracy,0.6294728741823779
single_model,PDRF,109,none,unaffected,macro_f1,0.5971796348941129
single_model,PDRF,109,none,unaffected,macro_auroc,0.8706337448382788
single_model,PDRF,109,none,unaffected,macro_auprc,0.6509787985677559
single_model,PDRF,109,none,unaffected,nll,1.9900800370994791
single_model,PDRF,110,none,all,accuracy,0.5540788267644363
single_model,PDRF,110,none,all,macro_f1,0.5330663669074033
single_model,PDRF,110,none,all,macro_auroc,0.8245038949439051
single_model,PDRF,110,none,all,macro_auprc,0.5605531429898928
single_model,PDRF,110,none,all,nll,2.4314746198701283
single_model,PDRF,110,none,affected,accuracy,0.4651558073654391
single_model,PDRF,110,none,affected,macro_f1,0.4582439349253897
single_model,PDRF,110,none,affected,macro_auroc,0.7782830694776667
single_model,PDRF,110,none,affected,macro_auprc,0.47532036512128184
single_model,PDRF,110,none,affected,nll,3.1076070596988297
single_model,PDRF,110,none,unaffected,accuracy,0.6144671027318199
single_model,PDRF,110,none,unaffected,macro_f1,0.5807502487426371
single_model,PDRF,110,none,unaffected,macro_auroc,0.8587659204032997
single_model,PDRF,110,none,unaffected,macro_auprc,0.6325327448602379
single_model,PDRF,110,none,unaffected,nll,1.9723081110984246
single_model,PDRF_AUC,101,none,all,accuracy,0.5527039413382218
single_model,PDRF_AUC,101,none,all,macro_f1,0.5346088599692691
single_model,PDRF_AUC,101,none,all,macro_auroc,0.8427342876290722
single_model,PDRF_AUC,101,none,all,macro_auprc,0.5924980685531398
single_model,PDRF_AUC,101,none,all,nll,2.026513113442678
single_model,PDRF_AUC,101,none,affected,accuracy,0.4878186968838527
single_model,PDRF_AUC,101,none,affected,macro_f1,0.4759954437233762
single_model,PDRF_AUC,101,none,affected,macro_auroc,0.8036846111576256
single_model,PDRF_AUC,101,none,affected,macro_auprc,0.5184822200380557
