seed,model,stress_type,level,metric,value
12,EF,missingness,1.0,aurc,0.1770321428571429
12,EF,missingness,1.5,auroc,0.7837546823984568
12,EF,missingness,1.5,ece,0.03320809007187685
12,EF,missingness,1.5,nll,0.5629185121712876
12,EF,missingness,1.5,aurc,0.1749280423280423
12,EF,missingness,2.0,auroc,0.7685578903062733
12,EF,missingness,2.0,ece,0.042053821732600534
12,EF,missingness,2.0,nll,0.5810851540843417
12,EF,missingness,2.0,aurc,0.18939907407407405
12,EF,sensor_noise,0.0,auroc,0.7809348870307773
12,EF,sensor_noise,0.0,ece,0.022434941722700993
12,EF,sensor_noise,0.0,nll,0.564561676065757
12,EF,sensor_noise,0.0,aurc,0.17618611111111113
12,EF,sensor_noise,0.5,auroc,0.772848821910404
12,EF,sensor_noise,0.5,ece,0.022540390799442932
12,EF,sensor_noise,0.5,nll,0.5684909912489754
12,EF,sensor_noise,0.5,aurc,0.17911177248677249
12,EF,sensor_noise,1.0,auroc,0.7872882124490537
12,EF,sensor_noise,1.0,ece,0.03028789799412091
12,EF,sensor_noise,1.0,nll,0.556578268820892
12,EF,sensor_noise,1.0,aurc,0.1689201058201058
12,EF,sensor_noise,1.5,auroc,0.7864807577517234
12,EF,sensor_noise,1.5,ece,0.025518716165175044
12,EF,sensor_noise,1.5,nll,0.5548116626263241
12,EF,sensor_noise,1.5,aurc,0.1660339947089947
12,EF,sensor_noise,2.0,auroc,0.7737589916942289
12,EF,sensor_noise,2.0,ece,0.01761226014172037
12,EF,sensor_noise,2.0,nll,0.5706581591441678
12,EF,sensor_noise,2.0,aurc,0.18222830687830688
12,EF,sensor_noise,3.0,auroc,0.7595153425523319
12,EF,sensor_noise,3.0,ece,0.02569422960281372
12,EF,sensor_noise,3.0,nll,0.5840455314053178
12,EF,sensor_noise,3.0,aurc,0.1959223544973545
12,MD,missingness,0.5,auroc,0.7905908356983833
12,MD,missingness,0.5,ece,0.05226861231774092
12,MD,missingness,0.5,nll,0.5549944926963204
12,MD,missingness,0.5,aurc,0.15950873015873016
12,MD,missingness,1.0,auroc,0.7824092389120463
12,MD,missingness,1.0,ece,0.04697890005757412
12,MD,missingness,1.0,nll,0.5665336567837256
12,MD,missingness,1.0,aurc,0.17158796296296297
12,MD,missingness,1.5,auroc,0.7879663918234592
12,MD,missingness,1.5,ece,0.024801008651653928
12,MD,missingness,1.5,nll,0.5566664459438974
12,MD,missingness,1.5,aurc,0.1698482804232804
12,MD,missingness,2.0,auroc,0.7773186501380717
12,MD,missingness,2.0,ece,0.0364012938439846
12,MD,missingness,2.0,nll,0.5722933016869333
12,MD,missingness,2.0,aurc,0.18209748677248677
12,MD,sensor_noise,0.0,auroc,0.7832841131471269
12,MD,sensor_noise,0.0,ece,0.03402095093826453
12,MD,sensor_noise,0.0,nll,0.5655737424743351
12,MD,sensor_noise,0.0,aurc,0.17435264550264548
12,MD,sensor_noise,0.5,auroc,0.7785081324808513
12,MD,sensor_noise,0.5,ece,0.03347783324743311
12,MD,sensor_noise,0.5,nll,0.567577263254762
12,MD,sensor_noise,0.5,aurc,0.17520661375661375
12,MD,sensor_noise,1.0,auroc,0.7911876551508297
12,MD,sensor_noise,1.0,ece,0.033802194923162464
12,MD,sensor_noise,1.0,nll,0.5546698992674788
12,MD,sensor_noise,1.0,aurc,0.16654391534391533
12,MD,sensor_noise,1.5,auroc,0.7908595820560651
12,MD,sensor_noise,1.5,ece,0.03186737078987062
12,MD,sensor_noise,1.5,nll,0.5520463224847476
12,MD,sensor_noise,1.5,aurc,0.16119642857142857
12,MD,sensor_noise,2.0,auroc,0.7811161860944468
12,MD,sensor_noise,2.0,ece,0.03218891075874368
12,MD,sensor_noise,2.0,nll,0.565297518658523
12,MD,sensor_noise,2.0,aurc,0.17505701058201056
12,MD,sensor_noise,3.0,auroc,0.7694748122043504
12,MD,sensor_noise,3.0,ece,0.03451901041467985
12,MD,sensor_noise,3.0,nll,0.5793758623300292
12,MD,sensor_noise,3.0,aurc,0.18586468253968255
12,UF,missingness,0.5,auroc,0.7927447204262069
12,UF,missingness,0.5,ece,0.035204519577324386
12,UF,missingness,0.5,nll,0.5470447934505699
12,UF,missingness,0.5,aurc,0.1559611111111111
12,UF,missingness,1.0,auroc,0.7835453239177268
12,UF,missingness,1.0,ece,0.031744673701003194
12,UF,missingness,1.0,nll,0.5615083395346001
12,UF,missingness,1.0,aurc,0.17190304232804235
12,UF,missingness,1.5,auroc,0.7882304586123179
12,UF,missingness,1.5,ece,0.025812997921059528
12,UF,missingness,1.5,nll,0.5564224593848919
12,UF,missingness,1.5,aurc,0.16782182539682539
12,UF,missingness,2.0,auroc,0.778328019808713
12,UF,missingness,2.0,ece,0.018682475229104357
12,UF,missingness,2.0,nll,0.5699651435881218
12,UF,missingness,2.0,aurc,0.18156084656084656
12,UF,sensor_noise,0.0,auroc,0.7889895036470379
12,UF,sensor_noise,0.0,ece,0.021371293808023138
12,UF,sensor_noise,0.0,nll,0.554024541223117
