seed,method,fault_type,subset,metric,value,n,inference_ms_per_observation
101,RO-CAGF,stuck_at,unaffected,macro_auprc,0.6289295206669775,2599,0.00127699358402013
101,RO-CAGF,stuck_at,unaffected,nll,1.4649781992641315,2599,0.00127699358402013
101,RO-CAGF,stuck_at,unaffected,brier,0.5926470503047551,2599,0.00127699358402013
101,RO-CAGF,stuck_at,unaffected,ece15,0.15944928192275906,2599,0.00127699358402013
101,RO-CAGF,stuck_at,all,accuracy,0.5675985334555453,4364,0.00127699358402013
101,RO-CAGF,stuck_at,all,macro_f1,0.5392168730931437,4364,0.00127699358402013
101,RO-CAGF,stuck_at,all,macro_auroc,0.8480788553454236,4364,0.00127699358402013
101,RO-CAGF,stuck_at,all,macro_auprc,0.6174741693369493,4364,0.00127699358402013
101,RO-CAGF,stuck_at,all,nll,1.5243488419604592,4364,0.00127699358402013
101,RO-CAGF,stuck_at,all,brier,0.6106372164366606,4364,0.00127699358402013
101,RO-CAGF,stuck_at,all,ece15,0.167997457431911,4364,0.00127699358402013
101,RO-PDRF-Full,gaussian,fault_applied_available,accuracy,0.4972144846796657,1436,0.0014353803907223147
101,RO-PDRF-Full,gaussian,fault_applied_available,macro_f1,0.4793654166266597,1436,0.0014353803907223147
101,RO-PDRF-Full,gaussian,fault_applied_available,macro_auroc,0.806286302719133,1436,0.0014353803907223147
101,RO-PDRF-Full,gaussian,fault_applied_available,macro_auprc,0.5056329751283729,1436,0.0014353803907223147
101,RO-PDRF-Full,gaussian,fault_applied_available,nll,2.0834497216973076,1436,0.0014353803907223147
101,RO-PDRF-Full,gaussian,fault_applied_available,brier,0.7606215472462377,1436,0.0014353803907223147
101,RO-PDRF-Full,gaussian,fault_applied_available,ece15,0.2811105255566766,1436,0.0014353803907223147
101,RO-PDRF-Full,gaussian,assigned,accuracy,0.5053824362606232,1765,0.0014353803907223147
101,RO-PDRF-Full,gaussian,assigned,macro_f1,0.4877024254917412,1765,0.0014353803907223147
101,RO-PDRF-Full,gaussian,assigned,macro_auroc,0.8119293282590213,1765,0.0014353803907223147
101,RO-PDRF-Full,gaussian,assigned,macro_auprc,0.5228121370600145,1765,0.0014353803907223147
101,RO-PDRF-Full,gaussian,assigned,nll,2.084731390430605,1765,0.0014353803907223147
101,RO-PDRF-Full,gaussian,assigned,brier,0.7553651255929517,1765,0.0014353803907223147
101,RO-PDRF-Full,gaussian,assigned,ece15,0.284277793461135,1765,0.0014353803907223147
101,RO-PDRF-Full,gaussian,unaffected,accuracy,0.5852250865717584,2599,0.0014353803907223147
101,RO-PDRF-Full,gaussian,unaffected,macro_f1,0.5587407928915825,2599,0.0014353803907223147
101,RO-PDRF-Full,gaussian,unaffected,macro_auroc,0.8653044915946438,2599,0.0014353803907223147
101,RO-PDRF-Full,gaussian,unaffected,macro_auprc,0.6328965083851467,2599,0.0014353803907223147
101,RO-PDRF-Full,gaussian,unaffected,nll,1.5792013470476203,2599,0.0014353803907223147
101,RO-PDRF-Full,gaussian,unaffected,brier,0.6223091954199705,2599,0.0014353803907223147
101,RO-PDRF-Full,gaussian,unaffected,ece15,0.2146409492898143,2599,0.0014353803907223147
101,RO-PDRF-Full,gaussian,all,accuracy,0.5529330889092575,4364,0.0014353803907223147
101,RO-PDRF-Full,gaussian,all,macro_f1,0.5313352668990738,4364,0.0014353803907223147
101,RO-PDRF-Full,gaussian,all,macro_auroc,0.843282493548382,4364,0.0014353803907223147
101,RO-PDRF-Full,gaussian,all,macro_auprc,0.5824545443917192,4364,0.0014353803907223147
101,RO-PDRF-Full,gaussian,all,nll,1.7836606794424341,4364,0.0014353803907223147
101,RO-PDRF-Full,gaussian,all,brier,0.6761230626874571,4364,0.0014353803907223147
101,RO-PDRF-Full,gaussian,all,ece15,0.24273581896745539,4364,0.0014353803907223147
101,RO-PDRF-Full,offset,fault_applied_available,accuracy,0.4777158774373259,1436,0.0011363886308486681
101,RO-PDRF-Full,offset,fault_applied_available,macro_f1,0.4607845325292139,1436,0.0011363886308486681
101,RO-PDRF-Full,offset,fault_applied_available,macro_auroc,0.8290092612130415,1436,0.0011363886308486681
101,RO-PDRF-Full,offset,fault_applied_available,macro_auprc,0.5564219975091577,1436,0.0011363886308486681
101,RO-PDRF-Full,offset,fault_applied_available,nll,2.2349991726379588,1436,0.0011363886308486681
101,RO-PDRF-Full,offset,fault_applied_available,brier,0.7928259315746486,1436,0.0011363886308486681
101,RO-PDRF-Full,offset,fault_applied_available,ece15,0.3119977821795721,1436,0.0011363886308486681
101,RO-PDRF-Full,offset,assigned,accuracy,0.48951841359773374,1765,0.0011363886308486681
101,RO-PDRF-Full,offset,assigned,macro_f1,0.474088901590107,1765,0.0011363886308486681
101,RO-PDRF-Full,offset,assigned,macro_auroc,0.8303967987546637,1765,0.0011363886308486681
101,RO-PDRF-Full,offset,assigned,macro_auprc,0.5651751311363292,1765,0.0011363886308486681
101,RO-PDRF-Full,offset,assigned,nll,2.208031680261072,1765,0.0011363886308486681
101,RO-PDRF-Full,offset,assigned,brier,0.7815665396981064,1765,0.0011363886308486681
101,RO-PDRF-Full,offset,assigned,ece15,0.30940761981537257,1765,0.0011363886308486681
101,RO-PDRF-Full,offset,unaffected,accuracy,0.5852250865717584,2599,0.0011363886308486681
101,RO-PDRF-Full,offset,unaffected,macro_f1,0.5587407928915825,2599,0.0011363886308486681
101,RO-PDRF-Full,offset,unaffected,macro_auroc,0.8653044915946438,2599,0.0011363886308486681
101,RO-PDRF-Full,offset,unaffected,macro_auprc,0.6328965083851467,2599,0.0011363886308486681
101,RO-PDRF-Full,offset,unaffected,nll,1.5792013470476203,2599,0.0011363886308486681
101,RO-PDRF-Full,offset,unaffected,brier,0.6223091954199705,2599,0.0011363886308486681
101,RO-PDRF-Full,offset,unaffected,ece15,0.2146409492898143,2599,0.0011363886308486681
101,RO-PDRF-Full,offset,all,accuracy,0.5465169569202566,4364,0.0011363886308486681
101,RO-PDRF-Full,offset,all,macro_f1,0.5256881621335827,4364,0.0011363886308486681
101,RO-PDRF-Full,offset,all,macro_auroc,0.8470965680333804,4364,0.0011363886308486681
101,RO-PDRF-Full,offset,all,macro_auprc,0.5959505665980979,4364,0.0011363886308486681
101,RO-PDRF-Full,offset,all,nll,1.8335289222359208,4364,0.0011363886308486681
101,RO-PDRF-Full,offset,all,brier,0.6867201057432771,4364,0.0011363886308486681
101,RO-PDRF-Full,offset,all,ece15,0.2528994941621281,4364,0.0011363886308486681
101,RO-PDRF-Full,drift,fault_applied_available,accuracy,0.504874651810585,1436,0.0011117552727948291
101,RO-PDRF-Full,drift,fault_applied_available,macro_f1,0.48975549283287645,1436,0.0011117552727948291
101,RO-PDRF-Full,drift,fault_applied_available,macro_auroc,0.8320719436347925,1436,0.0011117552727948291
101,RO-PDRF-Full,drift,fault_applied_available,macro_auprc,0.5698807508081282,1436,0.0011117552727948291
101,RO-PDRF-Full,drift,fault_applied_available,nll,2.103912617141143,1436,0.0011117552727948291
101,RO-PDRF-Full,drift,fault_applied_available,brier,0.7605729191311595,1436,0.0011117552727948291
101,RO-PDRF-Full,drift,fault_applied_available,ece15,0.2887252530804252,1436,0.0011117552727948291
101,RO-PDRF-Full,drift,assigned,accuracy,0.511614730878187,1765,0.0011117552727948291
101,RO-PDRF-Full,drift,assigned,macro_f1,0.49683416011978015,1765,0.0011117552727948291
101,RO-PDRF-Full,drift,assigned,macro_auroc,0.8336043289740198,1765,0.0011117552727948291
101,RO-PDRF-Full,drift,assigned,macro_auprc,0.5781718688933003,1765,0.0011117552727948291
