building,method,alpha,threshold,empirical_coverage,mean_set_size,singleton_rate,singleton_accuracy,empty_rate
hospital,PDRF-NOQ,0.2,0.04944562911987305,0.8629566331980346,0.8893398846400342,0.8893398846400342,0.9703338938265674,0.11066011535996582
hospital,RC-PDRF-NOQ,0.05,0.14354389905929565,0.9449903866695151,0.9731894894253365,0.9731894894253365,0.9710240368784985,0.026810510574663535
hospital,RC-PDRF-NOQ,0.1,0.052628517150878795,0.8745994445631275,0.9016235847041231,0.9016235847041231,0.9700272479564033,0.09837641529587694
hospital,RC-PDRF-NOQ,0.2,0.03003108501434315,0.82685323648793,0.8506729331339458,0.8506729331339458,0.9719989954796585,0.14932706686605426
hospital,UF-PD,0.05,0.03303450345993042,0.6448408459730827,0.6528519547105319,0.6528519547105319,0.987729057591623,0.3471480452894681
hospital,UF-PD,0.1,0.02253931760787964,0.5249946592608417,0.5256355479598377,0.5256355479598377,0.9987807356228409,0.47436445204016237
hospital,UF-PD,0.2,0.01741945743560802,0.43751335184789575,0.43751335184789575,0.43751335184789575,1.0,0.5624866481521043
office,CAGF,0.05,0.15315139293670654,0.8748626732932252,0.8749149882291394,0.8749149882291394,0.999940205692418,0.1250850117708606
office,CAGF,0.1,0.11382472515106201,0.8676955270729794,0.8676955270729794,0.8676955270729794,1.0,0.13230447292702066
office,CAGF,0.2,0.0447559356689452,0.817734763274915,0.817734763274915,0.817734763274915,1.0,0.18226523672508502
office,EF-PD,0.05,0.024846851825714,0.9007585665707559,0.9031650536228093,0.9031650536228093,0.9973354958294718,0.09683494637719069
office,EF-PD,0.1,0.007991969585418812,0.8294009939837824,0.8302380329584096,0.8302380329584096,0.9989918084436042,0.16976196704159038
office,EF-PD,0.2,0.0017755627632140003,0.6662307088673817,0.6662307088673817,0.6662307088673817,1.0,0.3337692911326184
office,ENT-PD,0.05,0.35985416173934937,0.9693434475542767,0.9815851425582004,0.9815851425582004,0.987528646804882,0.018414857441799635
office,ENT-PD,0.1,0.11794841289520264,0.9161391577295318,0.9213183363850379,0.9213183363850379,0.9943785134291068,0.07868166361496207
office,ENT-PD,0.2,0.04659759998321522,0.7685587235155636,0.7696573371697619,0.7696573371697619,0.9985725938009788,0.23034266283023802
office,HGB-current,0.05,0.10233485707481405,0.95631702851164,0.9832592205074548,0.9832592205074548,0.9725990955041235,0.01674077949254512
office,HGB-current,0.1,0.025785098438246612,0.9346586450431599,0.9398901386345802,0.9398901386345802,0.9944339307580986,0.06010986136541983
office,HGB-current,0.2,0.007097575340931805,0.7737379021710699,0.7776092074287209,0.7776092074287209,0.995021528525296,0.2223907925712791
office,HGB-lag,0.05,0.12841961212704722,0.9588281454355219,0.9834684802511117,0.9834684802511117,0.9749454758231821,0.016531519748888307
office,HGB-lag,0.1,0.028348972584280596,0.9392623594036097,0.9443892231232017,0.9443892231232017,0.9945712386439176,0.05561077687679833
office,HGB-lag,0.2,0.0057367812711928146,0.871985351817944,0.8757520272037667,0.8757520272037667,0.9956989247311828,0.12424797279623333
office,PDRF-NOQ,0.05,0.6590880751609802,0.9401517133141511,1.0422704682186765,0.9577295317813236,0.9375102419839406,0.0
office,PDRF-NOQ,0.1,0.49284470081329346,0.9195919434998692,0.9981689772430029,0.9981689772430029,0.9212788259958071,0.0018310227569971226
office,PDRF-NOQ,0.2,0.17945271730422974,0.8260528380852733,0.8299241433429244,0.8299241433429244,0.9953353504790721,0.17007585665707559
office,RC-PDRF-NOQ,0.05,0.6540127396583557,0.9390530996599529,1.040387130525765,0.9596128694742349,0.9364880335822929,0.0
office,RC-PDRF-NOQ,0.1,0.49255257844924927,0.9183886999738425,0.9982736071148313,0.9982736071148313,0.9199769416203752,0.0017263928851687157
office,RC-PDRF-NOQ,0.2,0.16946780681610107,0.8504315982212922,0.8543552184148574,0.8543552184148574,0.9954075071949054,0.14564478158514255
office,UF-PD,0.05,0.408119797706604,0.9699712267852472,0.9847763536489668,0.9847763536489668,0.9849660008499788,0.01522364635103322
office,UF-PD,0.1,0.2249833345413208,0.8921266021449124,0.9001831022756998,0.9001831022756998,0.9910501540070902,0.09981689772430029
