seed,training,test_q,metric,value
101,PDRF_NOQ,silent,class_1_precision,0.6463654223968566
101,PDRF_NOQ,silent,class_1_recall,0.4761215629522431
101,PDRF_NOQ,silent,class_1_f1,0.5483333333333333
101,PDRF_NOQ,silent,class_1_auroc,0.8274308197300045
101,PDRF_NOQ,silent,class_1_auprc,0.5057530207812329
101,PDRF_NOQ,silent,class_2_precision,0.7422867513611615
101,PDRF_NOQ,silent,class_2_recall,0.5970802919708029
101,PDRF_NOQ,silent,class_2_f1,0.6618122977346278
101,PDRF_NOQ,silent,class_2_auroc,0.8558149132083258
101,PDRF_NOQ,silent,class_2_auprc,0.6655541098906194
101,PDRF_NOQ,silent,class_3_precision,0.6789473684210526
101,PDRF_NOQ,silent,class_3_recall,0.6972972972972973
101,PDRF_NOQ,silent,class_3_f1,0.688
101,PDRF_NOQ,silent,class_3_auroc,0.8783105124992541
101,PDRF_NOQ,silent,class_3_auprc,0.7798457874455162
101,PDRF_NOQ,silent,class_4_precision,0.2811594202898551
101,PDRF_NOQ,silent,class_4_recall,0.1370056497175141
101,PDRF_NOQ,silent,class_4_f1,0.1842355175688509
101,PDRF_NOQ,silent,class_4_auroc,0.703814022920298
101,PDRF_NOQ,silent,class_4_auprc,0.24835510745714437
101,PDRF_NOQ,silent,class_5_precision,0.5375796178343949
101,PDRF_NOQ,silent,class_5_recall,0.5140073081607796
101,PDRF_NOQ,silent,class_5_f1,0.5255292652552926
101,PDRF_NOQ,silent,class_5_auroc,0.7919484406472352
101,PDRF_NOQ,silent,class_5_auprc,0.583012630746872
101,PDRF_NOQ,silent,class_6_precision,0.3161244695898161
101,PDRF_NOQ,silent,class_6_recall,0.6216968011126565
101,PDRF_NOQ,silent,class_6_f1,0.4191279887482419
101,PDRF_NOQ,silent,class_6_auroc,0.7750999234953286
101,PDRF_NOQ,silent,class_6_auprc,0.3551544495255551
101,PDRF_NOQ,reported,accuracy,0.5087076076993584
