seed,model,regime,metric,value
11,CRF,noise_shift,brier,0.18244770650073666
11,CRF,noise_shift,ece,0.022540603486200177
11,CRF,noise_shift,aurc,0.15470039682539682
11,CRF,noise_shift,mean_uncertainty,0.2859547436237335
11,CRF,noise_shift,coverage_80_risk,0.23041666666666671
11,CRF,outlier_shift,auroc,0.7850681609262845
11,CRF,outlier_shift,auprc,0.7807627559309098
11,CRF,outlier_shift,nll,0.5577320140220883
11,CRF,outlier_shift,brier,0.18897940464132937
11,CRF,outlier_shift,ece,0.019133866768330333
11,CRF,outlier_shift,aurc,0.168514417989418
11,CRF,outlier_shift,mean_uncertainty,0.283052533864975
11,CRF,outlier_shift,coverage_80_risk,0.24124999999999996
11,CRF,silent_failure,auroc,0.7846387363419076
11,CRF,silent_failure,auprc,0.7852576627720146
11,CRF,silent_failure,nll,0.5600641285202187
11,CRF,silent_failure,brier,0.18946089371653183
11,CRF,silent_failure,ece,0.025446898063023887
11,CRF,silent_failure,aurc,0.16911759259259257
11,CRF,silent_failure,mean_uncertainty,0.2752584218978882
11,CRF,silent_failure,coverage_80_risk,0.24541666666666662
12,EF,ID_missing,auroc,0.7866519751928034
12,EF,ID_missing,auprc,0.7748276106859403
12,EF,ID_missing,nll,0.5591085481974881
12,EF,ID_missing,brier,0.1885991744976828
12,EF,ID_missing,ece,0.024672940687586863
12,EF,ID_missing,aurc,0.17009153439153438
12,EF,ID_missing,mean_uncertainty,0.290245920419693
12,EF,ID_missing,coverage_80_risk,0.23833333333333329
12,EF,noise_shift,auroc,0.7621151562133293
12,EF,noise_shift,auprc,0.7600432058077697
12,EF,noise_shift,nll,0.5784320390707479
12,EF,noise_shift,brier,0.19818273398821942
12,EF,noise_shift,ece,0.027344861870010694
12,EF,noise_shift,aurc,0.18880833333333333
12,EF,noise_shift,mean_uncertainty,0.29772356152534485
12,EF,noise_shift,coverage_80_risk,0.26708333333333334
12,EF,outlier_shift,auroc,0.7617893654712189
12,EF,outlier_shift,auprc,0.7464678538108239
12,EF,outlier_shift,nll,0.582599309879064
12,EF,outlier_shift,brier,0.19898479220696738
