model,stress_type,level,metric,mean,sd,n,ci95
CRF,sensor_noise,1.0,ece,0.027346645165731508,0.006207467289183152,20,0.0027205424900370945
CRF,sensor_noise,1.0,nll,0.5527467651538263,0.007859653923319831,20,0.0034446452086245483
CRF,sensor_noise,1.5,aurc,0.1674206216931217,0.009436281330371972,20,0.00413563263586668
CRF,sensor_noise,1.5,auroc,0.7869832747743369,0.010321162863273168,20,0.0045234490667485335
CRF,sensor_noise,1.5,ece,0.02716256428944568,0.005083718434147218,20,0.0022280378394555055
CRF,sensor_noise,1.5,nll,0.5565118046452443,0.010802894041341993,20,0.004734577064312951
CRF,sensor_noise,2.0,aurc,0.16701217592592593,0.004876813721558759,20,0.0021373578510217868
CRF,sensor_noise,2.0,auroc,0.7874035162463018,0.005480044556848142,20,0.0024017354211726704
CRF,sensor_noise,2.0,ece,0.028004341268601518,0.004261272818534144,20,0.0018675851558112365
CRF,sensor_noise,2.0,nll,0.5564303546313051,0.006303918292640489,20,0.0027628140060819146
CRF,sensor_noise,3.0,aurc,0.16829222222222223,0.007996075727015097,20,0.0035044347002529948
CRF,sensor_noise,3.0,auroc,0.7862538751569372,0.00837275845272025,20,0.0036695231836558137
CRF,sensor_noise,3.0,ece,0.02636714920134594,0.00570524746542168,20,0.002500434947583686
CRF,sensor_noise,3.0,nll,0.5580159377441294,0.00892673962218912,20,0.00391231613608051
CRF_NR,missingness,0.5,aurc,0.15862602513227514,0.0068643409802131945,20,0.003008430078288871
CRF_NR,missingness,0.5,auroc,0.7961467943560101,0.007763829782618065,20,0.0034026484272955955
CRF_NR,missingness,0.5,ece,0.024570696800326305,0.00720551299802692,20,0.003157955307763914
CRF_NR,missingness,0.5,nll,0.5464019734876069,0.008512775441324597,20,0.0037308883345425433
CRF_NR,missingness,1.0,aurc,0.16049265211640212,0.006173376262223038,20,0.0027056014387107983
CRF_NR,missingness,1.0,auroc,0.7944299033876231,0.006842253613702201,20,0.0029987498631082144
CRF_NR,missingness,1.0,ece,0.02493589184920614,0.0054789745601082455,20,0.0024012664744252326
CRF_NR,missingness,1.0,nll,0.5483820158810883,0.007568451113825314,20,0.0033170199502798904
CRF_NR,missingness,1.5,aurc,0.1634222751322751,0.0064844162169980304,20,0.0028419207092994863
CRF_NR,missingness,1.5,auroc,0.7910395470921673,0.006748027225856424,20,0.002957453327842721
CRF_NR,missingness,1.5,ece,0.026961165631872914,0.006399965146635001,20,0.002804908395815033
CRF_NR,missingness,1.5,nll,0.5522502111127963,0.007627061827359475,20,0.003342707228055632
CRF_NR,missingness,2.0,aurc,0.16424056216931215,0.009512589180496293,20,0.004169076025725271
CRF_NR,missingness,2.0,auroc,0.7897154587135576,0.010182702294845853,20,0.004462766047080013
CRF_NR,missingness,2.0,ece,0.026572598394999904,0.006294666729104379,20,0.002758759329588794
CRF_NR,missingness,2.0,nll,0.5534775648773838,0.011107893628592762,20,0.004868249027112562
CRF_NR,sensor_noise,0.0,aurc,0.16135095238095237,0.005627994520448024,20,0.0024665773516447495
CRF_NR,sensor_noise,0.0,auroc,0.7935179612758472,0.006728715294598658,20,0.002948989500793164
CRF_NR,sensor_noise,0.0,ece,0.02516011822617923,0.005635013540727257,20,0.0024696535729147933
CRF_NR,sensor_noise,0.0,nll,0.5494873139501621,0.006893288610753281,20,0.0030211169367452074
CRF_NR,sensor_noise,0.5,aurc,0.16253121031746032,0.007676243789775794,20,0.0033642621734566586
CRF_NR,sensor_noise,0.5,auroc,0.7917249232413643,0.008765410179859162,20,0.0038416103905154135
CRF_NR,sensor_noise,0.5,ece,0.026877574720047415,0.006616371266008338,20,0.0028997525593735135
CRF_NR,sensor_noise,0.5,nll,0.5509397597643291,0.009169054312541641,20,0.00401851523151722
CRF_NR,sensor_noise,1.0,aurc,0.1630687103174603,0.006488786573406362,20,0.0028438361024464122
CRF_NR,sensor_noise,1.0,auroc,0.7912228286074702,0.007125647909295928,20,0.00312295288934733
