representation,task,seed,method,fault,subset,metric,value
linear_resampling,cooler,103,PDRF_NOQ,pressure,affected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,affected,nll,1.192092966562091e-07
linear_resampling,cooler,103,PDRF_NOQ,pressure,unaffected,accuracy,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,unaffected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,unaffected,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,unaffected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,unaffected,nll,1.1920929665620914e-07
linear_resampling,cooler,103,PDRF_NOQ,vibration,all,accuracy,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,all,macro_f1,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,all,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,all,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,all,nll,1.192092966562092e-07
linear_resampling,cooler,103,PDRF_NOQ,vibration,affected,accuracy,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,affected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,affected,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,affected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,affected,nll,1.1920929665620916e-07
linear_resampling,cooler,103,PDRF_NOQ,vibration,unaffected,accuracy,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,unaffected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,unaffected,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,unaffected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_NOQ,vibration,unaffected,nll,1.1920929665620916e-07
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,all,accuracy,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,all,macro_f1,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,all,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,all,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,all,nll,1.192092966562092e-07
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,affected,accuracy,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,affected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,affected,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,affected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,affected,nll,1.192092966562091e-07
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,unaffected,accuracy,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,unaffected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,unaffected,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,unaffected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,pressure,unaffected,nll,1.1920929665620914e-07
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,all,accuracy,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,all,macro_f1,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,all,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,all,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,all,nll,1.192092966562092e-07
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,affected,accuracy,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,affected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,affected,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,affected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,affected,nll,1.1920929665620916e-07
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,unaffected,accuracy,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_RCIA_R30_NOQ,vibration,unaffected,nll,1.1920929665620916e-07
linear_resampling,cooler,104,CAGF,pressure,all,accuracy,0.9495412844036697
linear_resampling,cooler,104,CAGF,pressure,all,macro_f1,0.9497679161149918
linear_resampling,cooler,104,CAGF,pressure,all,macro_auroc,0.9747238677033198
linear_resampling,cooler,104,CAGF,pressure,all,macro_auprc,0.9388456282310832
linear_resampling,cooler,104,CAGF,pressure,all,nll,0.6908260907290895
linear_resampling,cooler,104,CAGF,pressure,affected,accuracy,0.9113924050632911
linear_resampling,cooler,104,CAGF,pressure,affected,macro_f1,0.9131050386256198
linear_resampling,cooler,104,CAGF,pressure,affected,macro_auroc,0.9507850274442949
linear_resampling,cooler,104,CAGF,pressure,affected,macro_auprc,0.8899745674725624
linear_resampling,cooler,104,CAGF,pressure,affected,nll,1.2576603209194341
linear_resampling,cooler,104,CAGF,pressure,unaffected,accuracy,0.9712230215827338
linear_resampling,cooler,104,CAGF,pressure,unaffected,macro_f1,0.9703703703703704
linear_resampling,cooler,104,CAGF,pressure,unaffected,macro_auroc,0.9868795916647839
linear_resampling,cooler,104,CAGF,pressure,unaffected,macro_auprc,0.9655975843203451
linear_resampling,cooler,104,CAGF,pressure,unaffected,nll,0.3686685066640735
linear_resampling,cooler,104,CAGF,vibration,all,accuracy,0.9541284403669725
linear_resampling,cooler,104,CAGF,vibration,all,macro_f1,0.953927470268683
linear_resampling,cooler,104,CAGF,vibration,all,macro_auroc,0.9823102211800842
linear_resampling,cooler,104,CAGF,vibration,all,macro_auprc,0.9571923964224377
linear_resampling,cooler,104,CAGF,vibration,all,nll,0.5145336294715696
linear_resampling,cooler,104,CAGF,vibration,affected,accuracy,0.9382716049382716
linear_resampling,cooler,104,CAGF,vibration,affected,macro_f1,0.9314807765511991
linear_resampling,cooler,104,CAGF,vibration,affected,macro_auroc,0.9709616528857793
linear_resampling,cooler,104,CAGF,vibration,affected,macro_auprc,0.9448703470498638
linear_resampling,cooler,104,CAGF,vibration,affected,nll,0.6353947003420561
linear_resampling,cooler,104,CAGF,vibration,unaffected,accuracy,0.9635036496350365
linear_resampling,cooler,104,CAGF,vibration,unaffected,macro_f1,0.9622468287709802
linear_resampling,cooler,104,CAGF,vibration,unaffected,macro_auroc,0.9867349599218382
linear_resampling,cooler,104,CAGF,vibration,unaffected,macro_auprc,0.9603489916234502
linear_resampling,cooler,104,CAGF,vibration,unaffected,nll,0.4430756240663913
linear_resampling,cooler,104,PDRF_NOQ,pressure,all,accuracy,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,all,macro_f1,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,all,macro_auroc,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,all,macro_auprc,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,all,nll,1.192092966562092e-07
linear_resampling,cooler,104,PDRF_NOQ,pressure,affected,accuracy,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,affected,macro_f1,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,affected,macro_auroc,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,affected,macro_auprc,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,affected,nll,1.192092966562091e-07
linear_resampling,cooler,104,PDRF_NOQ,pressure,unaffected,accuracy,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,unaffected,macro_f1,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,unaffected,macro_auroc,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,unaffected,macro_auprc,1.0
linear_resampling,cooler,104,PDRF_NOQ,pressure,unaffected,nll,1.1920929665620914e-07
linear_resampling,cooler,104,PDRF_NOQ,vibration,all,accuracy,1.0
linear_resampling,cooler,104,PDRF_NOQ,vibration,all,macro_f1,1.0
linear_resampling,cooler,104,PDRF_NOQ,vibration,all,macro_auroc,1.0
linear_resampling,cooler,104,PDRF_NOQ,vibration,all,macro_auprc,1.0
linear_resampling,cooler,104,PDRF_NOQ,vibration,all,nll,1.192092966562092e-07
linear_resampling,cooler,104,PDRF_NOQ,vibration,affected,accuracy,1.0
