seed,method,fault,calibrated,metric,value
101,UF,linear_drift,False,macro_auroc,0.8246094028605929
101,UF,linear_drift,False,macro_auprc,0.5726880398542965
101,UF,linear_drift,False,micro_auprc,0.5926314399187309
101,UF,linear_drift,False,nll,2.1859553603981365
101,UF,linear_drift,False,brier,0.700573445018361
101,UF,linear_drift,False,ece_10,0.2587043598540107
101,UF,linear_drift,False,ece_15,0.2587043821989234
101,UF,linear_drift,False,ece_20,0.2587043925621278
101,UF,linear_drift,False,adaptive_ece_15,0.258704394498186
101,UF,linear_drift,False,class_1_auroc,0.7685472625956299
101,UF,linear_drift,False,class_1_auprc,0.5055694678034669
101,UF,linear_drift,False,class_1_recall,0.5803183791606368
101,UF,linear_drift,False,class_2_auroc,0.8814173162732654
101,UF,linear_drift,False,class_2_auprc,0.7277331620485791
101,UF,linear_drift,False,class_2_recall,0.5693430656934306
101,UF,linear_drift,False,class_3_auroc,0.8784119384284949
101,UF,linear_drift,False,class_3_auprc,0.7896062396272865
101,UF,linear_drift,False,class_3_recall,0.6324324324324324
101,UF,linear_drift,False,class_4_auroc,0.7415130611084325
101,UF,linear_drift,False,class_4_auprc,0.2623797805867233
101,UF,linear_drift,False,class_4_recall,0.0932203389830508
101,UF,linear_drift,False,class_5_auroc,0.84921495199228
101,UF,linear_drift,False,class_5_auprc,0.741134131142877
101,UF,linear_drift,False,class_5_recall,0.6370280146163215
101,UF,linear_drift,False,class_6_auroc,0.8285518867654549
101,UF,linear_drift,False,class_6_auprc,0.4097054579168462
101,UF,linear_drift,False,class_6_recall,0.6356050069541029
101,UF,linear_drift,True,accuracy,0.5281851512373968
101,UF,linear_drift,True,macro_f1,0.5211895704196331
101,UF,linear_drift,True,macro_auroc,0.8245903317748359
101,UF,linear_drift,True,macro_auprc,0.5726545445964822
101,UF,linear_drift,True,micro_auprc,0.5926760306890231
101,UF,linear_drift,True,nll,2.1547528474541857
101,UF,linear_drift,True,brier,0.6969578096376586
101,UF,linear_drift,True,ece_10,0.2542959502962179
101,UF,linear_drift,True,ece_15,0.2542959449490093
101,UF,linear_drift,True,ece_20,0.254295960058459
101,UF,linear_drift,True,adaptive_ece_15,0.2542959587233642
101,UF,linear_drift,True,class_1_auroc,0.7685338664474952
101,UF,linear_drift,True,class_1_auprc,0.5054290709854968
101,UF,linear_drift,True,class_1_recall,0.5803183791606368
101,UF,linear_drift,True,class_2_auroc,0.8814058088618972
101,UF,linear_drift,True,class_2_auprc,0.7275449612057175
101,UF,linear_drift,True,class_2_recall,0.5693430656934306
101,UF,linear_drift,True,class_3_auroc,0.8784891265437622
101,UF,linear_drift,True,class_3_auprc,0.7897217876447712
101,UF,linear_drift,True,class_3_recall,0.6324324324324324
101,UF,linear_drift,True,class_4_auroc,0.7412828073038362
101,UF,linear_drift,True,class_4_auprc,0.2621676355242716
101,UF,linear_drift,True,class_4_recall,0.0932203389830508
101,UF,linear_drift,True,class_5_auroc,0.8493137898991441
101,UF,linear_drift,True,class_5_auprc,0.7414753007407291
101,UF,linear_drift,True,class_5_recall,0.6370280146163215
101,UF,linear_drift,True,class_6_auroc,0.8285165915928807
101,UF,linear_drift,True,class_6_auprc,0.4095885114779073
101,UF,linear_drift,True,class_6_recall,0.6356050069541029
101,UF,stuck_at,False,accuracy,0.5618698441796517
101,UF,stuck_at,False,macro_f1,0.5484560686315126
101,UF,stuck_at,False,macro_auroc,0.8519225731987555
101,UF,stuck_at,False,macro_auprc,0.629799012152768
101,UF,stuck_at,False,micro_auprc,0.641464534746889
101,UF,stuck_at,False,nll,1.635948037606153
101,UF,stuck_at,False,brier,0.6245041981833858
101,UF,stuck_at,False,ece_10,0.1974196354188468
101,UF,stuck_at,False,ece_15,0.1972173680538545
101,UF,stuck_at,False,ece_20,0.1975318879729067
101,UF,stuck_at,False,adaptive_ece_15,0.1972173519507665
101,UF,stuck_at,False,class_1_auroc,0.7998241164550799
101,UF,stuck_at,False,class_1_auprc,0.6383023473910417
101,UF,stuck_at,False,class_1_recall,0.6454413892908828
101,UF,stuck_at,False,class_2_auroc,0.9299813698978024
101,UF,stuck_at,False,class_2_auprc,0.8123724211586407
101,UF,stuck_at,False,class_2_recall,0.6875912408759124
101,UF,stuck_at,False,class_3_auroc,0.9401452777280592
101,UF,stuck_at,False,class_3_auprc,0.8725847887753362
101,UF,stuck_at,False,class_3_recall,0.7648648648648648
101,UF,stuck_at,False,class_4_auroc,0.7488371410204107
101,UF,stuck_at,False,class_4_auprc,0.269136191800258
101,UF,stuck_at,False,class_4_recall,0.0805084745762711
101,UF,stuck_at,False,class_5_auroc,0.8696690700607774
101,UF,stuck_at,False,class_5_auprc,0.7640185790168335
101,UF,stuck_at,False,class_5_recall,0.6747868453105969
101,UF,stuck_at,False,class_6_auroc,0.8230784640304034
101,UF,stuck_at,False,class_6_auprc,0.4223797447744979
101,UF,stuck_at,False,class_6_recall,0.497913769123783
101,UF,stuck_at,True,accuracy,0.5618698441796517
101,UF,stuck_at,True,macro_f1,0.5484560686315126
101,UF,stuck_at,True,macro_auroc,0.8519154572059674
101,UF,stuck_at,True,macro_auprc,0.6298215203758676
101,UF,stuck_at,True,micro_auprc,0.6415407353077871
101,UF,stuck_at,True,nll,1.613105519338604
101,UF,stuck_at,True,brier,0.6212609984728712
101,UF,stuck_at,True,ece_10,0.1923942576229954
101,UF,stuck_at,True,ece_15,0.1923942721690419
101,UF,stuck_at,True,ece_20,0.1924498513047297
101,UF,stuck_at,True,adaptive_ece_15,0.1923942698334796
101,UF,stuck_at,True,class_1_auroc,0.7998213584245815
101,UF,stuck_at,True,class_1_auprc,0.6384835921617198
101,UF,stuck_at,True,class_1_recall,0.6454413892908828
101,UF,stuck_at,True,class_2_auroc,0.9299543870021804
101,UF,stuck_at,True,class_2_auprc,0.8121484439494517
101,UF,stuck_at,True,class_2_recall,0.6875912408759124
101,UF,stuck_at,True,class_3_auroc,0.9401314808185668
