seed,method,fault_realization,batch,subset,metric,value,n
101,UF-PD+CD,70001,10,unaffected,macro_f1,0.5568658814486757,2150
101,UF-PD+CD,70001,10,unaffected,macro_auroc,0.8504601795287626,2150
101,UF-PD+CD,70001,10,unaffected,macro_auprc,0.6090646652540879,2150
101,UF-PD+CD,70001,10,unaffected,nll,1.712278097349076,2150
101,UF-PD+CD,70001,10,unaffected,brier,0.6134273622431123,2150
101,UF-PD+CD,70001,10,unaffected,ece15,0.19882497037565985,2150
101,CAGF+CD,70001,all,all,accuracy,0.5639321723189734,4364
101,CAGF+CD,70001,all,all,macro_f1,0.5315428746777936,4364
101,CAGF+CD,70001,all,all,macro_auroc,0.8469467035332361,4364
101,CAGF+CD,70001,all,all,macro_auprc,0.6085208694685383,4364
101,CAGF+CD,70001,all,all,nll,1.6891489168900387,4364
101,CAGF+CD,70001,all,all,brier,0.63261800596586,4364
101,CAGF+CD,70001,all,all,ece15,0.1999304440729559,4364
101,CAGF+CD,70001,all,affected,accuracy,0.5541076487252125,1765
101,CAGF+CD,70001,all,affected,macro_f1,0.5270686365136813,1765
101,CAGF+CD,70001,all,affected,macro_auroc,0.841587154711716,1765
101,CAGF+CD,70001,all,affected,macro_auprc,0.5906091844839862,1765
101,CAGF+CD,70001,all,affected,nll,1.734270042621367,1765
101,CAGF+CD,70001,all,affected,brier,0.6423903926653461,1765
101,CAGF+CD,70001,all,affected,ece15,0.18813208603318624,1765
101,CAGF+CD,70001,all,unaffected,accuracy,0.5706040784917276,2599
101,CAGF+CD,70001,all,unaffected,macro_f1,0.5334328066191902,2599
101,CAGF+CD,70001,all,unaffected,macro_auroc,0.8512438591905375,2599
101,CAGF+CD,70001,all,unaffected,macro_auprc,0.6219340753718515,2599
101,CAGF+CD,70001,all,unaffected,nll,1.658506828811626,2599
101,CAGF+CD,70001,all,unaffected,brier,0.625981506341161,2599
101,CAGF+CD,70001,all,unaffected,ece15,0.20795197487336115,2599
101,CAGF+CD,70001,8,all,accuracy,0.7108843537414966,294
101,CAGF+CD,70001,8,all,macro_f1,0.667278552138851,294
101,CAGF+CD,70001,8,all,macro_auroc,0.8991714223522852,294
101,CAGF+CD,70001,8,all,macro_auprc,0.7532973647435462,294
101,CAGF+CD,70001,8,all,nll,0.849159436524592,294
101,CAGF+CD,70001,8,all,brier,0.37970808494311015,294
101,CAGF+CD,70001,8,all,ece15,0.11891227747712818,294
101,CAGF+CD,70001,8,affected,accuracy,0.6333333333333333,120
101,CAGF+CD,70001,8,affected,macro_f1,0.63691648358555,120
101,CAGF+CD,70001,8,affected,macro_auroc,0.8958434158397667,120
101,CAGF+CD,70001,8,affected,macro_auprc,0.7349081125503715,120
101,CAGF+CD,70001,8,affected,nll,1.020182143363993,120
101,CAGF+CD,70001,8,affected,brier,0.4617686878849963,120
101,CAGF+CD,70001,8,affected,ece15,0.17503291194637619,120
101,CAGF+CD,70001,8,unaffected,accuracy,0.764367816091954,174
101,CAGF+CD,70001,8,unaffected,macro_f1,0.6830545166012348,174
101,CAGF+CD,70001,8,unaffected,macro_auroc,0.9083116219297701,174
101,CAGF+CD,70001,8,unaffected,macro_auprc,0.7715080688780857,174
101,CAGF+CD,70001,8,unaffected,nll,0.7312127421525915,174
101,CAGF+CD,70001,8,unaffected,brier,0.3231145656728438,174
101,CAGF+CD,70001,8,unaffected,ece15,0.14152578067505497,174
101,CAGF+CD,70001,9,all,accuracy,0.6085106382978723,470
101,CAGF+CD,70001,9,all,macro_f1,0.5810408242915202,470
101,CAGF+CD,70001,9,all,macro_auroc,0.8963342534705943,470
101,CAGF+CD,70001,9,all,macro_auprc,0.745152731779966,470
101,CAGF+CD,70001,9,all,nll,1.2503874380959303,470
101,CAGF+CD,70001,9,all,brier,0.5198206822519879,470
101,CAGF+CD,70001,9,all,ece15,0.15060351674861097,470
101,CAGF+CD,70001,9,affected,accuracy,0.6205128205128205,195
101,CAGF+CD,70001,9,affected,macro_f1,0.5921014987191459,195
101,CAGF+CD,70001,9,affected,macro_auroc,0.8953129528427827,195
101,CAGF+CD,70001,9,affected,macro_auprc,0.7461392867023781,195
101,CAGF+CD,70001,9,affected,nll,1.191579770564778,195
101,CAGF+CD,70001,9,affected,brier,0.5002166633483617,195
101,CAGF+CD,70001,9,affected,ece15,0.12620376547177634,195
101,CAGF+CD,70001,9,unaffected,accuracy,0.6,275
101,CAGF+CD,70001,9,unaffected,macro_f1,0.5654687299221587,275
101,CAGF+CD,70001,9,unaffected,macro_auroc,0.8977619690374988,275
101,CAGF+CD,70001,9,unaffected,macro_auprc,0.7454728978713255,275
101,CAGF+CD,70001,9,unaffected,nll,1.2920874205271111,275
101,CAGF+CD,70001,9,unaffected,brier,0.5337217138381956,275
101,CAGF+CD,70001,9,unaffected,ece15,0.1700953180139715,275
101,CAGF+CD,70001,10,all,accuracy,0.5461111111111111,3600
101,CAGF+CD,70001,10,all,macro_f1,0.5084335090274431,3600
101,CAGF+CD,70001,10,all,macro_auroc,0.8394008333333334,3600
101,CAGF+CD,70001,10,all,macro_auprc,0.5927081954458531,3600
101,CAGF+CD,70001,10,all,nll,1.8150308064068923,3600
101,CAGF+CD,70001,10,all,brier,0.6679986334453625,3600
101,CAGF+CD,70001,10,all,ece15,0.2231206582031316,3600
101,CAGF+CD,70001,10,affected,accuracy,0.5386206896551724,1450
101,CAGF+CD,70001,10,affected,macro_f1,0.5026468317132436,1450
101,CAGF+CD,70001,10,affected,macro_auroc,0.8320327282734586,1450
101,CAGF+CD,70001,10,affected,macro_auprc,0.5706305177689704,1450
101,CAGF+CD,70001,10,affected,nll,1.8663494570778631,1450
101,CAGF+CD,70001,10,affected,brier,0.6764583111415214,1450
101,CAGF+CD,70001,10,affected,ece15,0.2085865388245418,1450
101,CAGF+CD,70001,10,unaffected,accuracy,0.5511627906976744,2150
101,CAGF+CD,70001,10,unaffected,macro_f1,0.5115653104376009,2150
101,CAGF+CD,70001,10,unaffected,macro_auroc,0.8449117332495093,2150
101,CAGF+CD,70001,10,unaffected,macro_auprc,0.6098569109479192,2150
101,CAGF+CD,70001,10,unaffected,nll,1.7804205536287954,2150
101,CAGF+CD,70001,10,unaffected,brier,0.6622932694177205,2150
101,CAGF+CD,70001,10,unaffected,ece15,0.23293384227641792,2150
101,PDRF+CD,70001,all,all,accuracy,0.553391384051329,4364
101,PDRF+CD,70001,all,all,macro_f1,0.5352878560866389,4364
101,PDRF+CD,70001,all,all,macro_auroc,0.8454189033119582,4364
101,PDRF+CD,70001,all,all,macro_auprc,0.5963495744058038,4364
101,PDRF+CD,70001,all,all,nll,1.8275698284874624,4364
101,PDRF+CD,70001,all,all,brier,0.6780256527476317,4364
101,PDRF+CD,70001,all,all,ece15,0.24800346533603126,4364
101,PDRF+CD,70001,all,affected,accuracy,0.49575070821529743,1765
101,PDRF+CD,70001,all,affected,macro_f1,0.4825679730971986,1765
101,PDRF+CD,70001,all,affected,macro_auroc,0.8112240039834853,1765
101,PDRF+CD,70001,all,affected,macro_auprc,0.5282021613726582,1765
101,PDRF+CD,70001,all,affected,nll,2.1697712536001657,1765
101,PDRF+CD,70001,all,affected,brier,0.7686707151996117,1765
101,PDRF+CD,70001,all,affected,ece15,0.30089629608240753,1765
101,PDRF+CD,70001,all,unaffected,accuracy,0.5925355906117737,2599
101,PDRF+CD,70001,all,unaffected,macro_f1,0.5675080748839484,2599
101,PDRF+CD,70001,all,unaffected,macro_auroc,0.8693333228325925,2599
101,PDRF+CD,70001,all,unaffected,macro_auprc,0.6508536041196445,2599
101,PDRF+CD,70001,all,unaffected,nll,1.5951783258618677,2599
101,PDRF+CD,70001,all,unaffected,brier,0.6164679246877068,2599
101,PDRF+CD,70001,all,unaffected,ece15,0.21292391781762915,2599
101,PDRF+CD,70001,8,all,accuracy,0.6190476190476191,294
101,PDRF+CD,70001,8,all,macro_f1,0.6144646361862205,294
101,PDRF+CD,70001,8,all,macro_auroc,0.9425765644150282,294
101,PDRF+CD,70001,8,all,macro_auprc,0.7998622224739371,294
101,PDRF+CD,70001,8,all,nll,0.886515043539524,294
101,PDRF+CD,70001,8,all,brier,0.4700828753538211,294
101,PDRF+CD,70001,8,all,ece15,0.13781465873831797,294
101,PDRF+CD,70001,8,affected,accuracy,0.575,120
101,PDRF+CD,70001,8,affected,macro_f1,0.5415450452731154,120
101,PDRF+CD,70001,8,affected,macro_auroc,0.9005058803475235,120
101,PDRF+CD,70001,8,affected,macro_auprc,0.7127715017373116,120
101,PDRF+CD,70001,8,affected,nll,1.1406291904379728,120
101,PDRF+CD,70001,8,affected,brier,0.5798548081206647,120
101,PDRF+CD,70001,8,affected,ece15,0.22572706267237663,120
101,PDRF+CD,70001,8,unaffected,accuracy,0.6494252873563219,174
101,PDRF+CD,70001,8,unaffected,macro_f1,0.661349844185665,174
101,PDRF+CD,70001,8,unaffected,macro_auroc,0.9724062127983992,174
101,PDRF+CD,70001,8,unaffected,macro_auprc,0.9164711604642027,174
101,PDRF+CD,70001,8,unaffected,nll,0.7112639077474906,174
101,PDRF+CD,70001,8,unaffected,brier,0.3943780941353083,174
101,PDRF+CD,70001,8,unaffected,ece15,0.0999774451570949,174
101,PDRF+CD,70001,9,all,accuracy,0.6297872340425532,470
101,PDRF+CD,70001,9,all,macro_f1,0.612037436845207,470
101,PDRF+CD,70001,9,all,macro_auroc,0.9164821200510952,470
101,PDRF+CD,70001,9,all,macro_auprc,0.734478355192279,470
101,PDRF+CD,70001,9,all,nll,1.068407226373816,470
101,PDRF+CD,70001,9,all,brier,0.4916048627189612,470
101,PDRF+CD,70001,9,all,ece15,0.10545976929208065,470
101,PDRF+CD,70001,9,affected,accuracy,0.5846153846153846,195
101,PDRF+CD,70001,9,affected,macro_f1,0.5473714209186809,195
101,PDRF+CD,70001,9,affected,macro_auroc,0.8739212247698275,195
101,PDRF+CD,70001,9,affected,macro_auprc,0.6379118820303092,195
101,PDRF+CD,70001,9,affected,nll,1.4491229261203624,195
101,PDRF+CD,70001,9,affected,brier,0.6088210911139172,195
101,PDRF+CD,70001,9,affected,ece15,0.18268767641140865,195
101,PDRF+CD,70001,9,unaffected,accuracy,0.6618181818181819,275
101,PDRF+CD,70001,9,unaffected,macro_f1,0.6439840476752159,275
101,PDRF+CD,70001,9,unaffected,macro_auroc,0.9421031395431426,275
101,PDRF+CD,70001,9,unaffected,macro_auprc,0.8140328904849694,275
101,PDRF+CD,70001,9,unaffected,nll,0.7984451847353561,275
101,PDRF+CD,70001,9,unaffected,brier,0.4084879007661743,275
101,PDRF+CD,70001,9,unaffected,ece15,0.08226295156912371,275
101,PDRF+CD,70001,10,all,accuracy,0.5380555555555555,3600
101,PDRF+CD,70001,10,all,macro_f1,0.5154945742504975,3600
101,PDRF+CD,70001,10,all,macro_auroc,0.8346993055555556,3600
101,PDRF+CD,70001,10,all,macro_auprc,0.5794227406606208,3600
101,PDRF+CD,70001,10,all,nll,2.003535531200826,3600
101,PDRF+CD,70001,10,all,brier,0.7193459160440916,3600
101,PDRF+CD,70001,10,all,ece15,0.2769894686837991,3600
101,PDRF+CD,70001,10,affected,accuracy,0.4772413793103448,1450
101,PDRF+CD,70001,10,affected,macro_f1,0.4625191136883771,1450
101,PDRF+CD,70001,10,affected,macro_auroc,0.7975461174342114,1450
101,PDRF+CD,70001,10,affected,macro_auprc,0.5108012368440743,1450
101,PDRF+CD,70001,10,affected,nll,2.351856406316045,1450
101,PDRF+CD,70001,10,affected,brier,0.8057938776452559,1450
101,PDRF+CD,70001,10,affected,ece15,0.3265067572018196,1450
101,PDRF+CD,70001,10,unaffected,accuracy,0.5790697674418605,2150
101,PDRF+CD,70001,10,unaffected,macro_f1,0.5483753494380054,2150
101,PDRF+CD,70001,10,unaffected,macro_auroc,0.8606009122376094,2150
101,PDRF+CD,70001,10,unaffected,macro_auprc,0.636726341181184,2150
101,PDRF+CD,70001,10,unaffected,nll,1.768621452634748,2150
101,PDRF+CD,70001,10,unaffected,brier,0.661043802406097,2150
101,PDRF+CD,70001,10,unaffected,ece15,0.24451768024023188,2150
101,PDRF+CD-T07,70001,all,all,accuracy,0.5556828597616865,4364
101,PDRF+CD-T07,70001,all,all,macro_f1,0.5371595614752528,4364
101,PDRF+CD-T07,70001,all,all,macro_auroc,0.8441762415298698,4364
101,PDRF+CD-T07,70001,all,all,macro_auprc,0.5962508441952382,4364
101,PDRF+CD-T07,70001,all,all,nll,1.9515882722560542,4364
101,PDRF+CD-T07,70001,all,all,brier,0.6849261228099346,4364
101,PDRF+CD-T07,70001,all,all,ece15,0.2615596512580115,4364
101,PDRF+CD-T07,70001,all,affected,accuracy,0.4951841359773371,1765
101,PDRF+CD-T07,70001,all,affected,macro_f1,0.4833658620820345,1765
101,PDRF+CD-T07,70001,all,affected,macro_auroc,0.8090509956006166,1765
101,PDRF+CD-T07,70001,all,affected,macro_auprc,0.5274184209366203,1765
101,PDRF+CD-T07,70001,all,affected,nll,2.360008067489805,1765
101,PDRF+CD-T07,70001,all,affected,brier,0.7867001637366788,1765
101,PDRF+CD-T07,70001,all,affected,ece15,0.31978063476997465,1765
101,PDRF+CD-T07,70001,all,unaffected,accuracy,0.5967679876875721,2599
101,PDRF+CD-T07,70001,all,unaffected,macro_f1,0.5698766405932928,2599
101,PDRF+CD-T07,70001,all,unaffected,macro_auroc,0.8690408790895675,2599
101,PDRF+CD-T07,70001,all,unaffected,macro_auprc,0.6523217200487005,2599
101,PDRF+CD-T07,70001,all,unaffected,nll,1.6742273878437535,2599
101,PDRF+CD-T07,70001,all,unaffected,brier,0.6158106236811528,2599
101,PDRF+CD-T07,70001,all,unaffected,ece15,0.22202134557805092,2599
101,PDRF+CD-T07,70001,8,all,accuracy,0.6496598639455783,294
101,PDRF+CD-T07,70001,8,all,macro_f1,0.6283113028989803,294
101,PDRF+CD-T07,70001,8,all,macro_auroc,0.9392158855469818,294
101,PDRF+CD-T07,70001,8,all,macro_auprc,0.7921310903365569,294
101,PDRF+CD-T07,70001,8,all,nll,0.8938255876112029,294
101,PDRF+CD-T07,70001,8,all,brier,0.4668889876534046,294
101,PDRF+CD-T07,70001,8,all,ece15,0.12548307993379582,294
101,PDRF+CD-T07,70001,8,affected,accuracy,0.575,120
101,PDRF+CD-T07,70001,8,affected,macro_f1,0.544111563657243,120
101,PDRF+CD-T07,70001,8,affected,macro_auroc,0.8951180914145845,120
101,PDRF+CD-T07,70001,8,affected,macro_auprc,0.7117418677178025,120
101,PDRF+CD-T07,70001,8,affected,nll,1.2050268335538827,120
101,PDRF+CD-T07,70001,8,affected,brier,0.605987986233851,120
101,PDRF+CD-T07,70001,8,affected,ece15,0.2446667179465294,120
101,PDRF+CD-T07,70001,8,unaffected,accuracy,0.7011494252873564,174
101,PDRF+CD-T07,70001,8,unaffected,macro_f1,0.6839472022230643,174
101,PDRF+CD-T07,70001,8,unaffected,macro_auroc,0.9700790550167843,174
101,PDRF+CD-T07,70001,8,unaffected,macro_auprc,0.9090717125595371,174
101,PDRF+CD-T07,70001,8,unaffected,nll,0.6792040386852172,174
101,PDRF+CD-T07,70001,8,unaffected,brier,0.37095864380482085,174
101,PDRF+CD-T07,70001,8,unaffected,ece15,0.08327602175460466,174
101,PDRF+CD-T07,70001,9,all,accuracy,0.6191489361702127,470
101,PDRF+CD-T07,70001,9,all,macro_f1,0.6007236714247304,470
101,PDRF+CD-T07,70001,9,all,macro_auroc,0.9170121841805678,470
101,PDRF+CD-T07,70001,9,all,macro_auprc,0.7413681232810329,470
101,PDRF+CD-T07,70001,9,all,nll,1.151321337041965,470
101,PDRF+CD-T07,70001,9,all,brier,0.5215580781843887,470
101,PDRF+CD-T07,70001,9,all,ece15,0.15392062860600492,470
101,PDRF+CD-T07,70001,9,affected,accuracy,0.5948717948717949,195
101,PDRF+CD-T07,70001,9,affected,macro_f1,0.5608237394305382,195
101,PDRF+CD-T07,70001,9,affected,macro_auroc,0.8748915240253736,195
101,PDRF+CD-T07,70001,9,affected,macro_auprc,0.6548475584106149,195
101,PDRF+CD-T07,70001,9,affected,nll,1.595992781309783,195
101,PDRF+CD-T07,70001,9,affected,brier,0.6309252380008112,195
101,PDRF+CD-T07,70001,9,affected,ece15,0.22856687735288567,195
