dataset,task,seed,method,parameters,train_seconds,epochs,inference_ms_per_observation
hydraulic,accumulator,102,RO-PDRF,29465,10.687790900003165,80,0.009194954120609567
hydraulic,accumulator,103,CAGF,38009,7.281413099990459,80,0.007307339420140542
hydraulic,accumulator,103,RO-CAGF,38009,8.693457099987427,80,0.013101834898874369
hydraulic,accumulator,103,PDRF,29465,9.180366399988998,80,0.008754587199308252
hydraulic,accumulator,103,RO-PDRF,29465,11.562493200006429,80,0.012699541261466647
hydraulic,accumulator,104,CAGF,38009,7.810419200002798,76,0.009804587117545819
hydraulic,accumulator,104,RO-CAGF,38009,9.236804500003927,80,0.011517431180061209
hydraulic,accumulator,104,PDRF,29465,8.844498099992052,80,0.009666972458811152
hydraulic,accumulator,104,RO-PDRF,29465,10.65200729999924,80,0.012105045860970751
hydraulic,accumulator,105,CAGF,38009,7.6452499000006355,80,0.009294954081036049
hydraulic,accumulator,105,RO-CAGF,38009,8.795457800006261,80,0.009159633017747467
hydraulic,accumulator,105,PDRF,29465,8.687911800006987,80,0.00505917431912684
hydraulic,accumulator,105,RO-PDRF,29465,10.767681099998299,80,0.009433027525611837
