method,cost_scheme,coverage,reject_cost,fault_prevalence,expected_cost
EF,uniform,0.9,0.1,0.47000000000000003,0.3122089825847846
EF,uniform,0.9,0.1,0.48,0.3124472960586617
EF,uniform,0.9,0.1,0.49,0.31268560953253893
EF,uniform,0.9,0.1,0.5,0.31292392300641614
EF,uniform,0.9,0.1,0.51,0.3131622364802933
EF,uniform,0.9,0.1,0.52,0.31340054995417044
EF,uniform,0.9,0.1,0.53,0.31363886342804764
EF,uniform,0.9,0.1,0.54,0.31387717690192485
EF,uniform,0.9,0.1,0.55,0.314115490375802
EF,uniform,0.9,0.1,0.56,0.31435380384967915
EF,uniform,0.9,0.1,0.5700000000000001,0.31459211732355635
EF,uniform,0.9,0.1,0.58,0.3148304307974335
EF,uniform,0.9,0.1,0.59,0.3150687442713107
EF,uniform,0.9,0.1,0.6,0.31530705774518786
EF,uniform,0.9,0.1,0.61,0.31554537121906506
EF,uniform,0.9,0.1,0.62,0.31578368469294227
EF,uniform,0.9,0.1,0.63,0.3160219981668194
EF,uniform,0.9,0.1,0.64,0.31626031164069657
EF,uniform,0.9,0.1,0.65,0.3164986251145738
EF,uniform,0.9,0.1,0.66,0.3167369385884509
EF,uniform,0.9,0.1,0.67,0.31697525206232813
EF,uniform,0.9,0.1,0.68,0.3172135655362053
EF,uniform,0.9,0.1,0.6900000000000001,0.3174518790100825
EF,uniform,0.9,0.1,0.7000000000000001,0.3176901924839597
EF,uniform,0.9,0.1,0.71,0.31792850595783684
EF,uniform,0.9,0.1,0.72,0.318166819431714
EF,uniform,0.9,0.1,0.73,0.31840513290559114
EF,uniform,0.9,0.1,0.74,0.3186434463794684
EF,uniform,0.9,0.1,0.75,0.31888175985334555
EF,uniform,0.9,0.1,0.76,0.3191200733272227
EF,uniform,0.9,0.1,0.77,0.3193583868010999
EF,uniform,0.9,0.1,0.78,0.3195967002749771
EF,uniform,0.9,0.1,0.79,0.31983501374885426
EF,uniform,0.9,0.1,0.8,0.3200733272227314
EF,uniform,0.9,0.1,0.81,0.3203116406966086
EF,uniform,0.9,0.1,0.8200000000000001,0.32054995417048576
EF,uniform,0.9,0.1,0.8300000000000001,0.32078826764436297
EF,uniform,0.9,0.1,0.84,0.3210265811182401
EF,uniform,0.9,0.1,0.85,0.3212648945921173
EF,uniform,0.9,0.1,0.86,0.3215032080659945
EF,uniform,0.9,0.1,0.87,0.3217415215398717
EF,uniform,0.9,0.1,0.88,0.3219798350137488
EF,uniform,0.9,0.1,0.89,0.322218148487626
EF,uniform,0.9,0.1,0.9,0.3224564619615032
EF,uniform,0.9,0.1,0.91,0.3226947754353804
EF,uniform,0.9,0.1,0.92,0.32293308890925754
EF,uniform,0.9,0.1,0.93,0.32317140238313474
EF,uniform,0.9,0.1,0.9400000000000001,0.3234097158570119
EF,uniform,0.9,0.1,0.9500000000000001,0.32364802933088904
EF,uniform,0.9,0.1,0.96,0.32388634280476625
EF,uniform,0.9,0.1,0.97,0.32412465627864345
EF,uniform,0.9,0.1,0.98,0.3243629697525206
EF,uniform,0.9,0.1,0.99,0.32460128322639775
EF,uniform,0.9,0.1,1.0,0.32483959670027496
EF,uniform,0.9,0.25,0.0,0.31599450045829514
EF,uniform,0.9,0.25,0.01,0.31623281393217234
EF,uniform,0.9,0.25,0.02,0.3164711274060495
EF,uniform,0.9,0.25,0.03,0.31670944087992664
EF,uniform,0.9,0.25,0.04,0.31694775435380385
EF,uniform,0.9,0.25,0.05,0.317186067827681
EF,uniform,0.9,0.25,0.06,0.3174243813015582
EF,uniform,0.9,0.25,0.07,0.3176626947754354
EF,uniform,0.9,0.25,0.08,0.31790100824931256
EF,uniform,0.9,0.25,0.09,0.31813932172318976
EF,uniform,0.9,0.25,0.1,0.31837763519706697
EF,uniform,0.9,0.25,0.11,0.31861594867094406
EF,uniform,0.9,0.25,0.12,0.31885426214482127
EF,uniform,0.9,0.25,0.13,0.3190925756186984
EF,uniform,0.9,0.25,0.14,0.3193308890925756
EF,uniform,0.9,0.25,0.15,0.31956920256645277
EF,uniform,0.9,0.25,0.16,0.3198075160403299
EF,uniform,0.9,0.25,0.17,0.3200458295142071
EF,uniform,0.9,0.25,0.18,0.32028414298808433
EF,uniform,0.9,0.25,0.19,0.3205224564619615
EF,uniform,0.9,0.25,0.2,0.3207607699358387
EF,uniform,0.9,0.25,0.21,0.32099908340971584
EF,uniform,0.9,0.25,0.22,0.32123739688359304
EF,uniform,0.9,0.25,0.23,0.32147571035747025
EF,uniform,0.9,0.25,0.24,0.3217140238313474
EF,uniform,0.9,0.25,0.25,0.32195233730522455
EF,uniform,0.9,0.25,0.26,0.32219065077910175
EF,uniform,0.9,0.25,0.27,0.3224289642529789
EF,uniform,0.9,0.25,0.28,0.3226672777268561
EF,uniform,0.9,0.25,0.29,0.32290559120073326
EF,uniform,0.9,0.25,0.3,0.3231439046746104
EF,uniform,0.9,0.25,0.31,0.3233822181484876
EF,uniform,0.9,0.25,0.32,0.32362053162236476
EF,uniform,0.9,0.25,0.33,0.32385884509624197
EF,uniform,0.9,0.25,0.34,0.3240971585701191
EF,uniform,0.9,0.25,0.35000000000000003,0.3243354720439963
EF,uniform,0.9,0.25,0.36,0.3245737855178735
EF,uniform,0.9,0.25,0.37,0.3248120989917507
EF,uniform,0.9,0.25,0.38,0.3250504124656278
EF,uniform,0.9,0.25,0.39,0.32528872593950503
EF,uniform,0.9,0.25,0.4,0.32552703941338224
EF,uniform,0.9,0.25,0.41000000000000003,0.3257653528872594
EF,uniform,0.9,0.25,0.42,0.32600366636113653
EF,uniform,0.9,0.25,0.43,0.3262419798350138
EF,uniform,0.9,0.25,0.44,0.32648029330889095
EF,uniform,0.9,0.25,0.45,0.3267186067827681
EF,uniform,0.9,0.25,0.46,0.3269569202566453
EF,uniform,0.9,0.25,0.47000000000000003,0.32719523373052245
EF,uniform,0.9,0.25,0.48,0.32743354720439966
EF,uniform,0.9,0.25,0.49,0.3276718606782768
EF,uniform,0.9,0.25,0.5,0.32791017415215395
EF,uniform,0.9,0.25,0.51,0.32814848762603116
EF,uniform,0.9,0.25,0.52,0.32838680109990837
EF,uniform,0.9,0.25,0.53,0.3286251145737855
EF,uniform,0.9,0.25,0.54,0.32886342804766266
EF,uniform,0.9,0.25,0.55,0.32910174152153987
EF,uniform,0.9,0.25,0.56,0.329340054995417
EF,uniform,0.9,0.25,0.5700000000000001,0.3295783684692942
EF,uniform,0.9,0.25,0.58,0.3298166819431714
EF,uniform,0.9,0.25,0.59,0.3300549954170485
EF,uniform,0.9,0.25,0.6,0.3302933088909258
EF,uniform,0.9,0.25,0.61,0.33053162236480294
EF,uniform,0.9,0.25,0.62,0.3307699358386801
EF,uniform,0.9,0.25,0.63,0.3310082493125573
EF,uniform,0.9,0.25,0.64,0.33124656278643444
EF,uniform,0.9,0.25,0.65,0.33148487626031164
EF,uniform,0.9,0.25,0.66,0.3317231897341888
EF,uniform,0.9,0.25,0.67,0.331961503208066
EF,uniform,0.9,0.25,0.68,0.33219981668194315
EF,uniform,0.9,0.25,0.6900000000000001,0.33243813015582035
EF,uniform,0.9,0.25,0.7000000000000001,0.3326764436296975
EF,uniform,0.9,0.25,0.71,0.3329147571035747
EF,uniform,0.9,0.25,0.72,0.33315307057745186
EF,uniform,0.9,0.25,0.73,0.33339138405132906
EF,uniform,0.9,0.25,0.74,0.3336296975252062
EF,uniform,0.9,0.25,0.75,0.3338680109990834
EF,uniform,0.9,0.25,0.76,0.33410632447296057
EF,uniform,0.9,0.25,0.77,0.3343446379468378
EF,uniform,0.9,0.25,0.78,0.3345829514207149
EF,uniform,0.9,0.25,0.79,0.33482126489459213
EF,uniform,0.9,0.25,0.8,0.3350595783684693
EF,uniform,0.9,0.25,0.81,0.3352978918423465
EF,uniform,0.9,0.25,0.8200000000000001,0.33553620531622363
