building,method,metric,mean,std
hospital,RC-PDRF-NOQ,class_2_recall,0.8151170568561874,0.005150936002188196
hospital,RC-PDRF-NOQ,macro_auprc,0.9369013931882847,0.002669109621552887
hospital,RC-PDRF-NOQ,macro_auroc,0.9311822935908134,0.004302904318946312
hospital,RC-PDRF-NOQ,macro_f1,0.9404359838333438,0.001805244469714168
hospital,UF-PD,balanced_accuracy,0.9101167018743468,0.0025925163976359294
hospital,UF-PD,class_2_f1,0.8797343295334127,0.017823406050326063
hospital,UF-PD,class_2_precision,0.9348763264561553,0.04483305807108299
hospital,UF-PD,class_2_recall,0.8315719063545151,0.0038541432216423325
hospital,UF-PD,macro_auprc,0.9472887113582956,0.0014369831442524166
hospital,UF-PD,macro_auroc,0.9527848814296883,0.0027775870365440583
hospital,UF-PD,macro_f1,0.9291352577939989,0.010781081663319009
office,CAGF,balanced_accuracy,0.967093168325461,0.017377646482464596
office,CAGF,class_2_f1,0.5589458965183034,0.19439987402456035
office,CAGF,class_2_precision,0.4216506573255323,0.21602586456802272
office,CAGF,class_2_recall,0.9710982658959537,0.042230171087290276
office,CAGF,macro_auprc,0.8454539546678547,0.16977152061662049
office,CAGF,macro_auroc,0.9843399613247401,0.025341112253718885
office,CAGF,macro_f1,0.7698109303057347,0.10563486691388686
office,EF-PD,balanced_accuracy,0.9865884651145027,0.006632017822403213
office,EF-PD,class_2_f1,0.6421186189684194,0.10707372553457532
office,EF-PD,class_2_precision,0.4813932465359089,0.11816666616934347
office,EF-PD,class_2_recall,0.9947976878612715,0.0069001944429556575
office,EF-PD,macro_auprc,0.9451976631193253,0.054305795243205446
office,EF-PD,macro_auroc,0.9976085197058119,0.0022168630498241425
office,EF-PD,macro_f1,0.8155614352998732,0.05599956890294204
office,ENT-PD,balanced_accuracy,0.8685217938693031,0.03647341879053698
office,ENT-PD,class_2_f1,0.5814362114916746,0.020836996090754213
office,ENT-PD,class_2_precision,0.4793064915587001,0.0467848342979383
office,ENT-PD,class_2_recall,0.7526011560693642,0.0777290095403281
office,ENT-PD,macro_auprc,0.7265854313961304,0.044843789578340676
office,ENT-PD,macro_auroc,0.9746379545413248,0.010820161059353493
office,ENT-PD,macro_f1,0.7856583687419467,0.011243902421484915
office,HGB-current,balanced_accuracy,0.983557994565507,0.0010678156137065025
office,HGB-current,class_2_f1,0.5289615836127919,0.01610866452858257
office,HGB-current,class_2_precision,0.35971400634265355,0.014863207719602
office,HGB-current,class_2_recall,1.0,0.0
office,HGB-current,macro_auprc,0.8967722520245534,0.05662217093297497
office,HGB-current,macro_auroc,0.9962731561112484,0.002596566076443048
office,HGB-current,macro_f1,0.7561218802564502,0.00860629757048221
office,HGB-lag,balanced_accuracy,0.9835100431562683,0.00040048208158067415
office,HGB-lag,class_2_f1,0.527896973877556,0.0060643975420507585
office,HGB-lag,class_2_precision,0.3586190208112445,0.005600712748288278
office,HGB-lag,class_2_recall,1.0,0.0
office,HGB-lag,macro_auprc,0.8820838816835718,0.05086215472487718
office,HGB-lag,macro_auroc,0.996377004635303,0.0010957490398522023
office,HGB-lag,macro_f1,0.7555652021936844,0.0032391935353192534
office,PDRF-NOQ,balanced_accuracy,0.9501778236589236,0.005630996312463263
office,PDRF-NOQ,class_2_f1,0.3043101354982451,0.016743847678953372
office,PDRF-NOQ,class_2_precision,0.18011517838648436,0.011664194870867166
office,PDRF-NOQ,class_2_recall,0.9832369942196533,0.011267970340819696
office,PDRF-NOQ,macro_auprc,0.7089271939221029,0.014078159528684523
office,PDRF-NOQ,macro_auroc,0.9676566050833422,0.0026516798955869307
office,PDRF-NOQ,macro_f1,0.6304558649427976,0.010316914335674589
office,RC-PDRF-NOQ,balanced_accuracy,0.9142917219606677,0.018154793036276935
office,RC-PDRF-NOQ,class_2_f1,0.28505601767316596,0.019066411090641527
office,RC-PDRF-NOQ,class_2_precision,0.16903957668368724,0.012742776468907773
office,RC-PDRF-NOQ,class_2_recall,0.9115606936416185,0.03483828024347785
office,RC-PDRF-NOQ,macro_auprc,0.7043361103612721,0.013890030728729732
office,RC-PDRF-NOQ,macro_auroc,0.965781849729461,0.002793531752505882
office,RC-PDRF-NOQ,macro_f1,0.6204739047106071,0.011339139049149315
office,UF-PD,balanced_accuracy,0.8662481671751816,0.03379817158610729
office,UF-PD,class_2_f1,0.5468608859198809,0.0187270246214028
office,UF-PD,class_2_precision,0.4328961702844764,0.029516021110773658
office,UF-PD,class_2_recall,0.7508670520231214,0.07071776560582964
office,UF-PD,macro_auprc,0.7451802760593341,0.021707031602555674
office,UF-PD,macro_auroc,0.9673480160527891,0.008719904846528704
office,UF-PD,macro_f1,0.7676485779671954,0.009736506898719915
