grouping,groups,n_groups,seed,method,macro_auroc,accuracy
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,104,CAGF,0.8555800993905421,0.5584326306141155
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,104,PDRF,0.8487918364173929,0.5740146654445463
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,105,CAGF,0.817054113939176,0.5368927589367553
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,105,PDRF,0.861734423976848,0.6012832263978002
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,101,CAGF,0.8545202968456044,0.5258936755270394
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,101,PDRF,0.8512905897450004,0.5912007332722273
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,102,CAGF,0.856100080454686,0.5522456461961504
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,102,PDRF,0.8647021187270613,0.6033455545371219
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,103,CAGF,0.812773724120011,0.5272685609532539
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,103,PDRF,0.8639666902305113,0.5980751604032998
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,104,CAGF,0.844308418539535,0.5444546287809349
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,104,PDRF,0.8409634682418873,0.5726397800183318
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,105,CAGF,0.8336325569574243,0.5185609532538955
random_06,"[[11, 15, 9, 1], [2, 5, 0, 10], [14, 7, 4, 3], [12, 13, 8, 6]]",4,105,PDRF,0.8591673882434971,0.5889092575618698
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,101,CAGF,0.8074442101991087,0.5364344637946837
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,101,PDRF,0.8559044247954399,0.6058661778185152
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,102,CAGF,0.8025363682284142,0.5137488542621448
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,102,PDRF,0.8380559084110479,0.5749312557286893
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,103,CAGF,0.8408130433053063,0.5515582034830431
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,103,PDRF,0.8347270698582744,0.5565994500458296
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,104,CAGF,0.8214179480962157,0.535288725939505
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,104,PDRF,0.8315015407970686,0.5694317140238313
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,105,CAGF,0.827430572989928,0.5627864344637947
random_07,"[[5, 9, 1, 0], [13, 4, 6, 7], [8, 14, 2, 12], [15, 10, 11, 3]]",4,105,PDRF,0.8516819770215841,0.5884509624197983
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,101,CAGF,0.8310213431353423,0.5673693858845096
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,101,PDRF,0.8304723181763146,0.5515582034830431
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,102,CAGF,0.84593061762686,0.5508707607699358
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,102,PDRF,0.8448443360941466,0.5659945004582951
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,103,CAGF,0.8218015754114671,0.4956461961503208
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,103,PDRF,0.8349564795397132,0.5595783684692942
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,104,CAGF,0.7664914253711261,0.43927589367552705
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,104,PDRF,0.8501955107441308,0.571494042163153
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,105,CAGF,0.7957608524374424,0.5093950504124656
random_08,"[[9, 12, 11, 0], [2, 1, 3, 8], [4, 14, 6, 15], [10, 5, 13, 7]]",4,105,PDRF,0.8501628484473911,0.5639321723189734
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,101,CAGF,0.7887976948192494,0.49060494958753437
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,101,PDRF,0.8754146077551991,0.5973877176901925
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,102,CAGF,0.8608778582898179,0.5488084326306141
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,102,PDRF,0.8760101462734292,0.601512373968836
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,103,CAGF,0.8610057687011623,0.5689734188817599
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,103,PDRF,0.8573339959192369,0.5847846012832264
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,104,CAGF,0.8521599820539727,0.5565994500458296
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,104,PDRF,0.8549356089265719,0.578826764436297
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,105,CAGF,0.8702315629834847,0.5808890925756187
random_09,"[[3, 7, 2, 13], [6, 11, 14, 9], [5, 10, 4, 0], [8, 1, 12, 15]]",4,105,PDRF,0.8365352743007565,0.5483501374885427
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,101,CAGF,0.8075790900025317,0.5105407882676444
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,101,PDRF,0.8642595465327236,0.6104491292392301
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,102,CAGF,0.8163894593720262,0.518102658111824
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,102,PDRF,0.8509778280699093,0.5808890925756187
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,103,CAGF,0.8069390590170974,0.5116865261228231
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,103,PDRF,0.8313769996914839,0.5639321723189734
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,104,CAGF,0.7973005123607285,0.49358386801099907
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,104,PDRF,0.843584886563951,0.5767644362969753
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,105,CAGF,0.8308681236796657,0.5497250229147571
random_10,"[[5, 3, 0, 8], [11, 4, 6, 13], [14, 1, 10, 7], [12, 2, 9, 15]]",4,105,PDRF,0.858455383005706,0.5925756186984418
