task,test_index,nearest_train_index,same_class,euclidean_distance,cosine_similarity
cooler,909,663,True,2.066040515899658,0.9511376023292542
cooler,910,672,True,2.2361814975738525,0.9347860813140869
cooler,911,674,True,2.6273653507232666,0.8847363591194153
cooler,912,675,True,2.087683916091919,0.9313440918922424
cooler,913,670,True,1.7223327159881592,0.9442511796951294
cooler,914,675,True,1.910383939743042,0.9421920776367188
cooler,915,674,True,2.234156847000122,0.9117655158042908
cooler,916,675,True,2.6792733669281006,0.9130792617797852
cooler,917,664,True,3.23769474029541,0.8067611455917358
cooler,918,657,True,1.9205873012542725,0.9168826341629028
cooler,919,664,True,1.776041030883789,0.9306458830833435
cooler,920,686,True,1.3827370405197144,0.9688688516616821
cooler,921,715,True,1.986844539642334,0.9439207911491394
cooler,922,680,True,1.7803568840026855,0.950439989566803
cooler,923,686,True,1.2558122873306274,0.9777289628982544
cooler,924,681,True,2.4818224906921387,0.9227296113967896
cooler,925,680,True,1.6751495599746704,0.9642902612686157
cooler,926,690,True,1.725662350654602,0.9573173522949219
cooler,927,713,True,1.6039563417434692,0.9654886722564697
cooler,928,681,True,1.9966537952423096,0.9481881856918335
cooler,929,688,True,1.7018849849700928,0.9572732448577881
cooler,930,663,True,3.1079158782958984,0.9186115860939026
cooler,931,680,True,2.126814365386963,0.9325297474861145
cooler,932,680,True,2.0106284618377686,0.9441231489181519
cooler,933,678,True,6.150152206420898,0.8687998056411743
cooler,934,692,True,2.45615291595459,0.9182343482971191
cooler,935,663,True,2.4033453464508057,0.9367002844810486
cooler,936,719,True,1.3271920680999756,0.9712482690811157
cooler,937,689,True,1.213928461074829,0.9780322313308716
cooler,938,712,True,1.0884721279144287,0.982994794845581
cooler,939,699,True,1.7986963987350464,0.9573521614074707
cooler,940,690,True,1.1678112745285034,0.9756788611412048
cooler,941,689,True,1.6317638158798218,0.955966055393219
cooler,942,706,True,2.1965384483337402,0.9290862083435059
cooler,943,703,True,1.850638508796692,0.9415038228034973
cooler,944,658,True,2.7627577781677246,0.9134617447853088
cooler,945,718,True,1.6496771574020386,0.9643242359161377
cooler,946,701,True,1.9783469438552856,0.9255746006965637
cooler,947,702,True,1.737644910812378,0.9579377770423889
cooler,948,704,True,2.6315150260925293,0.9164516925811768
cooler,949,708,True,2.4780945777893066,0.9156008362770081
cooler,950,712,True,1.516678810119629,0.9674686193466187
cooler,951,719,True,2.006162643432617,0.9413191676139832
cooler,952,714,True,2.2784676551818848,0.924161434173584
cooler,953,703,True,1.7765934467315674,0.9457052946090698
cooler,954,719,True,1.7679349184036255,0.949795126914978
cooler,955,715,True,1.8058946132659912,0.9495630860328674
cooler,956,710,True,1.859141230583191,0.9617502689361572
cooler,957,719,True,1.6610372066497803,0.9654873013496399
cooler,958,710,True,1.608845829963684,0.9704489707946777
cooler,959,711,True,1.7414286136627197,0.9596920609474182
cooler,1377,1038,True,1.7135415077209473,0.9937283992767334
cooler,1378,1022,True,1.5005367994308472,0.9953030347824097
cooler,1379,1012,True,1.880954384803772,0.9939833879470825
cooler,1380,1215,True,2.3358407020568848,0.9898916482925415
cooler,1381,1028,True,1.6851768493652344,0.9943772554397583
cooler,1382,1036,True,1.8871448040008545,0.99286288022995
cooler,1383,1238,True,2.020463466644287,0.9919673204421997
cooler,1384,1022,True,1.5032023191452026,0.9952009916305542
cooler,1385,1090,True,1.9943262338638306,0.9923877120018005
cooler,1386,1093,True,1.8600767850875854,0.9935239553451538
cooler,1387,1028,True,1.6305242776870728,0.9945223331451416
