seed,method,subset,metric,value,n
109,RO-CAGF,assigned,macro_f1,0.42799756724374743,1765
109,RO-CAGF,assigned,macro_auroc,0.7919391409657551,1765
109,RO-CAGF,assigned,macro_auprc,0.48123195753634923,1765
109,RO-CAGF,assigned,nll,1.7258785074989011,1765
109,RO-CAGF,assigned,brier,0.7471266536383874,1765
109,RO-CAGF,assigned,ece15,0.21618889757638793,1765
109,RO-PDRF,assigned,accuracy,0.5121813031161473,1765
109,RO-PDRF,assigned,macro_f1,0.5056697371786538,1765
109,RO-PDRF,assigned,macro_auroc,0.8126094470456992,1765
109,RO-PDRF,assigned,macro_auprc,0.5348880622762552,1765
109,RO-PDRF,assigned,nll,3.151218726381192,1765
109,RO-PDRF,assigned,brier,0.8074211848391342,1765
109,RO-PDRF,assigned,ece15,0.35558757067870783,1765
110,CAGF,assigned,accuracy,0.5065155807365439,1765
110,CAGF,assigned,macro_f1,0.48968337931270534,1765
110,CAGF,assigned,macro_auroc,0.798941181511034,1765
110,CAGF,assigned,macro_auprc,0.5194974427166268,1765
110,CAGF,assigned,nll,2.3860871287169987,1765
110,CAGF,assigned,brier,0.8009913181963876,1765
110,CAGF,assigned,ece15,0.3111420411288266,1765
110,PDRF,assigned,accuracy,0.4651558073654391,1765
110,PDRF,assigned,macro_f1,0.4582439349253897,1765
110,PDRF,assigned,macro_auroc,0.7782862908952565,1765
110,PDRF,assigned,macro_auprc,0.47545871500846043,1765
110,PDRF,assigned,nll,3.236187126024193,1765
110,PDRF,assigned,brier,0.8749160939176818,1765
110,PDRF,assigned,ece15,0.3829229808469986,1765
110,RO-CAGF,assigned,accuracy,0.49688385269121815,1765
110,RO-CAGF,assigned,macro_f1,0.47970756140105775,1765
110,RO-CAGF,assigned,macro_auroc,0.7975299138250379,1765
110,RO-CAGF,assigned,macro_auprc,0.5137750931005088,1765
110,RO-CAGF,assigned,nll,2.088649892457003,1765
110,RO-CAGF,assigned,brier,0.7685356411273123,1765
110,RO-CAGF,assigned,ece15,0.28051172156224347,1765
110,RO-PDRF,assigned,accuracy,0.49235127478753543,1765
110,RO-PDRF,assigned,macro_f1,0.4758707458758526,1765
110,RO-PDRF,assigned,macro_auroc,0.79026199339597,1765
110,RO-PDRF,assigned,macro_auprc,0.5020874678463517,1765
110,RO-PDRF,assigned,nll,2.78873898633085,1765
110,RO-PDRF,assigned,brier,0.8230811619254148,1765
110,RO-PDRF,assigned,ece15,0.3429561084979101,1765
101,CAGF,fault_applied_available,accuracy,0.48119777158774374,1436
101,CAGF,fault_applied_available,macro_f1,0.45147758297942375,1436
101,CAGF,fault_applied_available,macro_auroc,0.8076354655474339,1436
101,CAGF,fault_applied_available,macro_auprc,0.525827193520005,1436
101,CAGF,fault_applied_available,nll,1.9710592842528518,1436
101,CAGF,fault_applied_available,brier,0.727635046449833,1436
101,CAGF,fault_applied_available,ece15,0.24461302793408807,1436
101,PDRF,fault_applied_available,accuracy,0.4658774373259053,1436
101,PDRF,fault_applied_available,macro_f1,0.45199743956865296,1436
101,PDRF,fault_applied_available,macro_auroc,0.7932117748123563,1436
101,PDRF,fault_applied_available,macro_auprc,0.4919056168061599,1436
101,PDRF,fault_applied_available,nll,2.7629917275341978,1436
101,PDRF,fault_applied_available,brier,0.8366796085650847,1436
101,PDRF,fault_applied_available,ece15,0.3520870295067561,1436
101,RO-CAGF,fault_applied_available,accuracy,0.5396935933147632,1436
101,RO-CAGF,fault_applied_available,macro_f1,0.5152356388245118,1436
