seed,fault_type,method,subset,metric,value,n
101,gaussian,SR-PDRF-Balanced,all,nll,1.9678869373792556,4364
101,gaussian,SR-PDRF-Balanced,all,brier,0.6951344832001685,4364
101,gaussian,SR-PDRF-Balanced,all,ece15,0.2727674869675356,4364
101,gaussian,SR-PDRF-Safe,all,accuracy,0.5547662694775435,4364
101,gaussian,SR-PDRF-Safe,all,macro_f1,0.5350891395472839,4364
101,gaussian,SR-PDRF-Safe,all,macro_auroc,0.8456320750239099,4364
101,gaussian,SR-PDRF-Safe,all,macro_auprc,0.5854219092645111,4364
101,gaussian,SR-PDRF-Safe,all,nll,1.9896685832368552,4364
101,gaussian,SR-PDRF-Safe,all,brier,0.6986968218735369,4364
101,gaussian,SR-PDRF-Safe,all,ece15,0.2765667849210945,4364
101,offset,PDRF,fault_applied_available,accuracy,0.483983286908078,1436
101,offset,PDRF,fault_applied_available,macro_f1,0.47401933972362387,1436
101,offset,PDRF,fault_applied_available,macro_auroc,0.8341197731168601,1436
101,offset,PDRF,fault_applied_available,macro_auprc,0.5802004222548602,1436
101,offset,PDRF,fault_applied_available,nll,2.614227732324696,1436
101,offset,PDRF,fault_applied_available,brier,0.8215548046624819,1436
101,offset,PDRF,fault_applied_available,ece15,0.3516998900344445,1436
101,offset,RO-PDRF-Full,fault_applied_available,accuracy,0.4777158774373259,1436
101,offset,RO-PDRF-Full,fault_applied_available,macro_f1,0.4607845325292139,1436
101,offset,RO-PDRF-Full,fault_applied_available,macro_auroc,0.8283894323623935,1436
101,offset,RO-PDRF-Full,fault_applied_available,macro_auprc,0.5554569729121845,1436
101,offset,RO-PDRF-Full,fault_applied_available,nll,2.4796447684181833,1436
101,offset,RO-PDRF-Full,fault_applied_available,brier,0.8160907653536528,1436
101,offset,RO-PDRF-Full,fault_applied_available,ece15,0.33754133088592037,1436
101,offset,SR-PDRF-Balanced,fault_applied_available,accuracy,0.48119777158774374,1436
101,offset,SR-PDRF-Balanced,fault_applied_available,macro_f1,0.47021508195116596,1436
101,offset,SR-PDRF-Balanced,fault_applied_available,macro_auroc,0.8317292355862825,1436
101,offset,SR-PDRF-Balanced,fault_applied_available,macro_auprc,0.5602315885972186,1436
101,offset,SR-PDRF-Balanced,fault_applied_available,nll,2.500297152917333,1436
101,offset,SR-PDRF-Balanced,fault_applied_available,brier,0.8224150748169187,1436
101,offset,SR-PDRF-Balanced,fault_applied_available,ece15,0.3442848804601388,1436
101,offset,SR-PDRF-Safe,fault_applied_available,accuracy,0.4818941504178273,1436
101,offset,SR-PDRF-Safe,fault_applied_available,macro_f1,0.4711108844994232,1436
101,offset,SR-PDRF-Safe,fault_applied_available,macro_auroc,0.8327622204310557,1436
101,offset,SR-PDRF-Safe,fault_applied_available,macro_auprc,0.5634119445043512,1436
101,offset,SR-PDRF-Safe,fault_applied_available,nll,2.535205861124757,1436
101,offset,SR-PDRF-Safe,fault_applied_available,brier,0.8228119776844866,1436
101,offset,SR-PDRF-Safe,fault_applied_available,ece15,0.348448594777863,1436
101,offset,PDRF,assigned,accuracy,0.4963172804532578,1765
101,offset,PDRF,assigned,macro_f1,0.48560767864605653,1765
101,offset,PDRF,assigned,macro_auroc,0.8353853927332846,1765
101,offset,PDRF,assigned,macro_auprc,0.5873617823030562,1765
101,offset,PDRF,assigned,nll,2.584528370020636,1765
101,offset,PDRF,assigned,brier,0.8097456467242394,1765
101,offset,PDRF,assigned,ece15,0.3480648389450214,1765
101,offset,RO-PDRF-Full,assigned,accuracy,0.48951841359773374,1765
101,offset,RO-PDRF-Full,assigned,macro_f1,0.474088901590107,1765
101,offset,RO-PDRF-Full,assigned,macro_auroc,0.8297790270969045,1765
101,offset,RO-PDRF-Full,assigned,macro_auprc,0.5641139195203704,1765
101,offset,RO-PDRF-Full,assigned,nll,2.4482733094286897,1765
101,offset,RO-PDRF-Full,assigned,brier,0.8042244900773498,1765
101,offset,RO-PDRF-Full,assigned,ece15,0.3344593134885469,1765
101,offset,SR-PDRF-Balanced,assigned,accuracy,0.4934844192634561,1765
101,offset,SR-PDRF-Balanced,assigned,macro_f1,0.4824251074449137,1765
101,offset,SR-PDRF-Balanced,assigned,macro_auroc,0.8326501079601433,1765
101,offset,SR-PDRF-Balanced,assigned,macro_auprc,0.5688549676678617,1765
101,offset,SR-PDRF-Balanced,assigned,nll,2.465798302690453,1765
101,offset,SR-PDRF-Balanced,assigned,brier,0.8095941238693799,1765
101,offset,SR-PDRF-Balanced,assigned,ece15,0.3406526581086113,1765
101,offset,SR-PDRF-Safe,assigned,accuracy,0.4940509915014164,1765
101,offset,SR-PDRF-Safe,assigned,macro_f1,0.48307859567452965,1765
101,offset,SR-PDRF-Safe,assigned,macro_auroc,0.8337461813838019,1765
101,offset,SR-PDRF-Safe,assigned,macro_auprc,0.5719566915568793,1765
101,offset,SR-PDRF-Safe,assigned,nll,2.4945807357033103,1765
101,offset,SR-PDRF-Safe,assigned,brier,0.8097402898011439,1765
101,offset,SR-PDRF-Safe,assigned,ece15,0.3443099734972287,1765
101,offset,PDRF,assigned_unavailable,accuracy,0.5501519756838906,329
101,offset,PDRF,assigned_unavailable,macro_f1,0.522474719915857,329
101,offset,PDRF,assigned_unavailable,macro_auroc,0.8438977156009363,329
101,offset,PDRF,assigned_unavailable,macro_auprc,0.6320754721512333,329
101,offset,PDRF,assigned_unavailable,nll,2.4548983266509388,329
101,offset,PDRF,assigned_unavailable,brier,0.758201723322063,329
101,offset,PDRF,assigned_unavailable,ece15,0.33519644115833525,329
101,offset,RO-PDRF-Full,assigned_unavailable,accuracy,0.541033434650456,329
101,offset,RO-PDRF-Full,assigned_unavailable,macro_f1,0.5145882202195509,329
101,offset,RO-PDRF-Full,assigned_unavailable,macro_auroc,0.8397663700124077,329
101,offset,RO-PDRF-Full,assigned_unavailable,macro_auprc,0.6244778838803988,329
101,offset,RO-PDRF-Full,assigned_unavailable,nll,2.311344996027741,329
101,offset,RO-PDRF-Full,assigned_unavailable,brier,0.7524312642512982,329
101,offset,RO-PDRF-Full,assigned_unavailable,ece15,0.32100707555252006,329
101,offset,SR-PDRF-Balanced,assigned_unavailable,accuracy,0.547112462006079,329
101,offset,SR-PDRF-Balanced,assigned_unavailable,macro_f1,0.5194350838792736,329
101,offset,SR-PDRF-Balanced,assigned_unavailable,macro_auroc,0.8406835424598834,329
101,offset,SR-PDRF-Balanced,assigned_unavailable,macro_auprc,0.6266536935739434,329
101,offset,SR-PDRF-Balanced,assigned_unavailable,nll,2.315219734526931,329
101,offset,SR-PDRF-Balanced,assigned_unavailable,brier,0.7536339853871136,329
101,offset,SR-PDRF-Balanced,assigned_unavailable,ece15,0.329791321218195,329
101,offset,SR-PDRF-Safe,assigned_unavailable,accuracy,0.547112462006079,329
101,offset,SR-PDRF-Safe,assigned_unavailable,macro_f1,0.5194350838792736,329
101,offset,SR-PDRF-Safe,assigned_unavailable,macro_auroc,0.8412516482975717,329
101,offset,SR-PDRF-Safe,assigned_unavailable,macro_auprc,0.6272929011749923,329
101,offset,SR-PDRF-Safe,assigned_unavailable,nll,2.317262559091766,329
101,offset,SR-PDRF-Safe,assigned_unavailable,brier,0.7526857493741526,329
101,offset,SR-PDRF-Safe,assigned_unavailable,ece15,0.33123851963814266,329
101,offset,PDRF,unaffected,accuracy,0.5952289342054636,2599
101,offset,PDRF,unaffected,macro_f1,0.5678425090401407,2599
101,offset,PDRF,unaffected,macro_auroc,0.8707090628307216,2599
101,offset,PDRF,unaffected,macro_auprc,0.6525005468297764,2599
101,offset,PDRF,unaffected,nll,1.8167823182321787,2599
101,offset,PDRF,unaffected,brier,0.6316594640550582,2599
101,offset,PDRF,unaffected,ece15,0.24570131812154355,2599
101,offset,RO-PDRF-Full,unaffected,accuracy,0.5852250865717584,2599
101,offset,RO-PDRF-Full,unaffected,macro_f1,0.5587407928915825,2599
101,offset,RO-PDRF-Full,unaffected,macro_auroc,0.8649073922656622,2599
101,offset,RO-PDRF-Full,unaffected,macro_auprc,0.6330105770015481,2599
101,offset,RO-PDRF-Full,unaffected,nll,1.7314622711746674,2599
101,offset,RO-PDRF-Full,unaffected,brier,0.6391555720070532,2599
101,offset,RO-PDRF-Full,unaffected,ece15,0.23947082220842952,2599
101,offset,SR-PDRF-Balanced,unaffected,accuracy,0.5944594074644094,2599
101,offset,SR-PDRF-Balanced,unaffected,macro_f1,0.5671737265103304,2599
101,offset,SR-PDRF-Balanced,unaffected,macro_auroc,0.8696661200490263,2599
101,offset,SR-PDRF-Balanced,unaffected,macro_auprc,0.6415190513374517,2599
101,offset,SR-PDRF-Balanced,unaffected,nll,1.7123049065976872,2599
101,offset,SR-PDRF-Balanced,unaffected,brier,0.6309680616583296,2599
101,offset,SR-PDRF-Balanced,unaffected,ece15,0.23824567976434585,2599
101,offset,SR-PDRF-Safe,unaffected,accuracy,0.5944594074644094,2599
101,offset,SR-PDRF-Safe,unaffected,macro_f1,0.5671875675302885,2599
101,offset,SR-PDRF-Safe,unaffected,macro_auroc,0.8699590332982291,2599
101,offset,SR-PDRF-Safe,unaffected,macro_auprc,0.6422729889511888,2599
101,offset,SR-PDRF-Safe,unaffected,nll,1.72996722984314,2599
101,offset,SR-PDRF-Safe,unaffected,brier,0.6315306115270144,2599
101,offset,SR-PDRF-Safe,unaffected,ece15,0.24065330657834227,2599
101,offset,PDRF,all,accuracy,0.555224564619615,4364
101,offset,PDRF,all,macro_f1,0.5358902154730062,4364
101,offset,PDRF,all,macro_auroc,0.8530708400202826,4364
101,offset,PDRF,all,macro_auprc,0.6178480853252508,4364
101,offset,PDRF,all,nll,2.1272937255205906,4364
101,offset,PDRF,all,brier,0.7036856126368879,4364
101,offset,PDRF,all,ece15,0.2866349256948306,4364
101,offset,RO-PDRF-Full,all,accuracy,0.5465169569202566,4364
101,offset,RO-PDRF-Full,all,macro_f1,0.5256881621335827,4364
101,offset,RO-PDRF-Full,all,macro_auroc,0.8467086717253814,4364
101,offset,RO-PDRF-Full,all,macro_auprc,0.5957569695495039,4364
101,offset,RO-PDRF-Full,all,nll,2.021373243337442,4364
101,offset,RO-PDRF-Full,all,brier,0.7059169469827804,4364
101,offset,RO-PDRF-Full,all,ece15,0.2778885283402409,4364
101,offset,SR-PDRF-Balanced,all,accuracy,0.5536205316223648,4364
101,offset,SR-PDRF-Balanced,all,macro_f1,0.5342560001891561,4364
101,offset,SR-PDRF-Balanced,all,macro_auroc,0.8504562272399802,4364
101,offset,SR-PDRF-Balanced,all,macro_auprc,0.6025718262370464,4364
101,offset,SR-PDRF-Balanced,all,nll,2.017051891956013,4364
101,offset,SR-PDRF-Balanced,all,brier,0.703212562071369,4364
101,offset,SR-PDRF-Balanced,all,ece15,0.27919689449801777,4364
101,offset,SR-PDRF-Safe,all,accuracy,0.5538496791934006,4364
101,offset,SR-PDRF-Safe,all,macro_f1,0.5344919579409199,4364
101,offset,SR-PDRF-Safe,all,macro_auroc,0.8512917378187798,4364
101,offset,SR-PDRF-Safe,all,macro_auprc,0.6043833861153772,4364
101,offset,SR-PDRF-Safe,all,nll,2.0392116931435984,4364
101,offset,SR-PDRF-Safe,all,brier,0.7036067073459509,4364
101,offset,SR-PDRF-Safe,all,ece15,0.2821099568639842,4364
101,drift,PDRF,fault_applied_available,accuracy,0.5083565459610028,1436
101,drift,PDRF,fault_applied_available,macro_f1,0.4975042796963299,1436
101,drift,PDRF,fault_applied_available,macro_auroc,0.8392453089738212,1436
101,drift,PDRF,fault_applied_available,macro_auprc,0.5937184899425848,1436
101,drift,PDRF,fault_applied_available,nll,2.460324224996723,1436
101,drift,PDRF,fault_applied_available,brier,0.7814062923234529,1436
101,drift,PDRF,fault_applied_available,ece15,0.33116173794010556,1436
101,drift,RO-PDRF-Full,fault_applied_available,accuracy,0.504874651810585,1436
101,drift,RO-PDRF-Full,fault_applied_available,macro_f1,0.48975549283287645,1436
101,drift,RO-PDRF-Full,fault_applied_available,macro_auroc,0.8314936843638194,1436
101,drift,RO-PDRF-Full,fault_applied_available,macro_auprc,0.5693238956145726,1436
101,drift,RO-PDRF-Full,fault_applied_available,nll,2.3334751041917348,1436
101,drift,RO-PDRF-Full,fault_applied_available,brier,0.7814208730456906,1436
101,drift,RO-PDRF-Full,fault_applied_available,ece15,0.3146387466066063,1436
101,drift,SR-PDRF-Balanced,fault_applied_available,accuracy,0.5041782729805014,1436
101,drift,SR-PDRF-Balanced,fault_applied_available,macro_f1,0.49252413602848993,1436
101,drift,SR-PDRF-Balanced,fault_applied_available,macro_auroc,0.8359287632622959,1436
101,drift,SR-PDRF-Balanced,fault_applied_available,macro_auprc,0.5738368784960196,1436
101,drift,SR-PDRF-Balanced,fault_applied_available,nll,2.3515122315822747,1436
101,drift,SR-PDRF-Balanced,fault_applied_available,brier,0.7852897404941515,1436
101,drift,SR-PDRF-Balanced,fault_applied_available,ece15,0.3266257952929872,1436
101,drift,SR-PDRF-Safe,fault_applied_available,accuracy,0.5055710306406686,1436
101,drift,SR-PDRF-Safe,fault_applied_available,macro_f1,0.49441713592606473,1436
101,drift,SR-PDRF-Safe,fault_applied_available,macro_auroc,0.8365597891168113,1436
101,drift,SR-PDRF-Safe,fault_applied_available,macro_auprc,0.576505409916554,1436
101,drift,SR-PDRF-Safe,fault_applied_available,nll,2.3777186505043524,1436
101,drift,SR-PDRF-Safe,fault_applied_available,brier,0.7846726443261735,1436
101,drift,SR-PDRF-Safe,fault_applied_available,ece15,0.327691538088169,1436
101,drift,PDRF,assigned,accuracy,0.5161473087818697,1765
101,drift,PDRF,assigned,macro_f1,0.504254528383626,1765
101,drift,PDRF,assigned,macro_auroc,0.8400554953649687,1765
101,drift,PDRF,assigned,macro_auprc,0.600927841747619,1765
101,drift,PDRF,assigned,nll,2.459312825248415,1765
101,drift,PDRF,assigned,brier,0.7770809080733356,1765
101,drift,PDRF,assigned,ece15,0.33135505666476134,1765
101,drift,RO-PDRF-Full,assigned,accuracy,0.511614730878187,1765
101,drift,RO-PDRF-Full,assigned,macro_f1,0.49683416011978015,1765
101,drift,RO-PDRF-Full,assigned,macro_auroc,0.8330203034073381,1765
101,drift,RO-PDRF-Full,assigned,macro_auprc,0.5774634474172494,1765
101,drift,RO-PDRF-Full,assigned,nll,2.329350001876747,1765
101,drift,RO-PDRF-Full,assigned,brier,0.7760171442675857,1765
101,drift,RO-PDRF-Full,assigned,ece15,0.315410723159401,1765
101,drift,SR-PDRF-Balanced,assigned,accuracy,0.5121813031161473,1765
101,drift,SR-PDRF-Balanced,assigned,macro_f1,0.5000564579982384,1765
101,drift,SR-PDRF-Balanced,assigned,macro_auroc,0.8366521423924934,1765
101,drift,SR-PDRF-Balanced,assigned,macro_auprc,0.582076209382136,1765
101,drift,SR-PDRF-Balanced,assigned,nll,2.3447472278818733,1765
101,drift,SR-PDRF-Balanced,assigned,brier,0.7793890360011115,1765
101,drift,SR-PDRF-Balanced,assigned,ece15,0.3262852356555442,1765
101,drift,SR-PDRF-Safe,assigned,accuracy,0.513314447592068,1765
101,drift,SR-PDRF-Safe,assigned,macro_f1,0.501443464049592,1765
101,drift,SR-PDRF-Safe,assigned,macro_auroc,0.8373899722806076,1765
101,drift,SR-PDRF-Safe,assigned,macro_auprc,0.5844991832453965,1765
101,drift,SR-PDRF-Safe,assigned,nll,2.3664494980540742,1765
101,drift,SR-PDRF-Safe,assigned,brier,0.7787102146155702,1765
101,drift,SR-PDRF-Safe,assigned,ece15,0.32742205174381267,1765
101,drift,PDRF,assigned_unavailable,accuracy,0.5501519756838906,329
101,drift,PDRF,assigned_unavailable,macro_f1,0.522474719915857,329
101,drift,PDRF,assigned_unavailable,macro_auroc,0.8438977156009363,329
101,drift,PDRF,assigned_unavailable,macro_auprc,0.6320754721512333,329
101,drift,PDRF,assigned_unavailable,nll,2.4548983266509388,329
101,drift,PDRF,assigned_unavailable,brier,0.758201723322063,329
101,drift,PDRF,assigned_unavailable,ece15,0.33519644115833525,329
101,drift,RO-PDRF-Full,assigned_unavailable,accuracy,0.541033434650456,329
101,drift,RO-PDRF-Full,assigned_unavailable,macro_f1,0.5145882202195509,329
101,drift,RO-PDRF-Full,assigned_unavailable,macro_auroc,0.8397663700124077,329
101,drift,RO-PDRF-Full,assigned_unavailable,macro_auprc,0.6244778838803988,329
101,drift,RO-PDRF-Full,assigned_unavailable,nll,2.311344996027741,329
101,drift,RO-PDRF-Full,assigned_unavailable,brier,0.7524312642512982,329
101,drift,RO-PDRF-Full,assigned_unavailable,ece15,0.32100707555252006,329
101,drift,SR-PDRF-Balanced,assigned_unavailable,accuracy,0.547112462006079,329
