model,regime,metric,mean,sd,n,ci95
LWF,silent_failure,coverage_80_risk,0.2579166666666667,0.00853270282758397,20,0.003739621896639355
LWF,silent_failure,ece,0.03904711404383803,0.00967389984449529,20,0.0042397735413239575
LWF,silent_failure,mean_uncertainty,0.2658552125096321,0.009738952842495381,20,0.004268284274754957
LWF,silent_failure,nll,0.5785384129663793,0.01080494702316483,20,0.004735476823267788
MD,ID_missing,auprc,0.7805735815416687,0.010171108352807417,20,0.004457684777945086
MD,ID_missing,aurc,0.1703390277777778,0.0071621847090014915,20,0.0031389658478404294
MD,ID_missing,auroc,0.7860038940396525,0.008601118555452437,20,0.0037696064114151827
MD,ID_missing,brier,0.189820446679104,0.003987806275715527,20,0.0017477331590656363
MD,ID_missing,coverage_80_risk,0.2444375,0.00991951805534385,20,0.004347420468453932
MD,ID_missing,ece,0.037831171722275514,0.008381723815442155,20,0.0036734524271116818
MD,ID_missing,mean_uncertainty,0.2591313846409321,0.005924618792343208,20,0.002596578670648616
MD,ID_missing,nll,0.5624252881083793,0.009431158740572945,20,0.004133387561900432
MD,noise_shift,auprc,0.7705902347092891,0.009082135640804975,20,0.003980421444047853
MD,noise_shift,aurc,0.17711333333333332,0.00771173357670752,20,0.0033798162583695782
MD,noise_shift,auroc,0.7788166507596073,0.008096899377105572,20,0.0035486226131800176
MD,noise_shift,brier,0.19295982867129552,0.0038995606320580993,20,0.0017090578005101353
MD,noise_shift,coverage_80_risk,0.24958333333333335,0.009011850547606613,20,0.003949617643793349
MD,noise_shift,ece,0.038967926356444756,0.00836187784474311,20,0.003664754546957425
MD,noise_shift,mean_uncertainty,0.26661971807479856,0.006878265813996995,20,0.0030145329057724
MD,noise_shift,nll,0.5706594060257976,0.010225215791198661,20,0.004481398408370002
MD,outlier_shift,auprc,0.7543887100065592,0.0128390246693432,20,0.005626950657387838
MD,outlier_shift,aurc,0.18964481481481482,0.008384173772907485,20,0.0036745261683128355
MD,outlier_shift,auroc,0.768105348590155,0.009043286074402364,20,0.003963394870858818
MD,outlier_shift,brier,0.19895547507955552,0.004670518671862107,20,0.002046945059131278
MD,outlier_shift,coverage_80_risk,0.258375,0.010322734377539685,20,0.004524137813243132
MD,outlier_shift,ece,0.05220458611777673,0.00953093684807105,20,0.004177117245582712
MD,outlier_shift,mean_uncertainty,0.2550916612148285,0.005924971208413773,20,0.0025967331238014846
MD,outlier_shift,nll,0.5936494954608018,0.016427960205056675,20,0.007199871007032949
MD,silent_failure,auprc,0.757767444793208,0.013002653309237925,20,0.005698664070714444
MD,silent_failure,aurc,0.18780941798941797,0.009866022241483583,20,0.0043239748942984985
MD,silent_failure,auroc,0.7659165812016564,0.010773239750451724,20,0.004721580498302933
MD,silent_failure,brier,0.20039722012603517,0.004962586855850736,20,0.002174949584570122
MD,silent_failure,coverage_80_risk,0.2650416666666667,0.01110152181233311,20,0.004865456455510405
MD,silent_failure,ece,0.05853170553147793,0.00860385424903521,20,0.003770805381991254
MD,silent_failure,mean_uncertainty,0.2511835008859634,0.00737649792245242,20,0.003232892754935958
MD,silent_failure,nll,0.5913582908292163,0.013438380291669503,20,0.005889629840574626
QWF,ID_missing,auprc,0.7859344844189718,0.010335813888601877,20,0.004529870161709246
QWF,ID_missing,aurc,0.16481388888888887,0.0066445825997885795,20,0.00291211672154695
QWF,ID_missing,auroc,0.7902017364944871,0.008209683358209834,20,0.003598052372290365
QWF,ID_missing,brier,0.18708498673711715,0.0036849426382550374,20,0.0016149973175358333
QWF,ID_missing,coverage_80_risk,0.24141666666666667,0.01023160165930143,20,0.004484197138463937
QWF,ID_missing,ece,0.02690617123305177,0.0064825220436279685,20,0.002841090551217827
QWF,ID_missing,mean_uncertainty,0.2751030534505844,0.007404065356690383,20,0.003244974715692541
QWF,ID_missing,nll,0.5535199698399423,0.008683202571145394,20,0.0038055813174504827
QWF,noise_shift,auprc,0.7781107471296428,0.007195694228649883,20,0.003153652042350554
QWF,noise_shift,aurc,0.17112141534391534,0.0063430130640160275,20,0.002779948045088576
QWF,noise_shift,auroc,0.7840190023846951,0.006842453096967041,20,0.0029988372905037633
QWF,noise_shift,brier,0.18997769023815608,0.0030387914544865026,20,0.0013318090752887466
