seed,variant,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
102,minus_auc,all,macro_auroc,0.8431731407916034,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,all,macro_auprc,0.5960357783794807,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,all,nll,1.9128115151609044,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,all,brier,0.6585386494811909,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,all,ece15,0.2430543962090962,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,affected,accuracy,0.4951841359773371,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,affected,macro_f1,0.48876026110876314,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,affected,macro_auroc,0.8045166837914727,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,affected,macro_auprc,0.5317340401412908,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,affected,nll,2.3969644942773947,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,affected,brier,0.7718230739216835,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,affected,ece15,0.3051569940517036,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,unaffected,accuracy,0.5917660638707195,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,unaffected,macro_f1,0.5559407504303261,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,unaffected,macro_auroc,0.8718772898564104,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,unaffected,macro_auprc,0.6482156688111157,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,unaffected,nll,1.5840196690121529,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,unaffected,brier,0.5816063643186401,19740,17.400494200002868,0.0023994271282369558
102,minus_auc,unaffected,ece15,0.2011073464015302,19740,17.400494200002868,0.0023994271282369558
103,full,all,accuracy,0.5391842346471127,19740,16.824666200001957,0.0021714023846341594
103,full,all,macro_f1,0.5285669307456122,19740,16.824666200001957,0.0021714023846341594
103,full,all,macro_auroc,0.8327776009627771,19740,16.824666200001957,0.0021714023846341594
103,full,all,macro_auprc,0.5715439848826379,19740,16.824666200001957,0.0021714023846341594
103,full,all,nll,2.401627877742327,19740,16.824666200001957,0.0021714023846341594
103,full,all,brier,0.720429500210468,19740,16.824666200001957,0.0021714023846341594
103,full,all,ece15,0.30268903969898886,19740,16.824666200001957,0.0021714023846341594
103,full,affected,accuracy,0.4781869688385269,19740,16.824666200001957,0.0021714023846341594
103,full,affected,macro_f1,0.4750797174921389,19740,16.824666200001957,0.0021714023846341594
103,full,affected,macro_auroc,0.7913013636550925,19740,16.824666200001957,0.0021714023846341594
103,full,affected,macro_auprc,0.5104094569521932,19740,16.824666200001957,0.0021714023846341594
103,full,affected,nll,3.1963247232157093,19740,16.824666200001957,0.0021714023846341594
103,full,affected,brier,0.857191835449284,19740,16.824666200001957,0.0021714023846341594
103,full,affected,ece15,0.3804175232355047,19740,16.824666200001957,0.0021714023846341594
103,full,unaffected,accuracy,0.5806079261254329,19740,16.824666200001957,0.0021714023846341594
103,full,unaffected,macro_f1,0.5627904088590926,19740,16.824666200001957,0.0021714023846341594
103,full,unaffected,macro_auroc,0.8640518087158068,19740,16.824666200001957,0.0021714023846341594
103,full,unaffected,macro_auprc,0.6218318854033846,19740,16.824666200001957,0.0021714023846341594
103,full,unaffected,nll,1.8619434097698295,19740,16.824666200001957,0.0021714023846341594
103,full,unaffected,brier,0.6275531932860701,19740,16.824666200001957,0.0021714023846341594
