task,seed,method,fault,subset,metric,value,n
cooler,102,RO-PDRF,pressure,unaffected,accuracy,1.0,134
cooler,102,RO-PDRF,pressure,unaffected,macro_f1,1.0,134
cooler,102,RO-PDRF,pressure,unaffected,macro_auroc,1.0,134
cooler,102,RO-PDRF,pressure,unaffected,macro_auprc,1.0,134
cooler,102,RO-PDRF,pressure,unaffected,nll,1.1920929665620914e-07,134
cooler,102,RO-PDRF,pressure,unaffected,brier,1.999999984016789e-24,134
cooler,102,RO-PDRF,pressure,unaffected,ece15,0.0,134
cooler,102,RO-PDRF,vibration,all,accuracy,0.9953271028037384,214
cooler,102,RO-PDRF,vibration,all,macro_f1,0.9953379953379953,214
cooler,102,RO-PDRF,vibration,all,macro_auroc,1.0,214
cooler,102,RO-PDRF,vibration,all,macro_auprc,1.0,214
cooler,102,RO-PDRF,vibration,all,nll,0.003291428938985473,214
cooler,102,RO-PDRF,vibration,all,brier,0.0023887512020895263,214
cooler,102,RO-PDRF,vibration,all,ece15,0.0023624551630465783,214
cooler,102,RO-PDRF,vibration,affected,accuracy,0.989010989010989,91
cooler,102,RO-PDRF,vibration,affected,macro_f1,0.9893816874948951,91
cooler,102,RO-PDRF,vibration,affected,macro_auroc,1.0,91
cooler,102,RO-PDRF,vibration,affected,macro_auprc,1.0,91
cooler,102,RO-PDRF,vibration,affected,nll,0.0077401223098835445,91
cooler,102,RO-PDRF,vibration,affected,brier,0.005617502826891853,91
cooler,102,RO-PDRF,vibration,affected,ece15,0.005555663790021624,91
cooler,102,RO-PDRF,vibration,unaffected,accuracy,1.0,123
cooler,102,RO-PDRF,vibration,unaffected,macro_f1,1.0,123
cooler,102,RO-PDRF,vibration,unaffected,macro_auroc,1.0,123
cooler,102,RO-PDRF,vibration,unaffected,macro_auprc,1.0,123
cooler,102,RO-PDRF,vibration,unaffected,nll,1.192092966562092e-07,123
cooler,102,RO-PDRF,vibration,unaffected,brier,1.999999984016789e-24,123
cooler,102,RO-PDRF,vibration,unaffected,ece15,0.0,123
cooler,103,RO-CAGF,pressure,all,accuracy,0.8691588785046729,214
cooler,103,RO-CAGF,pressure,all,macro_f1,0.8683697592512183,214
cooler,103,RO-CAGF,pressure,all,macro_auroc,0.9359477083948914,214
cooler,103,RO-CAGF,pressure,all,macro_auprc,0.8739425526176513,214
cooler,103,RO-CAGF,pressure,all,nll,1.5044070894898702,214
cooler,103,RO-CAGF,pressure,all,brier,0.25370730016177584,214
cooler,103,RO-CAGF,pressure,all,ece15,0.12745146216633166,214
cooler,103,RO-CAGF,pressure,affected,accuracy,0.825,80
cooler,103,RO-CAGF,pressure,affected,macro_f1,0.8175498575498575,80
cooler,103,RO-CAGF,pressure,affected,macro_auroc,0.9381359366954003,80
cooler,103,RO-CAGF,pressure,affected,macro_auprc,0.8743113172474614,80
cooler,103,RO-CAGF,pressure,affected,nll,1.5496264972005567,80
cooler,103,RO-CAGF,pressure,affected,brier,0.333451497808277,80
cooler,103,RO-CAGF,pressure,affected,ece15,0.1671752385795117,80
cooler,103,RO-CAGF,pressure,unaffected,accuracy,0.8955223880597015,134
cooler,103,RO-CAGF,pressure,unaffected,macro_f1,0.8988143631436314,134
cooler,103,RO-CAGF,pressure,unaffected,macro_auroc,0.9334656084656084,134
cooler,103,RO-CAGF,pressure,unaffected,macro_auprc,0.8719815412338056,134
cooler,103,RO-CAGF,pressure,unaffected,nll,1.4774104281700575,134
cooler,103,RO-CAGF,pressure,unaffected,brier,0.20609882395490953,134
cooler,103,RO-CAGF,pressure,unaffected,ece15,0.10373576185596527,134
cooler,103,RO-CAGF,vibration,all,accuracy,0.897196261682243,214
cooler,103,RO-CAGF,vibration,all,macro_f1,0.8964155112691458,214
cooler,103,RO-CAGF,vibration,all,macro_auroc,0.9212055550083719,214
cooler,103,RO-CAGF,vibration,all,macro_auprc,0.8531147672044409,214
cooler,103,RO-CAGF,vibration,all,nll,1.5300143602668492,214
cooler,103,RO-CAGF,vibration,all,brier,0.205224507489145,214
cooler,103,RO-CAGF,vibration,all,ece15,0.1045029139685854,214
cooler,103,RO-CAGF,vibration,affected,accuracy,0.9010989010989011,91
cooler,103,RO-CAGF,vibration,affected,macro_f1,0.8845726970033296,91
cooler,103,RO-CAGF,vibration,affected,macro_auroc,0.9117357001972387,91
cooler,103,RO-CAGF,vibration,affected,macro_auprc,0.8205643738977072,91
cooler,103,RO-CAGF,vibration,affected,nll,1.5847330921586074,91
cooler,103,RO-CAGF,vibration,affected,brier,0.2031594808973027,91
cooler,103,RO-CAGF,vibration,affected,ece15,0.10459033244258753,91
cooler,103,RO-CAGF,vibration,unaffected,accuracy,0.8943089430894309,123
cooler,103,RO-CAGF,vibration,unaffected,macro_f1,0.9019182656360606,123
cooler,103,RO-CAGF,vibration,unaffected,macro_auroc,0.9270180436847104,123
cooler,103,RO-CAGF,vibration,unaffected,macro_auprc,0.873550871018047,123
cooler,103,RO-CAGF,vibration,unaffected,nll,1.4895313960217262,123
cooler,103,RO-CAGF,vibration,unaffected,brier,0.2067522913904266,123
cooler,103,RO-CAGF,vibration,unaffected,ece15,0.1044382656492838,123
cooler,103,RO-PDRF,pressure,all,accuracy,0.9906542056074766,214
cooler,103,RO-PDRF,pressure,all,macro_f1,0.9906084656084656,214
cooler,103,RO-PDRF,pressure,all,macro_auroc,0.9962080173347779,214
cooler,103,RO-PDRF,pressure,all,macro_auprc,0.9918401318554957,214
cooler,103,RO-PDRF,pressure,all,nll,0.12328801410962305,214
cooler,103,RO-PDRF,pressure,all,brier,0.018691042912016714,214
cooler,103,RO-PDRF,pressure,all,ece15,0.009345377160009938,214
cooler,103,RO-PDRF,pressure,affected,accuracy,0.975,80
cooler,103,RO-PDRF,pressure,affected,macro_f1,0.9720279720279721,80
cooler,103,RO-PDRF,pressure,affected,macro_auroc,0.9893799185452528,80
cooler,103,RO-PDRF,pressure,affected,macro_auprc,0.9731063842606286,80
cooler,103,RO-PDRF,pressure,affected,nll,0.3297952186961429,80
cooler,103,RO-PDRF,pressure,affected,brier,0.04999853978957419,80
cooler,103,RO-PDRF,pressure,affected,ece15,0.024999046325683616,80
cooler,103,RO-PDRF,pressure,unaffected,accuracy,1.0,134
cooler,103,RO-PDRF,pressure,unaffected,macro_f1,1.0,134
cooler,103,RO-PDRF,pressure,unaffected,macro_auroc,1.0,134
cooler,103,RO-PDRF,pressure,unaffected,macro_auprc,1.0,134
cooler,103,RO-PDRF,pressure,unaffected,nll,1.3077438732576168e-07,134
cooler,103,RO-PDRF,pressure,unaffected,brier,4.2097602391106806e-14,134
cooler,103,RO-PDRF,pressure,unaffected,ece15,0.0,134
cooler,103,RO-PDRF,vibration,all,accuracy,0.9953271028037384,214
cooler,103,RO-PDRF,vibration,all,macro_f1,0.9953379953379953,214
cooler,103,RO-PDRF,vibration,all,macro_auroc,1.0,214
cooler,103,RO-PDRF,vibration,all,macro_auprc,1.0,214
cooler,103,RO-PDRF,vibration,all,nll,0.017974162164693698,214
cooler,103,RO-PDRF,vibration,all,brier,0.008951947277630327,214
cooler,103,RO-PDRF,vibration,all,ece15,0.004352104998080475,214
cooler,103,RO-PDRF,vibration,affected,accuracy,0.989010989010989,91
