method,seed,subset,metric,value,n
PDRF+CD,103,affected,brier,0.8639769386517276,1765
PDRF+CD,103,affected,ece15,0.39026360547238637,1765
PDRF+CD,103,unaffected,accuracy,0.5844555598307041,2599
PDRF+CD,103,unaffected,macro_f1,0.5676953575607298,2599
PDRF+CD,103,unaffected,macro_auroc,0.8629327337641918,2599
PDRF+CD,103,unaffected,macro_auprc,0.622548762981442,2599
PDRF+CD,103,unaffected,nll,1.9010815076016083,2599
PDRF+CD,103,unaffected,brier,0.6316130894814348,2599
PDRF+CD,103,unaffected,ece15,0.2543028913561589,2599
PDRF+EMA-CD,103,all,accuracy,0.5639321723189734,4364
PDRF+EMA-CD,103,all,macro_f1,0.5310800243672521,4364
PDRF+EMA-CD,103,all,macro_auroc,0.8399105824880037,4364
PDRF+EMA-CD,103,all,macro_auprc,0.5831749361132936,4364
PDRF+EMA-CD,103,all,nll,2.0034613882098706,4364
PDRF+EMA-CD,103,all,brier,0.6823024829638294,4364
PDRF+EMA-CD,103,all,ece15,0.2639485549328526,4364
PDRF+EMA-CD,103,affected,accuracy,0.49178470254957507,1765
PDRF+EMA-CD,103,affected,macro_f1,0.46998504796523816,1765
PDRF+EMA-CD,103,affected,macro_auroc,0.7964902574610795,1765
PDRF+EMA-CD,103,affected,macro_auprc,0.5102344315192525,1765
PDRF+EMA-CD,103,affected,nll,2.534871288472833,1765
PDRF+EMA-CD,103,affected,brier,0.8121490734782068,1765
PDRF+EMA-CD,103,affected,ece15,0.33250044964190584,1765
PDRF+EMA-CD,103,unaffected,accuracy,0.6129280492497114,2599
PDRF+EMA-CD,103,unaffected,macro_f1,0.5705963990414152,2599
PDRF+EMA-CD,103,unaffected,macro_auroc,0.8727361152360761,2599
PDRF+EMA-CD,103,unaffected,macro_auprc,0.6424566364635588,2599
PDRF+EMA-CD,103,unaffected,nll,1.642577019620364,2599
PDRF+EMA-CD,103,unaffected,brier,0.5941227091054699,2599
PDRF+EMA-CD,103,unaffected,ece15,0.219069170694986,2599
PDRF+Soft-CD,103,all,accuracy,0.5384967919340055,4364
PDRF+Soft-CD,103,all,macro_f1,0.5302720140566093,4364
PDRF+Soft-CD,103,all,macro_auroc,0.8306199927404821,4364
PDRF+Soft-CD,103,all,macro_auprc,0.5682275861358052,4364
PDRF+Soft-CD,103,all,nll,2.512373166248311,4364
PDRF+Soft-CD,103,all,brier,0.7292169650873283,4364
PDRF+Soft-CD,103,all,ece15,0.31053724149831063,4364
PDRF+Soft-CD,103,affected,accuracy,0.4696883852691218,1765
PDRF+Soft-CD,103,affected,macro_f1,0.4687795648731175,1765
PDRF+Soft-CD,103,affected,macro_auroc,0.7870794045759362,1765
PDRF+Soft-CD,103,affected,macro_auprc,0.5027237886836189,1765
PDRF+Soft-CD,103,affected,nll,3.3792193562298505,1765
PDRF+Soft-CD,103,affected,brier,0.8702046705380013,1765
PDRF+Soft-CD,103,affected,ece15,0.3948475868691803,1765
PDRF+Soft-CD,103,unaffected,accuracy,0.5852250865717584,2599
PDRF+Soft-CD,103,unaffected,macro_f1,0.5697183092853323,2599
PDRF+Soft-CD,103,unaffected,macro_auroc,0.8634719202962143,2599
PDRF+Soft-CD,103,unaffected,macro_auprc,0.6230041912581673,2599
PDRF+Soft-CD,103,unaffected,nll,1.9236915481962076,2599
PDRF+Soft-CD,103,unaffected,brier,0.6334711781998955,2599
PDRF+Soft-CD,103,unaffected,ece15,0.2538708946988325,2599
RO-AT-GATE,103,all,accuracy,0.5114573785517873,4364
RO-AT-GATE,103,all,macro_f1,0.4840114724951375,4364
RO-AT-GATE,103,all,macro_auroc,0.796045669074541,4364
RO-AT-GATE,103,all,macro_auprc,0.522920766668261,4364
RO-AT-GATE,103,all,nll,2.0639460119344686,4364
RO-AT-GATE,103,all,brier,0.7468113940307408,4364
RO-AT-GATE,103,all,ece15,0.2724106577348807,4364
RO-AT-GATE,103,affected,accuracy,0.4668555240793201,1765
RO-AT-GATE,103,affected,macro_f1,0.44467992364630965,1765
RO-AT-GATE,103,affected,macro_auroc,0.7695973003620377,1765
RO-AT-GATE,103,affected,macro_auprc,0.48642118088718506,1765
RO-AT-GATE,103,affected,nll,2.323467318173922,1765
RO-AT-GATE,103,affected,brier,0.8207190711515315,1765
RO-AT-GATE,103,affected,ece15,0.31219765255201304,1765
RO-AT-GATE,103,unaffected,accuracy,0.5417468257021931,2599
RO-AT-GATE,103,unaffected,macro_f1,0.5089862490495489,2599
RO-AT-GATE,103,unaffected,macro_auroc,0.8153893815190437,2599
RO-AT-GATE,103,unaffected,macro_auprc,0.5538944176232083,2599
RO-AT-GATE,103,unaffected,nll,1.8877031856502688,2599
RO-AT-GATE,103,unaffected,brier,0.696620147351943,2599
RO-AT-GATE,103,unaffected,ece15,0.2453910306399948,2599
