method,seed,subset,metric,value
PDRF_INT,102,affected,macro_auprc,0.5112582844597923
PDRF_INT,102,affected,nll,2.9028379107494775
PDRF_INT,102,affected,brier,0.8303663819471921
PDRF_INT,102,affected,ece15,0.3417837709779442
PDRF_INT,102,unaffected,accuracy,0.5821469796075414
PDRF_INT,102,unaffected,macro_f1,0.5469907422414934
PDRF_INT,102,unaffected,macro_auroc,0.865867651229637
PDRF_INT,102,unaffected,macro_auprc,0.6390366455400748
PDRF_INT,102,unaffected,nll,1.7502939881191397
PDRF_INT,102,unaffected,brier,0.6087247847535053
PDRF_INT,102,unaffected,ece15,0.22310334790917996
PDRF_INT,103,all,accuracy,0.5320806599450045
PDRF_INT,103,all,macro_f1,0.5205731214610737
PDRF_INT,103,all,macro_auroc,0.8234220066759795
PDRF_INT,103,all,macro_auprc,0.5527390323788812
PDRF_INT,103,all,nll,2.5697234924343233
PDRF_INT,103,all,brier,0.7339872094446032
PDRF_INT,103,all,ece15,0.30505626742906466
PDRF_INT,103,affected,accuracy,0.458356940509915
PDRF_INT,103,affected,macro_f1,0.4547138746198154
PDRF_INT,103,affected,macro_auroc,0.7698067705172851
PDRF_INT,103,affected,macro_auprc,0.477220104547385
PDRF_INT,103,affected,nll,3.647533754212638
PDRF_INT,103,affected,brier,0.897314161954468
PDRF_INT,103,affected,ece15,0.3984170256694384
PDRF_INT,103,unaffected,accuracy,0.5821469796075414
PDRF_INT,103,unaffected,macro_f1,0.5620244571851303
PDRF_INT,103,unaffected,macro_auroc,0.864892118491166
PDRF_INT,103,unaffected,macro_auprc,0.6195936186982769
PDRF_INT,103,unaffected,nll,1.8377746228542058
PDRF_INT,103,unaffected,brier,0.6230706757085849
PDRF_INT,103,unaffected,ece15,0.24189415181907797
PDRF_REC,101,all,accuracy,0.5545371219065078
PDRF_REC,101,all,macro_f1,0.5366429351772982
PDRF_REC,101,all,macro_auroc,0.8432336047394031
PDRF_REC,101,all,macro_auprc,0.5955893881245097
PDRF_REC,101,all,nll,1.9290128053795705
PDRF_REC,101,all,brier,0.6843293452623327
PDRF_REC,101,all,ece15,0.25677146343983825
PDRF_REC,101,affected,accuracy,0.49178470254957507
PDRF_REC,101,affected,macro_f1,0.4786045003154176
PDRF_REC,101,affected,macro_auroc,0.8065894260114832
PDRF_REC,101,affected,macro_auprc,0.5224216686637925
PDRF_REC,101,affected,nll,2.3320350674233516
PDRF_REC,101,affected,brier,0.7868812939723591
PDRF_REC,101,affected,ece15,0.3150911768671473
PDRF_REC,101,unaffected,accuracy,0.5971527510580993
PDRF_REC,101,unaffected,macro_f1,0.5726403235698563
PDRF_REC,101,unaffected,macro_auroc,0.8691366752723274
PDRF_REC,101,unaffected,macro_auprc,0.6559813455031073
PDRF_REC,101,unaffected,nll,1.6553174254229428
PDRF_REC,101,unaffected,brier,0.6146855632410951
PDRF_REC,101,unaffected,ece15,0.2174228143696603
PDRF_REC,102,all,accuracy,0.5492667277726856
PDRF_REC,102,all,macro_f1,0.5313403174124897
PDRF_REC,102,all,macro_auroc,0.8390825870234101
PDRF_REC,102,all,macro_auprc,0.591215726361069
PDRF_REC,102,all,nll,2.0983714811559873
PDRF_REC,102,all,brier,0.6811072337140445
PDRF_REC,102,all,ece15,0.2621910105963894
PDRF_REC,102,affected,accuracy,0.488385269121813
PDRF_REC,102,affected,macro_f1,0.48456681769552246
PDRF_REC,102,affected,macro_auroc,0.7978079834261509
PDRF_REC,102,affected,macro_auprc,0.5241453072575839
PDRF_REC,102,affected,nll,2.704167540169767
PDRF_REC,102,affected,brier,0.8056945527091287
PDRF_REC,102,affected,ece15,0.32894861917657825
PDRF_REC,102,unaffected,accuracy,0.5906117737591381
PDRF_REC,102,unaffected,macro_f1,0.5575835004085844
PDRF_REC,102,unaffected,macro_auroc,0.8705008455933682
PDRF_REC,102,unaffected,macro_auprc,0.6465520432820181
PDRF_REC,102,unaffected,nll,1.6869709254963798
PDRF_REC,102,unaffected,brier,0.5964990697947203
PDRF_REC,102,unaffected,ece15,0.21765783071380346
PDRF_REC,103,all,accuracy,0.5382676443629697
PDRF_REC,103,all,macro_f1,0.5290982125576665
PDRF_REC,103,all,macro_auroc,0.829221305448442
PDRF_REC,103,all,macro_auprc,0.5658282492497468
PDRF_REC,103,all,nll,2.5948878587327946
PDRF_REC,103,all,brier,0.7353791230296282
PDRF_REC,103,all,ece15,0.3142843671778164
PDRF_REC,103,affected,accuracy,0.4702549575070821
PDRF_REC,103,affected,macro_f1,0.4677617954843087
PDRF_REC,103,affected,macro_auroc,0.7828854429683153
PDRF_REC,103,affected,macro_auprc,0.49766231188733395
PDRF_REC,103,affected,nll,3.560544974717174
PDRF_REC,103,affected,brier,0.8843438241579916
PDRF_REC,103,affected,ece15,0.39961699355425306
PDRF_REC,103,unaffected,accuracy,0.5844555598307041
PDRF_REC,103,unaffected,macro_f1,0.5682243169289093
PDRF_REC,103,unaffected,macro_auroc,0.8644992513702351
PDRF_REC,103,unaffected,macro_auprc,0.6236107016669626
PDRF_REC,103,unaffected,nll,1.9391030146726063
PDRF_REC,103,unaffected,brier,0.634216099754691
PDRF_REC,103,unaffected,ece15,0.25932404864471936
PDRF_RISK,101,all,accuracy,0.5472043996333639
PDRF_RISK,101,all,macro_f1,0.5232794940916776
PDRF_RISK,101,all,macro_auroc,0.8382769421620394
PDRF_RISK,101,all,macro_auprc,0.597133587963898
PDRF_RISK,101,all,nll,2.0494067409760617
PDRF_RISK,101,all,brier,0.6748250280536487
PDRF_RISK,101,all,ece15,0.2555858568859472
PDRF_RISK,101,affected,accuracy,0.4753541076487252
PDRF_RISK,101,affected,macro_f1,0.46362508552772824
PDRF_RISK,101,affected,macro_auroc,0.7990406462179079
PDRF_RISK,101,affected,macro_auprc,0.5307301878419679
PDRF_RISK,101,affected,nll,2.6409991403521293
PDRF_RISK,101,affected,brier,0.8096374847690945
PDRF_RISK,101,affected,ece15,0.33695570627285465
PDRF_RISK,101,unaffected,accuracy,0.5959984609465179
PDRF_RISK,101,unaffected,macro_f1,0.5599894708711982
PDRF_RISK,101,unaffected,macro_auroc,0.8675748863549626
PDRF_RISK,101,unaffected,macro_auprc,0.6531418091027619
PDRF_RISK,101,unaffected,nll,1.6476519949588389
PDRF_RISK,101,unaffected,brier,0.5832728979640907
PDRF_RISK,101,unaffected,ece15,0.20032696658118318
PDRF_RISK,102,all,accuracy,0.5426214482126489
PDRF_RISK,102,all,macro_f1,0.5257157160925318
PDRF_RISK,102,all,macro_auroc,0.8313348961591296
PDRF_RISK,102,all,macro_auprc,0.5687669096884086
PDRF_RISK,102,all,nll,2.4145475334565476
PDRF_RISK,102,all,brier,0.7263833415728093
PDRF_RISK,102,all,ece15,0.3045187685382574
PDRF_RISK,102,affected,accuracy,0.4668555240793201
PDRF_RISK,102,affected,macro_f1,0.46516875842530797
PDRF_RISK,102,affected,macro_auroc,0.7862422903153874
PDRF_RISK,102,affected,macro_auprc,0.49813055646374255
PDRF_RISK,102,affected,nll,3.1885072899909144
PDRF_RISK,102,affected,brier,0.8767961478849182
PDRF_RISK,102,affected,ece15,0.38932826600061265
PDRF_RISK,102,unaffected,accuracy,0.5940746440938822
PDRF_RISK,102,unaffected,macro_f1,0.5599481540224138
PDRF_RISK,102,unaffected,macro_auroc,0.8658743424195033
PDRF_RISK,102,unaffected,macro_auprc,0.6311987061665814
PDRF_RISK,102,unaffected,nll,1.888945774978996
PDRF_RISK,102,unaffected,brier,0.6242368994254939
PDRF_RISK,102,unaffected,ece15,0.24692410110234753
PDRF_RISK,103,all,accuracy,0.5458295142071494
PDRF_RISK,103,all,macro_f1,0.5351475729187023
PDRF_RISK,103,all,macro_auroc,0.8298624181395561
PDRF_RISK,103,all,macro_auprc,0.5647173627861789
PDRF_RISK,103,all,nll,2.3343829812432233
PDRF_RISK,103,all,brier,0.7030067001747379
PDRF_RISK,103,all,ece15,0.2775882340960826
PDRF_RISK,103,affected,accuracy,0.47478753541076485
PDRF_RISK,103,affected,macro_f1,0.47448454671110296
PDRF_RISK,103,affected,macro_auroc,0.7834062455749079
PDRF_RISK,103,affected,macro_auprc,0.49463089330376026
PDRF_RISK,103,affected,nll,3.1769082221190907
PDRF_RISK,103,affected,brier,0.8512333849463538
PDRF_RISK,103,affected,ece15,0.36617876547929584
PDRF_RISK,103,unaffected,accuracy,0.5940746440938822
PDRF_RISK,103,unaffected,macro_f1,0.5725446488088655
PDRF_RISK,103,unaffected,macro_auroc,0.8653862938772569
PDRF_RISK,103,unaffected,macro_auprc,0.6232554194044874
PDRF_RISK,103,unaffected,nll,1.7622178984629595
PDRF_RISK,103,unaffected,brier,0.6023448692313358
PDRF_RISK,103,unaffected,ece15,0.21780446339176454
PDRF_CAL,101,all,accuracy,0.560724106324473
PDRF_CAL,101,all,macro_f1,0.5418200833584268
PDRF_CAL,101,all,macro_auroc,0.843687589104506
PDRF_CAL,101,all,macro_auprc,0.5980540321738569
PDRF_CAL,101,all,nll,2.052179939247484
PDRF_CAL,101,all,brier,0.6895429094622872
PDRF_CAL,101,all,ece15,0.26576336964240976
PDRF_CAL,101,affected,accuracy,0.49291784702549574
PDRF_CAL,101,affected,macro_f1,0.4810914387523102
PDRF_CAL,101,affected,macro_auroc,0.8063555637298099
PDRF_CAL,101,affected,macro_auprc,0.5247934008320393
PDRF_CAL,101,affected,nll,2.5298537750952286
PDRF_CAL,101,affected,brier,0.7996232889729428
PDRF_CAL,101,affected,ece15,0.333311755849687
PDRF_CAL,101,unaffected,accuracy,0.6067718353212774
PDRF_CAL,101,unaffected,macro_f1,0.5787560213653863
PDRF_CAL,101,unaffected,macro_auroc,0.8702965054980738
PDRF_CAL,101,unaffected,macro_auprc,0.6595717505138242
PDRF_CAL,101,unaffected,nll,1.7277881269076345
PDRF_CAL,101,unaffected,brier,0.614786514758052
PDRF_CAL,101,unaffected,ece15,0.21989074547779747
PDRF_CAL,102,all,accuracy,0.5433088909257562
PDRF_CAL,102,all,macro_f1,0.5257414159842732
PDRF_CAL,102,all,macro_auroc,0.8371374974041723
PDRF_CAL,102,all,macro_auprc,0.5881196292653582
PDRF_CAL,102,all,nll,2.152236174327822
PDRF_CAL,102,all,brier,0.6894417809347326
PDRF_CAL,102,all,ece15,0.26855934623673244
PDRF_CAL,102,affected,accuracy,0.4764872521246459
PDRF_CAL,102,affected,macro_f1,0.4728887339284998
PDRF_CAL,102,affected,macro_auroc,0.7936849016236259
PDRF_CAL,102,affected,macro_auprc,0.5193406375819775
PDRF_CAL,102,affected,nll,2.8205745529200668
PDRF_CAL,102,affected,brier,0.8187537462587753
PDRF_CAL,102,affected,ece15,0.34132396232642803
PDRF_CAL,102,unaffected,accuracy,0.5886879569065026
PDRF_CAL,102,unaffected,macro_f1,0.5546822210254163
PDRF_CAL,102,unaffected,macro_auroc,0.8703199977757006
PDRF_CAL,102,unaffected,macro_auprc,0.6446098083825436
PDRF_CAL,102,unaffected,nll,1.6983626698201995
PDRF_CAL,102,unaffected,brier,0.6016250749720797
PDRF_CAL,102,unaffected,ece15,0.21954040720674703
PDRF_CAL,103,all,accuracy,0.536205316223648
PDRF_CAL,103,all,macro_f1,0.5278439907140469
PDRF_CAL,103,all,macro_auroc,0.8259772182541244
PDRF_CAL,103,all,macro_auprc,0.5611598826986817
PDRF_CAL,103,all,nll,2.643498837850526
PDRF_CAL,103,all,brier,0.7350160863772246
PDRF_CAL,103,all,ece15,0.31214626327389206
PDRF_CAL,103,affected,accuracy,0.4628895184135977
PDRF_CAL,103,affected,macro_f1,0.46072065507575405
PDRF_CAL,103,affected,macro_auroc,0.7747509016184516
PDRF_CAL,103,affected,macro_auprc,0.487517316967176
PDRF_CAL,103,affected,nll,3.7285319587358448
PDRF_CAL,103,affected,brier,0.8947433156897512
PDRF_CAL,103,affected,ece15,0.403827636252044
PDRF_CAL,103,unaffected,accuracy,0.5859946133128127
PDRF_CAL,103,unaffected,macro_f1,0.5709944298352106
PDRF_CAL,103,unaffected,macro_auroc,0.8653289908960106
PDRF_CAL,103,unaffected,macro_auprc,0.6243684938279247
PDRF_CAL,103,unaffected,nll,1.9066448715701922
PDRF_CAL,103,unaffected,brier,0.6265441511188142
PDRF_CAL,103,unaffected,ece15,0.2501672929229531
PDRF_RS,101,all,accuracy,0.5517873510540788
PDRF_RS,101,all,macro_f1,0.5235739849289937
PDRF_RS,101,all,macro_auroc,0.8395787145097923
PDRF_RS,101,all,macro_auprc,0.5926513802195045
PDRF_RS,101,all,nll,2.052650774386195
PDRF_RS,101,all,brier,0.6711310736587953
PDRF_RS,101,all,ece15,0.2523024340598109
PDRF_RS,101,affected,accuracy,0.4702549575070821
PDRF_RS,101,affected,macro_f1,0.4513522013692584
PDRF_RS,101,affected,macro_auroc,0.8000797360912878
PDRF_RS,101,affected,macro_auprc,0.5231322084564941
PDRF_RS,101,affected,nll,2.6477407800146606
PDRF_RS,101,affected,brier,0.8048512195214632
PDRF_RS,101,affected,ece15,0.3418647326930049
PDRF_RS,101,unaffected,accuracy,0.6071565986918045
PDRF_RS,101,unaffected,macro_f1,0.5684769333833449
PDRF_RS,101,unaffected,macro_auroc,0.8691642073879492
PDRF_RS,101,unaffected,macro_auprc,0.6537071812576872
PDRF_RS,101,unaffected,nll,1.64852077825913
PDRF_RS,101,unaffected,brier,0.5803207398967295
PDRF_RS,101,unaffected,ece15,0.1914800136604874
PDRF_RS,102,all,accuracy,0.5401008249312558
PDRF_RS,102,all,macro_f1,0.5222211331327323
PDRF_RS,102,all,macro_auroc,0.8269048931809982
PDRF_RS,102,all,macro_auprc,0.5546086602165966
PDRF_RS,102,all,nll,2.3889888620268196
PDRF_RS,102,all,brier,0.7319308551325713
PDRF_RS,102,all,ece15,0.3023138565619969
PDRF_RS,102,affected,accuracy,0.4725212464589235
PDRF_RS,102,affected,macro_f1,0.470326759268402
PDRF_RS,102,affected,macro_auroc,0.7840658987664207
PDRF_RS,102,affected,macro_auprc,0.4914017317986408
PDRF_RS,102,affected,nll,3.0671806314655345
PDRF_RS,102,affected,brier,0.8703116499636488
PDRF_RS,102,affected,ece15,0.3782102897889891
PDRF_RS,102,unaffected,accuracy,0.5859946133128127
PDRF_RS,102,unaffected,macro_f1,0.5513590758079201
PDRF_RS,102,unaffected,macro_auroc,0.8594138934183725
PDRF_RS,102,unaffected,macro_auprc,0.6103288020661201
PDRF_RS,102,unaffected,nll,1.9284238473829824
PDRF_RS,102,unaffected,brier,0.6379554404050408
PDRF_RS,102,unaffected,ece15,0.2511064629914349
PDRF_RS,103,all,accuracy,0.5410174152153987
PDRF_RS,103,all,macro_f1,0.5321954804939127
PDRF_RS,103,all,macro_auroc,0.8298790656725687
PDRF_RS,103,all,macro_auprc,0.5612653381349714
PDRF_RS,103,all,nll,2.2568912072262846
PDRF_RS,103,all,brier,0.6994841449466033
PDRF_RS,103,all,ece15,0.27346931538594954
PDRF_RS,103,affected,accuracy,0.4753541076487252
PDRF_RS,103,affected,macro_f1,0.4766371291571227
PDRF_RS,103,affected,macro_auroc,0.7846432196440097
PDRF_RS,103,affected,macro_auprc,0.49484016677325554
PDRF_RS,103,affected,nll,3.0279623061546155
PDRF_RS,103,affected,brier,0.8401172878127111
PDRF_RS,103,affected,ece15,0.35645568117541565
PDRF_RS,103,unaffected,accuracy,0.5856098499422855
PDRF_RS,103,unaffected,macro_f1,0.5663777027914919
PDRF_RS,103,unaffected,macro_auroc,0.8642657975704194
PDRF_RS,103,unaffected,macro_auprc,0.6167116103932483
PDRF_RS,103,unaffected,nll,1.7332511573576794
PDRF_RS,103,unaffected,brier,0.603979144116022
PDRF_RS,103,unaffected,ece15,0.2172991002280238
