model,stress_type,level,metric,mean,sd,n,ci95
CRF,fraction,0.6,aurc,0.29552843835934517,0.02755266790447289,10,0.017077320493701174
CRF,fraction,0.6,macro_auroc,0.8092731889203673,0.012102624372127562,10,0.007501284301552116
CRF,fraction,0.6,nll,2.2274389328304594,0.2213510837686037,10,0.13719482310208095
CRF,fraction,0.8,aurc,0.3176623813820532,0.03377734194550973,10,0.020935413435414135
CRF,fraction,0.8,macro_auroc,0.7954086976692001,0.014664853918762374,10,0.009089370627639254
CRF,fraction,0.8,nll,2.4143995971563683,0.24422801574112765,10,0.15137409244042216
CRF,reported_quality,0.15,aurc,0.23525535085128196,0.02097876623129709,10,0.013002774023060609
CRF,reported_quality,0.15,macro_auroc,0.8478706992445433,0.008617454562699472,10,0.00534115367402356
CRF,reported_quality,0.15,nll,1.7151219437476999,0.11905688110952452,10,0.07379221942270653
CRF,reported_quality,0.4,aurc,0.24551632124119763,0.02407702925274434,10,0.014923097338918102
CRF,reported_quality,0.4,macro_auroc,0.8415574058157193,0.010304477922694108,10,0.0063867815855882335
CRF,reported_quality,0.4,nll,1.7817870899754538,0.130940019212255,10,0.08115746472507875
CRF,reported_quality,0.7,aurc,0.25932311219865845,0.026357303542884434,10,0.016336425986484302
CRF,reported_quality,0.7,macro_auroc,0.8324772365091346,0.011886080505229032,10,0.007367069022335135
CRF,reported_quality,0.7,nll,1.8954692481243067,0.15582092296376346,10,0.09657880864032492
CRF,reported_quality,1.0,aurc,0.27154101292522614,0.028062156284702728,10,0.017393104663392746
CRF,reported_quality,1.0,macro_auroc,0.8237886498821279,0.012984956898725572,10,0.008048159667341473
CRF,reported_quality,1.0,nll,2.01922376626291,0.18203410422149266,10,0.11282590670900418
CRF,severity,0.0,aurc,0.22366850375653308,0.020243565464270342,10,0.012547091866644372
CRF,severity,0.0,macro_auroc,0.8554229294531698,0.007799258317156179,10,0.004834030387076181
CRF,severity,0.0,nll,1.6413474190078516,0.1278930995163844,10,0.07926896433210931
CRF,severity,1.0,aurc,0.24027055663189759,0.022940449656254174,10,0.01421863800658923
CRF,severity,1.0,macro_auroc,0.8447273357281178,0.00953227208738425,10,0.005908163450226036
CRF,severity,1.0,nll,1.7381948127907016,0.12840875981650562,10,0.0795885738973819
CRF,severity,2.0,aurc,0.2561996749325462,0.025388434331518113,10,0.015735914627789484
CRF,severity,2.0,macro_auroc,0.8343012676793504,0.011410700004285283,10,0.007072425135245177
CRF,severity,2.0,nll,1.8646175477614413,0.14913501368906576,10,0.09243483913901626
CRF,severity,3.0,aurc,0.27154101292522614,0.028062156284702728,10,0.017393104663392746
CRF,severity,3.0,macro_auroc,0.8237886498821279,0.012984956898725572,10,0.008048159667341473
CRF,severity,3.0,nll,2.01922376626291,0.18203410422149266,10,0.11282590670900418
CRF,severity,4.0,aurc,0.286113750791574,0.029771872651854787,10,0.01845279784651431
CRF,severity,4.0,macro_auroc,0.8138612336027379,0.013881631806055967,10,0.008603924532806829
CRF,severity,4.0,nll,2.1846013702722424,0.210903285496364,10,0.13071921064352807
CRF,severity,5.0,aurc,0.29999192084990306,0.031372412451045883,10,0.019444822691748017
CRF,severity,5.0,macro_auroc,0.8044625873520662,0.014644031286055468,10,0.009076464626177205
CRF,severity,5.0,nll,2.3519625309542693,0.23470661529113734,10,0.14547266730086394
CRF_NR,fault_modality,0.0,aurc,0.3005903421801976,0.017972734277071262,10,0.011139616114918888
CRF_NR,fault_modality,0.0,macro_auroc,0.8017645883413775,0.011266856210569899,10,0.006983269828222852
CRF_NR,fault_modality,0.0,nll,2.288651598175643,0.21963259429100349,10,0.136129692288768
CRF_NR,fault_modality,1.0,aurc,0.3084436147477537,0.02102573725487152,10,0.013031886965091444
CRF_NR,fault_modality,1.0,macro_auroc,0.7992889943000142,0.008612006576632062,10,0.005337776977275319
CRF_NR,fault_modality,1.0,nll,2.406933793792547,0.13678106774352222,10,0.08477778411242633
CRF_NR,fault_modality,2.0,aurc,0.30735406320827946,0.01771348813520825,10,0.010978933691470832
CRF_NR,fault_modality,2.0,macro_auroc,0.8017220652883829,0.009351264462314317,10,0.005795973761886594
CRF_NR,fault_modality,2.0,nll,2.3063918733123003,0.17110110902501824,10,0.10604956608117048
CRF_NR,fault_modality,3.0,aurc,0.3546445525589836,0.011711625549511752,10,0.007258940720537733
CRF_NR,fault_modality,3.0,macro_auroc,0.7758507182949479,0.0055554618705918575,10,0.0034433109411968134
CRF_NR,fault_modality,3.0,nll,2.7889918850660114,0.23094632917470026,10,0.1431420178196213
CRF_NR,fraction,0.1,aurc,0.2409799831225655,0.014091097462797061,10,0.008733752691916261
CRF_NR,fraction,0.1,macro_auroc,0.8392412154314355,0.008148751435991234,10,0.005050648466362815
CRF_NR,fraction,0.1,nll,1.7712871591666022,0.1562268070322982,10,0.09683037819234386
CRF_NR,fraction,0.25,aurc,0.2730974295382366,0.01647230382091116,10,0.010209639683337225
CRF_NR,fraction,0.25,macro_auroc,0.8192211062588288,0.010060637345093002,10,0.0062356476297948885
CRF_NR,fraction,0.25,nll,2.0380571300909116,0.19525024437110905,10,0.1210173552397663
CRF_NR,fraction,0.4,aurc,0.3005903421801976,0.017972734277071262,10,0.011139616114918888
CRF_NR,fraction,0.4,macro_auroc,0.8017645883413775,0.011266856210569899,10,0.006983269828222852
CRF_NR,fraction,0.4,nll,2.288651598175643,0.21963259429100349,10,0.136129692288768
CRF_NR,fraction,0.6,aurc,0.3396078318356698,0.018859068873305032,10,0.011688971989167352
CRF_NR,fraction,0.6,macro_auroc,0.778422585881067,0.011712894663948027,10,0.007259727325814818
CRF_NR,fraction,0.6,nll,2.6558074274619217,0.2793661061780366,10,0.17315290652870638
CRF_NR,fraction,0.8,aurc,0.37455932319830426,0.02337955740425656,10,0.01449079980848453
CRF_NR,fraction,0.8,macro_auroc,0.7576506123454065,0.013976773125470219,10,0.008662893733519585
CRF_NR,fraction,0.8,nll,3.0021718065069845,0.34033443108496736,10,0.21094146580759698
CRF_NR,reported_quality,0.15,aurc,0.23914802986693456,0.01670246140714889,10,0.010352292833219682
CRF_NR,reported_quality,0.15,macro_auroc,0.8409015979309388,0.008559564638761508,10,0.005305273127432856
CRF_NR,reported_quality,0.15,nll,1.7188502266530155,0.14557368837610002,10,0.09022750684137064
CRF_NR,reported_quality,0.4,aurc,0.2611626063711741,0.017572799690013526,10,0.010891734089723343
