fault,contrast,metric,aligned_difference,sample_ci_low,sample_ci_high,batch_stratified_ci_low,batch_stratified_ci_high,bootstrap_reps
silent_gaussian,PDRF-CAGF,macro_auroc,0.002245844450675216,-0.0012277016204568863,0.005174664521038508,-0.0013360921715025258,0.006204855832307681,300
silent_gaussian,PDRF-CAGF,macro_auprc,0.012057459158769657,0.00586191628269247,0.019328842196179745,0.005327306636395324,0.01867957474341094,300
silent_gaussian,PDRF-CAGF,accuracy,0.019706691109074193,0.011337076076993585,0.028076306141154854,0.012024518790100806,0.028895508707607678,300
silent_gaussian,PDRF-CAGF,macro_f1,0.021143168755581643,0.011416411361844061,0.031078492717495302,0.011867813196821037,0.032207717762431684,300
silent_gaussian,PDRF-CAGF,nll,-0.15145621360492068,-0.18780447397632632,-0.11641007412600078,-0.18133374261847612,-0.11641368290203269,300
silent_gaussian,PDRF-DWR,macro_auroc,0.0012997699535854945,-0.0023894221993814107,0.0046671570575894635,-0.0026770680625349264,0.005171163418478223,300
silent_gaussian,PDRF-DWR,macro_auprc,0.015629221803162174,0.008840504687108388,0.023604786750247863,0.009012297443808118,0.022850744009759682,300
silent_gaussian,PDRF-DWR,accuracy,0.02039413382218147,0.012024518790100806,0.028643446379468362,0.01167506874427133,0.028196608615948675,300
silent_gaussian,PDRF-DWR,macro_f1,0.02556945287771195,0.0160694572812714,0.03509308117462846,0.01504420002587786,0.03532236453810068,300
silent_gaussian,PDRF-DWR,nll,-0.14419700644735411,-0.1790100492722518,-0.10943850199660492,-0.17881886304928268,-0.10978362257532884,300
correlated_dual,PDRF-EF,macro_auroc,0.007279074446600919,0.004088781122202315,0.010464401986591083,0.003303311219871502,0.010792870725665303,300
correlated_dual,PDRF-EF,macro_auprc,0.02446021519007635,0.018262310993669692,0.029660683956143682,0.018720136658538358,0.030394111443978803,300
correlated_dual,PDRF-EF,accuracy,0.01168652612282306,0.0037752062328139132,0.02051443629697524,0.005041246562786483,0.02085242896425299,300
correlated_dual,PDRF-EF,macro_f1,-0.006028519305456448,-0.014735921071633276,0.0014517873713889061,-0.015756553852340902,0.002932740381301282,300
correlated_dual,PDRF-EF,nll,-0.07754252896541636,-0.10043818878624852,-0.05299674455803707,-0.10049717487437893,-0.05413654612440022,300
correlated_dual,PDRF-UF,macro_auroc,0.005624842983879663,0.0027203039010969708,0.008555319795606631,0.0023348900767508896,0.009113844143924686,300
correlated_dual,PDRF-UF,macro_auprc,0.023182519817599445,0.018220767307674336,0.03006500684030253,0.0175628457505981,0.029047236403210285,300
correlated_dual,PDRF-UF,accuracy,0.03322639780018333,0.023699587534372134,0.041825160403299685,0.02360219981668199,0.04251260311640697,300
correlated_dual,PDRF-UF,macro_f1,0.020838831309915706,0.01063621899163309,0.031155349941053817,0.009820815620700838,0.031076846674093717,300
correlated_dual,PDRF-UF,nll,-0.08587383815029326,-0.11034524130876855,-0.06246032018515187,-0.1083009788383714,-0.06445630209519419,300
correlated_dual,PDRF-CAGF,macro_auroc,-0.0035053008791448015,-0.006725731256175432,0.0002642278127964498,-0.007444726201256607,0.0001933558988753482,300
correlated_dual,PDRF-CAGF,macro_auprc,-1.4903707687752288e-05,-0.006555935123590087,0.006171504136616325,-0.006939423775988818,0.008090336911828427,300
correlated_dual,PDRF-CAGF,accuracy,0.02383134738771764,0.015232584784601325,0.032888405132905627,0.015003437213565566,0.03288840513290558,300
correlated_dual,PDRF-CAGF,macro_f1,0.025589091367871686,0.014561253729014059,0.034706917773539306,0.015061527480425236,0.034989603884340484,300
correlated_dual,PDRF-CAGF,nll,-0.13072898879659323,-0.1613857968274385,-0.10139212463830367,-0.16241009615568092,-0.10058276067142376,300
correlated_dual,PDRF-DWR,macro_auroc,-0.0043043276127916474,-0.00791784933294645,-0.0005132130909863012,-0.008251763737674968,-0.00030564438143012245,300
correlated_dual,PDRF-DWR,macro_auprc,0.0035774983163912033,-0.0034000448856711936,0.010383388545174626,-0.004514009707593752,0.011620543764038413,300
correlated_dual,PDRF-DWR,accuracy,0.02108157653528875,0.012941109074243843,0.030138634280476577,0.012242208982584725,0.030138634280476577,300
correlated_dual,PDRF-DWR,macro_f1,0.028309221544675744,0.01943072579098094,0.03926153849937653,0.01823008621461408,0.037623494865480715,300
correlated_dual,PDRF-DWR,nll,-0.11792835401873303,-0.15102994798640648,-0.08601120947972918,-0.14584778660699702,-0.08291462100652854,300
