held_out_building,method,regime,metric,mean,std
auditorium,RO-PDRF-NOQ,coral_adapt,macro_auprc,0.7741626726953091,0.026505681696279412
auditorium,RO-PDRF-NOQ,coral_adapt,macro_auroc,0.9637453249645654,0.00884202427661755
auditorium,RO-PDRF-NOQ,coral_adapt,nll,0.2532698075851541,0.03397217014150361
auditorium,RO-PDRF-NOQ,coral_adapt,reversed_auroc,0.036254675423789504,0.008842032267580645
auditorium,RO-PDRF-NOQ,source_norm,ece15,0.02159395547686776,0.0024437300226495652
auditorium,RO-PDRF-NOQ,source_norm,macro_auprc,0.8090191100108036,0.005306607177938743
auditorium,RO-PDRF-NOQ,source_norm,macro_auroc,0.9842390122482623,0.0004892847220434678
auditorium,RO-PDRF-NOQ,source_norm,nll,0.15806026577852905,0.007927471217999646
auditorium,RO-PDRF-NOQ,source_norm,reversed_auroc,0.015760981926414442,0.0004892723427551345
auditorium,RO-PDRF-NOQ,target_norm,ece15,0.014608928968455281,0.004331911855969358
auditorium,RO-PDRF-NOQ,target_norm,macro_auprc,0.7656171543840423,0.027029290920793866
auditorium,RO-PDRF-NOQ,target_norm,macro_auroc,0.9656154804996063,0.008644203611883425
auditorium,RO-PDRF-NOQ,target_norm,nll,0.19200495174724264,0.019589281925409565
auditorium,RO-PDRF-NOQ,target_norm,reversed_auroc,0.03438452066545814,0.008644200384261719
hospital,EF-PD,coral_adapt,ece15,0.20940031008056645,0.007332968008780893
hospital,EF-PD,coral_adapt,macro_auprc,0.5447824274290205,0.026719986448611115
hospital,EF-PD,coral_adapt,macro_auroc,0.5976909420835451,0.07225737399396104
hospital,EF-PD,coral_adapt,nll,1.7038784683754127,0.31167679732153086
hospital,EF-PD,coral_adapt,reversed_auroc,0.40272838414375,0.072320893986015
hospital,EF-PD,source_norm,ece15,0.08335536265118407,0.009270928263995802
hospital,EF-PD,source_norm,macro_auprc,0.9058129715273381,0.025075212768367144
hospital,EF-PD,source_norm,macro_auroc,0.9833099056770708,0.0034734525100579105
hospital,EF-PD,source_norm,nll,0.3380886766681087,0.09303135974302046
hospital,EF-PD,source_norm,reversed_auroc,0.01669009793071008,0.00347344876279478
hospital,EF-PD,target_norm,ece15,0.1682808575222629,0.006163998181519149
hospital,EF-PD,target_norm,macro_auprc,0.5205689351723153,0.02405943718512062
hospital,EF-PD,target_norm,macro_auroc,0.5343481756975409,0.06562851454240907
hospital,EF-PD,target_norm,nll,1.55954829593161,0.291210229364914
hospital,EF-PD,target_norm,reversed_auroc,0.4693899207581046,0.06331507862076508
hospital,GroupDRO-EF-PD,source_only,ece15,0.08911955237382874,0.011358005248693468
hospital,GroupDRO-EF-PD,source_only,macro_auprc,0.9144307723597679,0.027225330987741055
hospital,GroupDRO-EF-PD,source_only,macro_auroc,0.9818619593945016,0.004486373284893053
hospital,GroupDRO-EF-PD,source_only,nll,0.36731449490769585,0.049819786040915255
hospital,GroupDRO-EF-PD,source_only,reversed_auroc,0.0181380381649406,0.004486363890022351
hospital,HGB-current,source_only,ece15,0.12517732106486124,0.0019385086968790408
hospital,HGB-current,source_only,macro_auprc,0.5893517065551139,0.021561114942152914
hospital,HGB-current,source_only,macro_auroc,0.5198055254532216,0.018498471299618006
hospital,HGB-current,source_only,nll,0.9817306139533898,0.048424523508230614
hospital,HGB-current,source_only,reversed_auroc,0.48019447454677844,0.018498471299618034
hospital,RO-PDRF-NOQ,coral_adapt,ece15,0.19479947749451343,0.027922962543901204
hospital,RO-PDRF-NOQ,coral_adapt,macro_auprc,0.46178742416160656,0.002987924861417838
hospital,RO-PDRF-NOQ,coral_adapt,macro_auroc,0.3670514960351378,0.00612925855374383
hospital,RO-PDRF-NOQ,coral_adapt,nll,0.9964548498595406,0.038491595800003726
hospital,RO-PDRF-NOQ,coral_adapt,reversed_auroc,0.6329485053443078,0.0061292460841637225
hospital,RO-PDRF-NOQ,source_norm,ece15,0.14270655428637183,0.011271268724606895
hospital,RO-PDRF-NOQ,source_norm,macro_auprc,0.430619199714983,0.0014999998024275317
hospital,RO-PDRF-NOQ,source_norm,macro_auroc,0.29809454920916884,0.005145116680812414
