held_out_building,seed,method,regime,metric,value
auditorium,101,HGB-current,source_only,accuracy,0.9972737623682987
auditorium,101,HGB-current,source_only,macro_f1,0.9797446024828199
auditorium,101,HGB-current,source_only,macro_auroc,0.9983565986643295
auditorium,101,HGB-current,source_only,macro_auprc,0.9934463337084807
auditorium,101,HGB-current,source_only,nll,0.00984706451082092
auditorium,101,HGB-current,source_only,class_1_precision,0.9991853292766056
auditorium,101,HGB-current,source_only,class_1_recall,0.9979906673973331
auditorium,101,HGB-current,source_only,class_1_f1,0.9985876410281973
auditorium,101,HGB-current,source_only,class_1_auroc,0.9983565986643295
auditorium,101,HGB-current,source_only,class_1_auprc,0.9999373087192456
auditorium,101,HGB-current,source_only,class_2_precision,0.9452488687782805
auditorium,101,HGB-current,source_only,class_2_recall,0.9770813844714686
auditorium,101,HGB-current,source_only,class_2_f1,0.9609015639374425
auditorium,101,HGB-current,source_only,class_2_auroc,0.9983565986643296
auditorium,101,HGB-current,source_only,class_2_auprc,0.9869553586977158
auditorium,101,HGB-current,source_only,brier,0.004366012940857336
auditorium,101,HGB-current,source_only,ece15,0.00045825656961445243
auditorium,101,HGB-current,source_only,reversed_auroc,0.0016434013356704886
auditorium,101,HGB-current,source_only,recall_return_air_temperature_fault,0.9792387543252595
auditorium,101,HGB-current,source_only,recall_supply_air_temperature_fault,0.9678217821782178
auditorium,101,HGB-current,source_only,selective_error_at_0.5,0.0
auditorium,101,HGB-current,source_only,selective_error_at_0.8,8.01844241755667e-05
auditorium,101,HGB-current,source_only,selective_error_at_1,0.0027262376317013226
auditorium,101,HGB-current,source_only,train_seconds,3.1293268999870634
auditorium,101,HGB-current,source_only,parameters,
auditorium,101,HGB-current,source_only,epochs,
auditorium,101,HGB-current,source_only,inference_ms_per_observation,
auditorium,102,EF-PD,source_norm,accuracy,0.9962955241592765
auditorium,102,EF-PD,source_norm,macro_f1,0.9731947531118894
auditorium,102,EF-PD,source_norm,macro_auroc,0.9998299860016708
auditorium,102,EF-PD,source_norm,macro_auprc,0.997896999382015
auditorium,102,EF-PD,source_norm,nll,0.008734347853433525
auditorium,102,EF-PD,source_norm,class_1_precision,0.9996834704961184
auditorium,102,EF-PD,source_norm,class_1_recall,0.996479516431691
auditorium,102,EF-PD,source_norm,class_1_f1,0.9980789222005073
auditorium,102,EF-PD,source_norm,class_1_auroc,0.9998299860016708
auditorium,102,EF-PD,source_norm,class_1_auprc,0.9999939385450924
auditorium,102,EF-PD,source_norm,class_2_precision,0.909051909051909
auditorium,102,EF-PD,source_norm,class_2_recall,0.9911131898971001
auditorium,102,EF-PD,source_norm,class_2_f1,0.9483105840232714
auditorium,102,EF-PD,source_norm,class_2_auroc,0.9998299860016707
auditorium,102,EF-PD,source_norm,class_2_auprc,0.9958000602189376
auditorium,102,EF-PD,source_norm,brier,0.005230500408813413
auditorium,102,EF-PD,source_norm,ece15,0.0007366157930416587
auditorium,102,EF-PD,source_norm,reversed_auroc,0.00017001399832924742
auditorium,102,EF-PD,source_norm,recall_return_air_temperature_fault,0.994232987312572
auditorium,102,EF-PD,source_norm,recall_supply_air_temperature_fault,0.9777227722772277
auditorium,102,EF-PD,source_norm,selective_error_at_0.5,0.0
auditorium,102,EF-PD,source_norm,selective_error_at_0.8,0.0
auditorium,102,EF-PD,source_norm,selective_error_at_1,0.003704475840723531
auditorium,102,EF-PD,source_norm,parameters,12354.0
auditorium,102,EF-PD,source_norm,train_seconds,18.02147100000002
auditorium,102,EF-PD,source_norm,epochs,12.0
auditorium,102,EF-PD,source_norm,inference_ms_per_observation,0.00026640794129304776
auditorium,102,EF-PD,target_norm,accuracy,0.8549641579934891
auditorium,102,EF-PD,target_norm,macro_f1,0.6196141149234836
auditorium,102,EF-PD,target_norm,macro_auroc,0.9951694031937778
auditorium,102,EF-PD,target_norm,macro_auprc,0.9479955758017826
auditorium,102,EF-PD,target_norm,nll,0.4223152098048661
auditorium,102,EF-PD,target_norm,class_1_precision,0.9998827827378045
auditorium,102,EF-PD,target_norm,class_1_recall,0.8499144788189774
auditorium,102,EF-PD,target_norm,class_1_f1,0.9188194531712834
auditorium,102,EF-PD,target_norm,class_1_auroc,0.9951694012520035
auditorium,102,EF-PD,target_norm,class_1_auprc,0.9998261572141359
auditorium,102,EF-PD,target_norm,class_2_precision,0.19086839749328557
auditorium,102,EF-PD,target_norm,class_2_recall,0.9971936389148737
auditorium,102,EF-PD,target_norm,class_2_f1,0.3204087766756838
auditorium,102,EF-PD,target_norm,class_2_auroc,0.9951694051355521
auditorium,102,EF-PD,target_norm,class_2_auprc,0.8961649943894294
auditorium,102,EF-PD,target_norm,brier,0.21569293992794034
auditorium,102,EF-PD,target_norm,ece15,0.09478305345995741
auditorium,102,EF-PD,target_norm,reversed_auroc,0.004830594864447915
