seed,method,fault_realization,batch,subset,metric,value,n
101,UF-PD+CD,70001,8,affected,ece15,0.25295459876457854,120
101,UF-PD+CD,70001,8,unaffected,accuracy,0.6666666666666666,174
101,UF-PD+CD,70001,8,unaffected,macro_f1,0.6634972287349198,174
101,UF-PD+CD,70001,8,unaffected,macro_auroc,0.9471023440403487,174
101,UF-PD+CD,70001,8,unaffected,macro_auprc,0.8045262595246875,174
101,UF-PD+CD,70001,8,unaffected,nll,0.7144991856997847,174
101,UF-PD+CD,70001,8,unaffected,brier,0.3771552785952941,174
101,UF-PD+CD,70001,8,unaffected,ece15,0.09694854743864345,174
101,UF-PD+CD,70001,9,all,accuracy,0.6085106382978723,470
101,UF-PD+CD,70001,9,all,macro_f1,0.5770607710132787,470
101,UF-PD+CD,70001,9,all,macro_auroc,0.8786421374194723,470
101,UF-PD+CD,70001,9,all,macro_auprc,0.6636934481395378,470
101,UF-PD+CD,70001,9,all,nll,1.3954045335823089,470
101,UF-PD+CD,70001,9,all,brier,0.5599717685368529,470
101,UF-PD+CD,70001,9,all,ece15,0.1624099105596542,470
101,UF-PD+CD,70001,9,affected,accuracy,0.5384615384615384,195
101,UF-PD+CD,70001,9,affected,macro_f1,0.5227357194418439,195
101,UF-PD+CD,70001,9,affected,macro_auroc,0.8325078139737494,195
101,UF-PD+CD,70001,9,affected,macro_auprc,0.5830319159741268,195
101,UF-PD+CD,70001,9,affected,nll,1.8068139120149447,195
101,UF-PD+CD,70001,9,affected,brier,0.6911626816612638,195
101,UF-PD+CD,70001,9,affected,ece15,0.2689515022131113,195
101,UF-PD+CD,70001,9,unaffected,accuracy,0.6581818181818182,275
101,UF-PD+CD,70001,9,unaffected,macro_f1,0.6162936744014558,275
101,UF-PD+CD,70001,9,unaffected,macro_auroc,0.9175303311094051,275
101,UF-PD+CD,70001,9,unaffected,macro_auprc,0.7808780523067912,275
101,UF-PD+CD,70001,9,unaffected,nll,1.103677883420985,275
101,UF-PD+CD,70001,9,unaffected,brier,0.4669454846849977,275
101,UF-PD+CD,70001,9,unaffected,ece15,0.13065142501484264,275
101,UF-PD+CD,70001,10,all,accuracy,0.5255555555555556,3600
101,UF-PD+CD,70001,10,all,macro_f1,0.5102018475707989,3600
101,UF-PD+CD,70001,10,all,macro_auroc,0.8135127777777779,3600
101,UF-PD+CD,70001,10,all,macro_auprc,0.5593874334584191,3600
101,UF-PD+CD,70001,10,all,nll,1.986178777864313,3600
101,UF-PD+CD,70001,10,all,brier,0.7146786743965953,3600
101,UF-PD+CD,70001,10,all,ece15,0.26349749292764396,3600
101,UF-PD+CD,70001,10,affected,accuracy,0.47172413793103446,1450
101,UF-PD+CD,70001,10,affected,macro_f1,0.4545068552585105,1450
101,UF-PD+CD,70001,10,affected,macro_auroc,0.7790293953800468,1450
101,UF-PD+CD,70001,10,affected,macro_auprc,0.4948576712659312,1450
101,UF-PD+CD,70001,10,affected,nll,2.4020212778632843,1450
101,UF-PD+CD,70001,10,affected,brier,0.8120387243103706,1450
101,UF-PD+CD,70001,10,affected,ece15,0.3169663950287062,1450
101,UF-PD+CD,70001,10,unaffected,accuracy,0.5618604651162791,2150
101,UF-PD+CD,70001,10,unaffected,macro_f1,0.5470087334634556,2150
101,UF-PD+CD,70001,10,unaffected,macro_auroc,0.8373814572336227,2150
101,UF-PD+CD,70001,10,unaffected,macro_auprc,0.6087690319266251,2150
101,UF-PD+CD,70001,10,unaffected,nll,1.7057268592603554,2150
101,UF-PD+CD,70001,10,unaffected,brier,0.6490172453849793,2150
101,UF-PD+CD,70001,10,unaffected,ece15,0.22743706816850706,2150
101,ModDrop-SD,70001,all,all,accuracy,0.5025206232813932,4364
101,ModDrop-SD,70001,all,all,macro_f1,0.485088443867991,4364
101,ModDrop-SD,70001,all,all,macro_auroc,0.7887223455529431,4364
101,ModDrop-SD,70001,all,all,macro_auprc,0.503832094765252,4364
101,ModDrop-SD,70001,all,all,nll,2.9772075611829987,4364
101,ModDrop-SD,70001,all,all,brier,0.7908193409372833,4364
101,ModDrop-SD,70001,all,all,ece15,0.32863325524586906,4364
101,ModDrop-SD,70001,all,affected,accuracy,0.3937677053824363,1765
101,ModDrop-SD,70001,all,affected,macro_f1,0.3780507572765963,1765
101,ModDrop-SD,70001,all,affected,macro_auroc,0.711611478713626,1765
101,ModDrop-SD,70001,all,affected,macro_auprc,0.3814710594428105,1765
101,ModDrop-SD,70001,all,affected,nll,4.789037738669693,1765
101,ModDrop-SD,70001,all,affected,brier,1.0517440190701557,1765
101,ModDrop-SD,70001,all,affected,ece15,0.4818087522605323,1765
101,ModDrop-SD,70001,all,unaffected,accuracy,0.5763755290496345,2599
101,ModDrop-SD,70001,all,unaffected,macro_f1,0.559338923542485,2599
101,ModDrop-SD,70001,all,unaffected,macro_auroc,0.8566585217502558,2599
101,ModDrop-SD,70001,all,unaffected,macro_auprc,0.6453179483730918,2599
101,ModDrop-SD,70001,all,unaffected,nll,1.746780372547364,2599
101,ModDrop-SD,70001,all,unaffected,brier,0.6136234744869103,2599
101,ModDrop-SD,70001,all,unaffected,ece15,0.2248147420238284,2599
101,ModDrop-SD,70001,8,all,accuracy,0.5510204081632653,294
101,ModDrop-SD,70001,8,all,macro_f1,0.47096940390557335,294
101,ModDrop-SD,70001,8,all,macro_auroc,0.8274510605020889,294
101,ModDrop-SD,70001,8,all,macro_auprc,0.5470166511646258,294
101,ModDrop-SD,70001,8,all,nll,2.095289631252184,294
101,ModDrop-SD,70001,8,all,brier,0.6630507683378345,294
101,ModDrop-SD,70001,8,all,ece15,0.24849383756011523,294
101,ModDrop-SD,70001,8,affected,accuracy,0.3416666666666667,120
101,ModDrop-SD,70001,8,affected,macro_f1,0.2992633122048628,120
101,ModDrop-SD,70001,8,affected,macro_auroc,0.697830081819722,120
101,ModDrop-SD,70001,8,affected,macro_auprc,0.37978801872806806,120
101,ModDrop-SD,70001,8,affected,nll,4.125236497604159,120
101,ModDrop-SD,70001,8,affected,brier,1.0990910208362918,120
101,ModDrop-SD,70001,8,affected,ece15,0.5210287707547347,120
101,ModDrop-SD,70001,8,unaffected,accuracy,0.6954022988505747,174
