subset,difference
all,-0.001731113114331495
all,0.002390668592701428
all,-0.0005437346003454024
all,-0.003759705278555958
all,-0.0021661933388616994
all,-0.0025973659794652493
all,0.0011695368986476273
all,-0.0022215173418509426
all,0.00144654981453185
all,0.00011461720338590276
all,0.0012132799382319481
all,0.0010188606293324298
all,0.0033139227112256586
all,0.004918874088040481
all,-0.000944166860750606
all,-0.0002707890454185513
all,0.0010224044187009396
all,-0.001644022428111902
all,-0.0007863284056915942
all,0.000693581217011241
all,-0.003477171032804427
all,0.0026269373880193347
all,0.0011186063503183519
all,0.000610313362793824
all,0.0011115878529444068
all,0.000496013813910845
all,0.001366502505958933
all,0.0033351903466365407
all,-0.001714460224408132
all,-0.0021306796469823253
all,0.004491692246772816
all,-0.0011140560847883174
all,0.004429480194797608
all,-0.0022269041741613815
all,0.0013022233473763967
all,-0.0016568988547062125
all,0.0030503050394286024
all,-0.0006420453756125211
all,0.0005222479863509211
all,-0.002401701537751544
all,0.0038393281150242986
all,0.0013168258257814092
all,-0.001422652233383892
all,-0.0004652469812161941
all,0.0015689522934576594
all,-0.0001916178625456233
all,0.00031858040332843895
all,4.899934351410007e-05
all,-0.0005958115313068335
all,0.00028863525842937054
all,0.00018984063919602612
all,-0.002616616814934858
all,0.0021414572570763735
all,0.00030838220196161004
all,-0.0019219216256224358
all,-0.001853961150864003
all,0.0017715464577903184
all,-0.0013550828827287864
all,0.0010727196848823173
all,-0.0005942136707789425
all,0.0007648896443116504
all,0.00045735133006685746
all,0.0028763981678174844
all,0.0011389327297828267
all,-0.0001086939474396198
all,0.0006905074907658237
all,7.168849803784738e-06
all,0.002446911771481819
all,0.0023866103910042957
all,0.001272208513605877
all,0.0054525704189933855
all,-0.0005790750117090626
all,0.001131939116890801
all,0.0033790584570199123
all,0.0038824862131540128
all,0.0034723772099779504
all,0.0022743648587972842
all,0.0007391749344715093
all,0.0024691623631606374
all,-0.0019905881700716943
all,-0.0021734500362805553
all,0.002385133213687274
all,-0.0026243903958316217
all,0.0006815242672689736
all,0.0027409601232897263
all,-0.0021163452447946485
all,0.0005224042384951444
all,-0.00037421301169304755
all,0.0007873793702554144
all,0.0014814472052193661
all,-0.003879140149673388
all,-0.0007568938174831175
all,-0.0014692893233851922
all,1.5090346318413772e-05
all,-0.0025499060338768365
all,-0.0022436188459074025
all,-0.0007622962434190583
all,-0.00025427544097300636
all,-0.0036541661553159965
all,-0.000991247672965545
all,-0.006271544088535808
all,-0.0009693171837213965
all,-0.0026462667160584985
all,0.0016539177948283745
all,0.004245199453088211
all,0.0010533773000713786
all,0.002598650376455902
all,0.0010389669130562718
all,0.0002386255001181059
all,0.0029551141979707873
all,0.0007134167516619216
all,-0.002173216596777383
all,-0.003079824001964937
all,0.002156301732114896
all,0.0002444193688315721
all,0.00037641132179633274
all,-0.002029714026452467
all,4.8291105755216e-05
all,0.0005022818638769078
all,0.0016985552043400354
all,-0.001227760689436419
all,0.0020853885063758515
all,0.0016447085208229906
all,-0.00015408754526891055
all,-0.004328613679677851
all,-0.0010464082014636222
all,0.00024634825325076104
all,0.001204434108207475
all,-0.0008802096961609829
all,0.0034585258857227075
all,-0.00020113396539311879
all,-0.0020476282843003846
all,-0.00020484339060178325
all,0.0004085089602775538
all,0.0006703327651201851
all,0.0004922757427694435
all,-0.0005303004060261962
all,-0.0009345705585082076
all,0.0032641813529954433
all,-0.0010126566234841539
all,-0.00013017828144890053
all,-0.0006297428635770874
all,-0.00043333348287799556
all,-0.0020369386951859525
all,0.001862617430151814
all,0.0023781874785471224
all,-0.0006021235831195071
all,-0.002209297986762948
all,0.004200508369961331
all,-0.0019601102982884644
all,0.0004005337702315259
all,-0.0019036740409685837
all,-0.0005283404440129535
all,0.0028860152895532343
all,0.0016596370840122887
all,0.00042117820622089575
all,-0.0006053130391340256
all,0.00016348721927383902
all,-0.0001204101753051745
all,0.001371084494308894
all,0.0010004446457680949
all,0.0004186325037855987
all,-0.001205735389179563
all,0.0003333576753962175
all,-0.001840882109879316
all,0.0036467213586295344
all,0.0009286073808485451
all,0.0019278740633101865
all,-0.002928805301159909
all,-0.00037257423838066295
all,0.002494692613473015
all,-0.0015242988126473733
all,-0.0004891068918578823
all,0.00016370650872876702
all,0.00019096091271642024
all,-0.0008672696102115518
all,0.002112458714256471
all,0.0027008596582660527
all,-0.0012129196129667674
all,0.002113358084360417
all,-0.0009128368914965712
all,0.0004498672839591267
all,0.0012247268163420033
all,-0.0011546385182712449
all,-3.536906514611804e-05
all,0.0008801939063034503
all,0.0004191476261966587
all,9.451549817551808e-05
all,-0.002452407069064022
all,-0.0006062985088244321
all,0.002506671754202605
all,-0.0009998207679737803
all,-0.002495120766583425
all,-0.003036235395749931
all,0.0007323585436673774
all,-3.6639648742120556e-05
all,-0.0013886023658802316
all,0.0008301788284001965
all,0.000311385947319498
all,0.004732307785355605
all,0.004307188805062978
all,0.0010961559779072427
all,0.0027820573268269033
all,-0.0027958944473569503
all,0.0010349797004522987
all,0.0013813651874819977
all,0.001945161735453449
all,-0.005356869202453707
all,0.0002752045965048744
all,-0.0032474072150523448
all,-9.354170076303348e-05
all,0.0017754064715358453
all,-0.003352934253538886
all,-0.0018053084685987209
all,-0.0006315324568453295
all,-0.0022394028845337255
all,0.0010831653408738262
all,-0.0025195623607806583
all,-0.002748381614813611
all,-0.0007018126175267758
all,-0.0003035288052566365
all,-0.0018444344817648561
all,0.0008671999904543704
all,0.0028936417358871314
all,0.0008379882510515246
all,0.0014692946768335435
all,-0.0007727646873734173
all,0.0016646345823456699
all,0.0036954298786467943
all,0.0008119235315733331
all,0.0002527443063501389
all,0.0006591207705326507
all,4.70594710397787e-05
all,0.0008636310274661163
all,-0.001245898128385714
all,0.0024405430513219084
all,-0.0008189578976819378
all,0.004867469670257085
all,6.977798430607418e-05
all,0.00016830541928070097
all,0.00143493817209972
all,-0.00017614485877626151
all,-0.002683954033032121
all,-0.0038350225985466224
all,-0.0005265844388701035
all,0.005097474846842975
all,0.0007340908829847059
all,-0.0003689031970254275
