method,fault,batch,metric,value,n_samples
CAGF,silent_gaussian,8,nll,0.7704213372366163,294
CAGF,silent_gaussian,9,macro_auroc,0.8994362748684318,470
CAGF,silent_gaussian,9,macro_auprc,0.7747926439828526,470
CAGF,silent_gaussian,9,accuracy,0.648936170212766,470
CAGF,silent_gaussian,9,macro_f1,0.6174638810058495,470
CAGF,silent_gaussian,9,nll,0.9610463267075775,470
CAGF,silent_gaussian,10,macro_auroc,0.8562929629629631,3600
CAGF,silent_gaussian,10,macro_auprc,0.6625966228415751,3600
CAGF,silent_gaussian,10,accuracy,0.5891666666666666,3600
CAGF,silent_gaussian,10,macro_f1,0.5501261589219132,3600
CAGF,silent_gaussian,10,nll,1.2292191076511538,3600
CAGF,stuck_at,8,macro_auroc,0.9566465110915159,294
CAGF,stuck_at,8,macro_auprc,0.8621506405542333,294
CAGF,stuck_at,8,accuracy,0.7857142857142857,294
CAGF,stuck_at,8,macro_f1,0.7859842420535085,294
CAGF,stuck_at,8,nll,0.8426280218078762,294
CAGF,stuck_at,9,macro_auroc,0.9046212997285049,470
CAGF,stuck_at,9,macro_auprc,0.7800434363488371,470
CAGF,stuck_at,9,accuracy,0.6510638297872341,470
CAGF,stuck_at,9,macro_f1,0.6203799336529603,470
CAGF,stuck_at,9,nll,0.9625635726404118,470
CAGF,stuck_at,10,macro_auroc,0.8396336111111111,3600
CAGF,stuck_at,10,macro_auprc,0.645988005157366,3600
CAGF,stuck_at,10,accuracy,0.5894444444444444,3600
CAGF,stuck_at,10,macro_f1,0.5694787451942827,3600
CAGF,stuck_at,10,nll,1.1860858505508005,3600
DWR,clipping,8,macro_auroc,0.9474901701651389,294
DWR,clipping,8,macro_auprc,0.8360963929893641,294
DWR,clipping,8,accuracy,0.7517006802721088,294
DWR,clipping,8,macro_f1,0.7117697881221264,294
DWR,clipping,8,nll,0.8353543339405786,294
DWR,clipping,9,macro_auroc,0.9144333714015894,470
