building,method,target_coverage,coverage,selective_error,fault_recall
hospital,PDRF-NOQ,0.95,0.9499038666951506,0.029348926121668728,0.8206185567010309
hospital,PDRF-NOQ,1.0,1.0,0.029160435804315266,0.8173913043478261
hospital,RC-PDRF-NOQ,0.5,0.5,0.022431104464857965,0.7640449438202247
hospital,RC-PDRF-NOQ,0.7,0.6999572740867336,0.021822066229208015,0.7722929936305732
hospital,RC-PDRF-NOQ,0.8,0.7999359111301004,0.022833489117372152,0.748159057437408
hospital,RC-PDRF-NOQ,0.9,0.8999145481734672,0.030029673590504458,0.7601895734597156
hospital,RC-PDRF-NOQ,0.95,0.9499038666951506,0.02923647812886543,0.8211829436038515
hospital,RC-PDRF-NOQ,1.0,1.0,0.029267250587481253,0.8167224080267559
hospital,UF-PD,0.5,0.5,0.0010681478316598714,0.9958609271523179
hospital,UF-PD,0.7,0.6999572740867336,0.014802380589043151,0.9259541984732824
hospital,UF-PD,0.8,0.7999359111301004,0.02163172653224732,0.8826086956521739
hospital,UF-PD,0.9,0.8999145481734672,0.024213649851632102,0.8571428571428571
hospital,UF-PD,0.95,0.9499038666951506,0.026425278308782163,0.8393711551606289
hospital,UF-PD,1.0,1.0,0.038239692373424505,0.8327759197324415
office,CAGF,0.5,0.4999738425320429,0.0,
office,CAGF,0.7,0.6999738425320429,0.0,
office,CAGF,0.8,0.8,0.0,1.0
office,CAGF,0.9,0.8999738425320429,5.812939603555556e-05,1.0
office,CAGF,0.95,0.9499869212660215,5.5069111735250864e-05,1.0
office,CAGF,1.0,1.0,0.02055976981428198,0.9942196531791907
office,EF-PD,0.5,0.4999738425320429,0.0,1.0
office,EF-PD,0.7,0.6999738425320429,7.473841554561655e-05,1.0
office,EF-PD,0.8,0.8,0.0005231493591419945,1.0
office,EF-PD,0.9,0.8999738425320429,0.002383305237458555,1.0
office,EF-PD,0.95,0.9499869212660215,0.005561980285258006,1.0
office,EF-PD,1.0,1.0,0.017996337954485964,0.9971098265895953
office,ENT-PD,0.5,0.4999738425320429,0.0,
office,ENT-PD,0.7,0.6999738425320429,0.0,
office,ENT-PD,0.8,0.8,0.0027465341354956374,0.8
office,ENT-PD,0.9,0.8999738425320429,0.004940998663023888,0.7213114754098361
office,ENT-PD,0.95,0.9499869212660215,0.007379260972520507,0.7605633802816901
office,ENT-PD,1.0,1.0,0.02035051007062516,0.7745664739884393
office,HGB-current,0.5,0.4999738425320429,0.0,
office,HGB-current,0.7,0.6999738425320429,0.0,
office,HGB-current,0.8,0.8,0.004839131572063837,1.0
office,HGB-current,0.9,0.8999738425320429,0.004824739870952777,1.0
office,HGB-current,0.95,0.9499869212660215,0.008095159425078435,1.0
office,HGB-current,1.0,1.0,0.03154590635626475,1.0
office,HGB-lag,0.5,0.4999738425320429,0.0,
office,HGB-lag,0.7,0.6999738425320429,0.0,
office,HGB-lag,0.8,0.8,0.0014386607376406513,1.0
office,HGB-lag,0.9,0.8999738425320429,0.004417834098703666,1.0
office,HGB-lag,0.95,0.9499869212660215,0.006993777190373973,1.0
office,HGB-lag,1.0,1.0,0.03201674077949257,1.0
office,PDRF-NOQ,0.5,0.4999738425320429,0.0,
office,PDRF-NOQ,0.7,0.6999738425320429,0.0,
office,PDRF-NOQ,0.8,0.8,0.0030735024849594117,1.0
office,PDRF-NOQ,0.9,0.8999738425320429,0.03644713131430566,1.0
office,PDRF-NOQ,0.95,0.9499869212660215,0.0576022908750482,1.0
office,PDRF-NOQ,1.0,1.0,0.07957101752550355,0.9942196531791907
office,RC-PDRF-NOQ,0.5,0.4999738425320429,0.0,
office,RC-PDRF-NOQ,0.7,0.6999738425320429,0.0,
office,RC-PDRF-NOQ,0.8,0.8,0.00228877844624642,1.0
office,RC-PDRF-NOQ,0.9,0.8999738425320429,0.029297215601929882,1.0
office,RC-PDRF-NOQ,0.95,0.9499869212660215,0.057932705545459595,1.0
office,RC-PDRF-NOQ,1.0,1.0,0.08051268637195919,0.9161849710982659
office,UF-PD,0.5,0.4999738425320429,0.0,
office,UF-PD,0.7,0.6999738425320429,0.0,
office,UF-PD,0.8,0.8,0.00582003662045516,0.8548387096774194
office,UF-PD,0.9,0.8999738425320429,0.008951926989478554,0.8125
office,UF-PD,0.95,0.9499869212660215,0.010022578335811438,0.8064516129032258
office,UF-PD,1.0,1.0,0.020455139942453515,0.7745664739884393
