held_out_building,method,metric,value
office,EF-PD,balanced_accuracy,0.9753480571289432
office,UF-PD,accuracy,0.9403603490489045
office,UF-PD,macro_f1,0.7592849786134775
office,UF-PD,macro_auroc,0.953118327127195
office,UF-PD,macro_auprc,0.7900540413098811
office,UF-PD,nll,0.14492485458792934
office,UF-PD,class_1_precision,0.9715235251446598
office,UF-PD,class_1_recall,0.9646237081455922
office,UF-PD,class_1_f1,0.9680613222612584
office,UF-PD,class_1_auroc,0.953118327127195
office,UF-PD,class_1_auprc,0.9967410420855815
office,UF-PD,class_2_precision,0.5242171660283848
office,UF-PD,class_2_recall,0.5795765877957659
office,UF-PD,class_2_f1,0.5505086349656967
office,UF-PD,class_2_auroc,0.953118327127195
office,UF-PD,class_2_auprc,0.5833670405341806
office,UF-PD,balanced_accuracy,0.772100147970679
office,CAGF,accuracy,0.9569888254127692
office,CAGF,macro_f1,0.8558863195378321
office,CAGF,macro_auroc,0.9875419035057288
office,CAGF,macro_auprc,0.9045468926519815
office,CAGF,nll,0.14426874486328997
office,CAGF,class_1_precision,0.9963229207511001
office,CAGF,class_1_recall,0.957630525451835
office,CAGF,class_1_f1,0.9765936276247293
office,CAGF,class_1_auroc,0.9875419048094444
office,CAGF,class_1_auprc,0.9991672685537314
office,CAGF,class_2_precision,0.6006157732691245
office,CAGF,class_2_recall,0.9474470734744708
office,CAGF,class_2_f1,0.7351790114509349
office,CAGF,class_2_auroc,0.9875419022020132
office,CAGF,class_2_auprc,0.8099265167502316
office,CAGF,balanced_accuracy,0.9525387994631529
office,ENT-PD,accuracy,0.9347102768535376
office,ENT-PD,macro_f1,0.7448409200552716
office,ENT-PD,macro_auroc,0.9402735939515772
office,ENT-PD,macro_auprc,0.777676585342929
office,ENT-PD,nll,0.1640154633827085
office,ENT-PD,class_1_precision,0.9708620163450778
office,ENT-PD,class_1_recall,0.9591045376124353
office,ENT-PD,class_1_f1,0.9649474633254409
office,ENT-PD,class_1_auroc,0.9402735947338066
office,ENT-PD,class_1_auprc,0.9957863860720821
office,ENT-PD,class_2_precision,0.48469818488813843
office,ENT-PD,class_2_recall,0.5719800747198007
office,ENT-PD,class_2_f1,0.5247343767851023
office,ENT-PD,class_2_auroc,0.9402735931693479
office,ENT-PD,class_2_auprc,0.5595667846137758
office,ENT-PD,balanced_accuracy,0.765542306166118
office,PDRF-NOQ,accuracy,0.9067659614539519
office,PDRF-NOQ,macro_f1,0.659600912348132
office,PDRF-NOQ,macro_auroc,0.8850451642549215
office,PDRF-NOQ,macro_auprc,0.6767444247840915
office,PDRF-NOQ,nll,0.2649753289959704
office,PDRF-NOQ,class_1_precision,0.9610005402299836
office,PDRF-NOQ,class_1_recall,0.9385856183313512
office,PDRF-NOQ,class_1_f1,0.9496608323906126
office,PDRF-NOQ,class_1_auroc,0.8850451606045178
office,PDRF-NOQ,class_1_auprc,0.9916650767351178
office,PDRF-NOQ,class_2_precision,0.32196024040684235
office,PDRF-NOQ,class_2_recall,0.4336239103362391
office,PDRF-NOQ,class_2_f1,0.36954099230565135
office,PDRF-NOQ,class_2_auroc,0.8850451679053252
