seed,teacher,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
101,clean_only,unaffected,brier,0.6312973170982622,19740,23.707031099998858,0.00186372594238305
101,clean_only,unaffected,ece15,0.21448836081035222,19740,23.707031099998858,0.00186372594238305
101,removal_only,all,accuracy,0.5595783684692942,19740,23.651502199994866,0.0017225022893932525
101,removal_only,all,macro_f1,0.5362991078905956,19740,23.651502199994866,0.0017225022893932525
101,removal_only,all,macro_auroc,0.8508322341050433,19740,23.651502199994866,0.0017225022893932525
101,removal_only,all,macro_auprc,0.6054393340730203,19740,23.651502199994866,0.0017225022893932525
101,removal_only,all,nll,1.6846630460268648,19740,23.651502199994866,0.0017225022893932525
101,removal_only,all,brier,0.6622251574923873,19740,23.651502199994866,0.0017225022893932525
101,removal_only,all,ece15,0.22954730820644897,19740,23.651502199994866,0.0017225022893932525
101,removal_only,affected,accuracy,0.5324074074074074,19740,23.651502199994866,0.0017225022893932525
101,removal_only,affected,macro_f1,0.506525961743376,19740,23.651502199994866,0.0017225022893932525
101,removal_only,affected,macro_auroc,0.8289634697598336,19740,23.651502199994866,0.0017225022893932525
101,removal_only,affected,macro_auprc,0.5573320968443927,19740,23.651502199994866,0.0017225022893932525
101,removal_only,affected,nll,1.8999914738812478,19740,23.651502199994866,0.0017225022893932525
101,removal_only,affected,brier,0.7067031365931773,19740,23.651502199994866,0.0017225022893932525
101,removal_only,affected,ece15,0.26108945864770144,19740,23.651502199994866,0.0017225022893932525
101,removal_only,unaffected,accuracy,0.5773899848254932,19740,23.651502199994866,0.0017225022893932525
101,removal_only,unaffected,macro_f1,0.5540724480049477,19740,23.651502199994866,0.0017225022893932525
101,removal_only,unaffected,macro_auroc,0.8669252873844657,19740,23.651502199994866,0.0017225022893932525
101,removal_only,unaffected,macro_auprc,0.6457314796592867,19740,23.651502199994866,0.0017225022893932525
101,removal_only,unaffected,nll,1.543506929436435,19740,23.651502199994866,0.0017225022893932525
