method,fault,metric,mean,sd,n,ci95
CRF,silent_gaussian,aurc,0.2705014153901146,0.024732233037365128,10,0.015329196851947063
CRF,silent_gaussian,ece,0.23983989434093095,0.02748234543827453,10,0.017033734177583238
CRF,silent_gaussian,macro_auroc,0.8250768646736031,0.01188435080908998,10,0.007365996945561092
CRF,silent_gaussian,macro_f1,0.514682043341255,0.022786003050625916,10,0.014122911008658484
CRF,silent_gaussian,nll,2.0127880993505807,0.19051845300150388,10,0.11808456056419303
CRF_NR,bias,accuracy,0.5178505957836846,0.02387646095774795,10,0.014798783821751493
CRF_NR,bias,aurc,0.27206708198308815,0.017157718824177215,10,0.01063446430368063
CRF_NR,bias,ece,0.23110268278394014,0.0338160465129769,10,0.020959402774867526
CRF_NR,bias,macro_auroc,0.8122066620983285,0.015170075998229752,10,0.009402510516722659
CRF_NR,bias,macro_f1,0.5235113635364584,0.020105251590292715,10,0.012461364039385294
CRF_NR,bias,nll,2.1062660886866955,0.2985236715610723,10,0.1850268885713682
CRF_NR,burst,accuracy,0.513313473877177,0.029956257843660652,10,0.018567080972405364
CRF_NR,burst,aurc,0.295801872152024,0.024609840168497696,10,0.015253336965890318
CRF_NR,burst,ece,0.25170588238074293,0.028906713035010995,10,0.01791656636046462
CRF_NR,burst,macro_auroc,0.8068982475255169,0.013003636744804651,10,0.00805973755589192
CRF_NR,burst,macro_f1,0.49537651141347994,0.026265159239468146,10,0.016279314355532103
CRF_NR,burst,nll,2.196666601181046,0.21855723149806863,10,0.1354631755243799
CRF_NR,clipping,accuracy,0.5538038496791934,0.01915657856906496,10,0.011873370409026033
CRF_NR,clipping,aurc,0.2277736151135886,0.01343957883531124,10,0.008329937262943394
CRF_NR,clipping,ece,0.1883908981643446,0.021972569412727818,10,0.01361873961651217
CRF_NR,clipping,macro_auroc,0.8462974718282847,0.007964038026501979,10,0.00493616190904398
CRF_NR,clipping,macro_f1,0.5344542305960047,0.01880483665126897,10,0.011655358509702991
CRF_NR,clipping,nll,1.619601737093091,0.12330172825324891,10,0.07642320294021865
CRF_NR,correlated,accuracy,0.4957836846929422,0.012857336598560328,10,0.007969059785798954
CRF_NR,correlated,aurc,0.3384348665008705,0.017202274947633038,10,0.010662080475110929
CRF_NR,correlated,ece,0.29270032239304455,0.019475854090299737,10,0.012071259427280946
CRF_NR,correlated,macro_auroc,0.7786661577240828,0.008898639109924097,10,0.005515433661989867
CRF_NR,correlated,macro_f1,0.48012989623732966,0.01413744748083651,10,0.008762480730728793
CRF_NR,correlated,nll,2.7287390455153213,0.21860384962723747,10,0.13549206974019207
CRF_NR,delayed_quality,accuracy,0.5258936755270394,0.017313746453899038,10,0.010731171230496946
CRF_NR,delayed_quality,aurc,0.27539299055231936,0.01564145873370702,10,0.009694676563105268
CRF_NR,delayed_quality,ece,0.23754947466774062,0.02325747532979605,10,0.014415132554796926
CRF_NR,delayed_quality,macro_auroc,0.81794587997615,0.009357785317125068,10,0.0058000154295712696
CRF_NR,delayed_quality,macro_f1,0.5076774973921295,0.01669360626487425,10,0.010346804359175512
CRF_NR,delayed_quality,nll,2.0290947779257453,0.19060119766497952,10,0.11813584623795122
CRF_NR,misleading_quality,accuracy,0.47930797433547206,0.013559156592451245,10,0.008404052324674541
CRF_NR,misleading_quality,aurc,0.3776655960588942,0.01288443448468281,10,0.007985855229623844
CRF_NR,misleading_quality,ece,0.3108923146468745,0.019407816665166586,10,0.012029089394288373
CRF_NR,misleading_quality,macro_auroc,0.7528591768480868,0.00772077947464811,10,0.0047853886965461894
CRF_NR,misleading_quality,macro_f1,0.4663936495557781,0.012384178112868193,10,0.007675793118030379
CRF_NR,misleading_quality,nll,3.1792826695020358,0.2491851134597181,10,0.15444653343787712
CRF_NR,silent_gaussian,accuracy,0.5173923006416132,0.015427549189698487,10,0.009562094054131531
CRF_NR,silent_gaussian,aurc,0.2994722679488167,0.015390326178634383,10,0.009539022992850418
CRF_NR,silent_gaussian,ece,0.25433293258264233,0.02291571522592593,10,0.014203307447842286
CRF_NR,silent_gaussian,macro_auroc,0.80387430439214,0.009573064110462489,10,0.00593344660807154
CRF_NR,silent_gaussian,macro_f1,0.49959837223252557,0.015166436262478353,10,0.00940025458513177
CRF_NR,silent_gaussian,nll,2.2640574699663008,0.2202785769160241,10,0.13653007646786408
GF,bias,accuracy,0.4530934922089826,0.02642792270974251,10,0.016380196199576362
GF,bias,aurc,0.4188005306966745,0.06275299083773231,10,0.03889470668284273
GF,bias,ece,0.2987229380305894,0.05753284023023827,10,0.03565922381567933
GF,bias,macro_auroc,0.757251182404881,0.030446631964383603,10,0.018871018001314396
GF,bias,macro_f1,0.4522818380501096,0.02753632937148497,10,0.01706719376603912
GF,bias,nll,2.6483607031179215,0.9712308281543045,10,0.6019751039448814
GF,burst,accuracy,0.4542163153070577,0.033098196576875696,10,0.020514474774875443
GF,burst,aurc,0.4073271502765672,0.038803385575408925,10,0.02405058755142705
GF,burst,ece,0.2910009267578613,0.04175072665946548,10,0.025877368481360716
GF,burst,macro_auroc,0.7537007604746419,0.021261576720908178,10,0.013178061780558862
GF,burst,macro_f1,0.4377579525935805,0.032832435561207796,10,0.02034975439080855
GF,burst,nll,2.633086354552763,0.2907247187931522,10,0.1801930475656706
GF,clipping,accuracy,0.4888405132905591,0.028865328613843774,10,0.017890916030479542
GF,clipping,aurc,0.32412365794001363,0.04254925646913865,10,0.02637230238506988
GF,clipping,ece,0.2223484055273146,0.0536734749493086,10,0.03326716443205792
GF,clipping,macro_auroc,0.8022896931554513,0.021855896715773912,10,0.0135464251297389
GF,clipping,macro_f1,0.470550008581262,0.023417564195562846,10,0.014514356661792708
GF,clipping,nll,1.8628624973902603,0.3253415590263404,10,0.20164878743053627
GF,correlated,accuracy,0.449404216315307,0.02656307003403847,10,0.01646396137900908
GF,correlated,aurc,0.4228075587474514,0.043422964742074396,10,0.026913832383059645
GF,correlated,ece,0.3129950249316657,0.05264464534569511,10,0.03262948923721906
GF,correlated,macro_auroc,0.7421483118214156,0.02227843739774524,10,0.013808318557724507
GF,correlated,macro_f1,0.435781166133179,0.024904073001596243,10,0.015435704365229452
GF,correlated,nll,2.9359614175700943,0.5609422756514033,10,0.3476756244795433
GF,delayed_quality,accuracy,0.4558661778185151,0.026712531301260792,10,0.01655659843218301
GF,delayed_quality,aurc,0.40756316218069255,0.039890541123590514,10,0.02472441354124303
GF,delayed_quality,ece,0.30026172371384857,0.03824385302556535,10,0.023703785684055602
GF,delayed_quality,macro_auroc,0.7522023612752124,0.021066202915528517,10,0.01305696784141256
GF,delayed_quality,macro_f1,0.4388688588004448,0.026877191797303544,10,0.016658656064980067
GF,delayed_quality,nll,2.6994517913096567,0.349439095652387,10,0.21658459537111302
GF,misleading_quality,accuracy,0.45618698441796524,0.026510084154715553,10,0.01643112039076158
GF,misleading_quality,aurc,0.40704604827865165,0.039691188602404205,10,0.02460085356849087
GF,misleading_quality,ece,0.29961856793369807,0.03865782000003317,10,0.023960365073075394
GF,misleading_quality,macro_auroc,0.7522879550850468,0.020596292349779808,10,0.012765714255281094
GF,misleading_quality,macro_f1,0.4389148683692496,0.026678916251761994,10,0.01653576360864821
GF,misleading_quality,nll,2.697095269740578,0.3451917265453983,10,0.21395204872457516
GF,silent_gaussian,accuracy,0.4558890925756187,0.026721058859331615,10,0.016561883867434107
GF,silent_gaussian,aurc,0.40762031607952903,0.03987313014471175,10,0.024713622104731235
GF,silent_gaussian,ece,0.300378724364487,0.03821865393196659,10,0.02368816712402981
GF,silent_gaussian,macro_auroc,0.7521693030088998,0.021144904570593523,10,0.013105747632596108
GF,silent_gaussian,macro_f1,0.43892994176112576,0.026905213697090598,10,0.016676024218407713
GF,silent_gaussian,nll,2.7005721100199263,0.35052461072236585,10,0.21725740458200477
