method,pool,subset,metric,value
PDRF,validation_selected,affected,ece15,0.3456191040132269
PDRF,validation_selected,unaffected,accuracy,0.5952289342054636
PDRF,validation_selected,unaffected,macro_f1,0.5678425090401407
PDRF,validation_selected,unaffected,macro_auroc,0.8708603525185681
PDRF,validation_selected,unaffected,macro_auprc,0.6523580323801133
PDRF,validation_selected,unaffected,nll,1.7225242492604684
PDRF,validation_selected,unaffected,brier,0.6224221822453013
PDRF,validation_selected,unaffected,ece15,0.2338026703814444
PDRF_INT,probability_mean,all,accuracy,0.553391384051329
PDRF_INT,probability_mean,all,macro_f1,0.5347773132934254
PDRF_INT,probability_mean,all,macro_auroc,0.840336005939211
PDRF_INT,probability_mean,all,macro_auprc,0.6038767046021598
PDRF_INT,probability_mean,all,nll,1.9708465738321022
PDRF_INT,probability_mean,all,brier,0.6494802453410905
PDRF_INT,probability_mean,all,ece15,0.222523251987181
PDRF_INT,probability_mean,affected,accuracy,0.47705382436260624
PDRF_INT,probability_mean,affected,macro_f1,0.47002689919475493
PDRF_INT,probability_mean,affected,macro_auroc,0.7987514705823484
PDRF_INT,probability_mean,affected,macro_auprc,0.5295073091497129
PDRF_INT,probability_mean,affected,nll,2.498293546837336
PDRF_INT,probability_mean,affected,brier,0.7694159529530185
PDRF_INT,probability_mean,affected,ece15,0.2893827514000047
PDRF_INT,probability_mean,unaffected,accuracy,0.605232781839169
PDRF_INT,probability_mean,unaffected,macro_f1,0.5734936523820963
PDRF_INT,probability_mean,unaffected,macro_auroc,0.8707954515957813
PDRF_INT,probability_mean,unaffected,macro_auprc,0.6604308504515662
PDRF_INT,probability_mean,unaffected,nll,1.612653458266794
PDRF_INT,probability_mean,unaffected,brier,0.5680310248966683
PDRF_INT,probability_mean,unaffected,ece15,0.17711852846947393
PDRF_INT,log_probability_mean,all,accuracy,0.5543079743354721
PDRF_INT,log_probability_mean,all,macro_f1,0.5378465218864368
PDRF_INT,log_probability_mean,all,macro_auroc,0.8398088414438719
PDRF_INT,log_probability_mean,all,macro_auprc,0.5949748206254374
PDRF_INT,log_probability_mean,all,nll,2.2125231309773263
PDRF_INT,log_probability_mean,all,brier,0.6882959385225437
PDRF_INT,log_probability_mean,all,ece15,0.2748954361193668
PDRF_INT,log_probability_mean,affected,accuracy,0.47478753541076485
PDRF_INT,log_probability_mean,affected,macro_f1,0.47050261074692545
PDRF_INT,log_probability_mean,affected,macro_auroc,0.7931922245496678
PDRF_INT,log_probability_mean,affected,macro_auprc,0.5144576457079845
PDRF_INT,log_probability_mean,affected,nll,2.9596616971388428
PDRF_INT,log_probability_mean,affected,brier,0.8386693874591461
PDRF_INT,log_probability_mean,affected,ece15,0.36117688084796873
PDRF_INT,log_probability_mean,unaffected,accuracy,0.6083108888033859
PDRF_INT,log_probability_mean,unaffected,macro_f1,0.5774152550991052
PDRF_INT,log_probability_mean,unaffected,macro_auroc,0.8749389723540881
PDRF_INT,log_probability_mean,unaffected,macro_auprc,0.6630416378435202
PDRF_INT,log_probability_mean,unaffected,nll,1.705135839990379
PDRF_INT,log_probability_mean,unaffected,brier,0.5861762242581715
PDRF_INT,log_probability_mean,unaffected,ece15,0.21638272812202278
PDRF_INT,majority_vote,all,accuracy,0.5419340054995417
PDRF_INT,majority_vote,all,macro_f1,0.525347361410952
PDRF_INT,majority_vote,all,macro_auroc,0.7471674009761102
PDRF_INT,majority_vote,all,macro_auprc,0.49130667834678715
PDRF_INT,majority_vote,all,nll,10.225088174990288
PDRF_INT,majority_vote,all,brier,0.7606171707877796
PDRF_INT,majority_vote,all,ece15,0.3318820653792986
PDRF_INT,majority_vote,affected,accuracy,0.4708215297450425
PDRF_INT,majority_vote,affected,macro_f1,0.4654518687269365
PDRF_INT,majority_vote,affected,macro_auroc,0.720762309763864
PDRF_INT,majority_vote,affected,macro_auprc,0.41992270342650867
PDRF_INT,majority_vote,affected,nll,11.548449454560764
PDRF_INT,majority_vote,affected,brier,0.8760465848243905
