score_clean,score_degraded,weight_clean,weight_degraded
-0.5918517,2.998991,0.31514814,0.15790884
-0.97368276,2.9999793,0.23820394,0.10377492
-0.9560049,2.9992864,0.3085983,0.14239931
-0.6991995,2.9991138,0.32163435,0.15831096
-0.8463764,2.7325828,0.2327781,0.11032455
-0.75356394,2.9999971,0.22920513,0.10421959
-0.880929,2.710298,0.23523736,0.111374535
-0.6459267,2.9815392,0.3145623,0.15633664
-0.64419514,2.999389,0.51177794,0.29655114
-0.594116,2.9858468,0.30458266,0.151799
-0.6218898,2.9982188,0.21888284,0.101815276
-0.5576011,2.99961,0.4274459,0.2347678
-0.6173152,2.9871457,0.21564099,0.10043802
-0.6373484,2.9998176,0.21602227,0.0999041
-0.6863876,3.0,0.30339357,0.14769608
-0.47937495,2.9771821,0.20947324,0.10044924
-0.5576404,2.999949,0.49620014,0.2881067
-0.51284665,2.99999,0.21240598,0.10077051
-0.53887,2.9998336,0.21266386,0.10032503
-1.3244895,2.9944007,0.24193454,0.09780763
-1.3527753,2.9984426,0.24366224,0.097923785
-1.2987254,2.9997668,0.30479622,0.1302008
-1.2923952,2.9999876,0.24179474,0.09832633
-1.3236313,2.9963756,0.33760178,0.14754318
-1.3073134,2.9621327,0.33585522,0.14815047
-1.3449831,2.999587,0.3384163,0.14722897
-1.3159022,2.9960067,0.30646893,0.1307144
-1.2718766,2.9999986,0.24002044,0.09792142
-1.2529033,2.9023905,0.33358192,0.1504786
-1.3557129,2.9966474,0.24306735,0.097613625
-1.3617392,2.999874,0.24378486,0.09775311
-1.3390044,2.999999,0.24141623,0.09711657
-1.3010762,2.999885,0.3038405,0.12962075
-1.3437849,2.9998705,0.3291989,0.1421283
-1.3383055,2.9992442,0.3380403,0.14723839
-1.3453385,2.9998531,0.24288559,0.09768446
-1.4052218,2.998118,0.33249962,0.14212686
-1.1263299,2.9986894,0.32603183,0.14711092
-1.1046327,2.994795,0.32768428,0.14886455
-1.0343375,2.9998517,0.25564066,0.11132294
-1.0631993,2.9993782,0.3332704,0.15328376
-0.942649,2.9560702,0.49360806,0.2688925
