seed,method,prevalence,scale,modality,subset,macro_auroc
101,PDRF,0.4,1.0,4,affected,0.8064543883859039
101,PDRF,0.4,1.0,4,unaffected,0.8480661680602858
101,PDRF,0.4,3.0,1,all,0.8051001522593181
101,PDRF,0.4,3.0,1,affected,0.7619817778517977
101,PDRF,0.4,3.0,1,unaffected,0.8393505894334087
101,PDRF,0.4,3.0,2,all,0.8204528039146797
101,PDRF,0.4,3.0,2,affected,0.7794535681409117
101,PDRF,0.4,3.0,2,unaffected,0.8542825602963521
101,PDRF,0.4,3.0,3,all,0.8143898125128596
101,PDRF,0.4,3.0,3,affected,0.7671217276578646
101,PDRF,0.4,3.0,3,unaffected,0.8506918141487095
101,PDRF,0.4,3.0,4,all,0.791322540228036
101,PDRF,0.4,3.0,4,affected,0.7242166599570132
101,PDRF,0.4,3.0,4,unaffected,0.8480661680602858
101,PDRF,0.4,5.0,1,all,0.7863943437462394
101,PDRF,0.4,5.0,1,affected,0.7240948062521815
101,PDRF,0.4,5.0,1,unaffected,0.8393505894334087
101,PDRF,0.4,5.0,2,all,0.8026803375933763
101,PDRF,0.4,5.0,2,affected,0.7464105098419854
101,PDRF,0.4,5.0,2,unaffected,0.8542825602963521
101,PDRF,0.4,5.0,3,all,0.794580901874176
101,PDRF,0.4,5.0,3,affected,0.7273908603310205
101,PDRF,0.4,5.0,3,unaffected,0.8506918141487095
101,PDRF,0.4,5.0,4,all,0.7637832059498221
101,PDRF,0.4,5.0,4,affected,0.672241921888113
101,PDRF,0.4,5.0,4,unaffected,0.8480661680602858
101,PDRF,0.7,1.0,1,all,0.8198253912471113
101,PDRF,0.7,1.0,1,affected,0.8118317147437158
101,PDRF,0.7,1.0,1,unaffected,0.8405317179112958
101,PDRF,0.7,1.0,2,all,0.8333877996319324
101,PDRF,0.7,1.0,2,affected,0.8265854758361008
101,PDRF,0.7,1.0,2,unaffected,0.8511164690506812
101,PDRF,0.7,1.0,3,all,0.8327813766227875
101,PDRF,0.7,1.0,3,affected,0.8237485206884071
101,PDRF,0.7,1.0,3,unaffected,0.8538024926690463
101,PDRF,0.7,1.0,4,all,0.8209349392679197
101,PDRF,0.7,1.0,4,affected,0.812062966681243
101,PDRF,0.7,1.0,4,unaffected,0.8436670883316285
101,PDRF,0.7,3.0,1,all,0.7770248324877076
101,PDRF,0.7,3.0,1,affected,0.7543278668670275
