grouping,groups,seed,fault,macro_auroc
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",102,silent_gaussian,0.8652912700690584
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",103,natural,0.8926278539538167
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",103,silent_gaussian,0.8611978836739417
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",104,natural,0.8884152478450794
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",104,silent_gaussian,0.8582466372225337
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",105,natural,0.8954299439067669
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",105,silent_gaussian,0.8671600903299576
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",101,natural,0.878300261182856
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",101,silent_gaussian,0.8465718900507745
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",102,natural,0.8727673834466404
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",102,silent_gaussian,0.8419510696545262
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",103,natural,0.8850195855363069
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",103,silent_gaussian,0.846513434465078
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",104,natural,0.8892924202097278
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",104,silent_gaussian,0.854232368148331
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",105,natural,0.8721033049018839
random_4,"[[14, 10, 6, 2], [11, 12, 1, 0], [7, 9, 8, 15], [3, 13, 4, 5]]",105,silent_gaussian,0.8373599032732183
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",101,natural,0.8867152826387938
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",101,silent_gaussian,0.8632495439470985
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",102,natural,0.8951744473501099
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",102,silent_gaussian,0.8727422755010407
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",103,natural,0.8917586613297664
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",103,silent_gaussian,0.8671876750711043
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",104,natural,0.8860227665730993
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",104,silent_gaussian,0.8606882021841203
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",105,natural,0.8792827275928912
random_5,"[[14, 11, 5, 9], [2, 6, 7, 4], [1, 13, 0, 3], [15, 12, 8, 10]]",105,silent_gaussian,0.8567980773536422
