method,fault,calibrated,metric,value
EF,correlated_dual,False,ece_15,0.31802111346066325
EF,correlated_dual,False,ece_20,0.31832443776034247
EF,correlated_dual,False,nll,3.1451106991808992
EF,correlated_dual,True,adaptive_ece_15,0.3201402772146283
EF,correlated_dual,True,brier,0.8155065573782361
EF,correlated_dual,True,ece_10,0.3204663041101531
EF,correlated_dual,True,ece_15,0.3203924411472435
EF,correlated_dual,True,ece_20,0.3208575139496574
EF,correlated_dual,True,nll,3.1424137154348393
EF,gain_loss,False,adaptive_ece_15,0.17883047191622495
EF,gain_loss,False,brier,0.6104398456039668
EF,gain_loss,False,ece_10,0.17873768161924247
EF,gain_loss,False,ece_15,0.17899382534948208
EF,gain_loss,False,ece_20,0.17926358322994515
EF,gain_loss,False,nll,1.5659928981415567
EF,gain_loss,True,adaptive_ece_15,0.18164764905978406
EF,gain_loss,True,brier,0.6110818561271257
EF,gain_loss,True,ece_10,0.18206467179463717
EF,gain_loss,True,ece_15,0.18183469156419646
EF,gain_loss,True,ece_20,0.18217830240494276
EF,gain_loss,True,nll,1.5629820792004414
EF,linear_drift,False,adaptive_ece_15,0.2378447277135088
EF,linear_drift,False,brier,0.6842747535612014
EF,linear_drift,False,ece_10,0.23815070545176206
EF,linear_drift,False,ece_15,0.23856583820582525
EF,linear_drift,False,ece_20,0.23899197204125572
EF,linear_drift,False,nll,2.072733541341731
EF,linear_drift,True,adaptive_ece_15,0.24107288499828
EF,linear_drift,True,brier,0.685153762633959
EF,linear_drift,True,ece_10,0.24183943424404591
EF,linear_drift,True,ece_15,0.24171498316885623
EF,linear_drift,True,ece_20,0.2422585633365688
EF,linear_drift,True,nll,2.057510499114229
EF,natural,False,adaptive_ece_15,0.19966597801755587
EF,natural,False,brier,0.5822676945023059
EF,natural,False,ece_10,0.20013831352301134
EF,natural,False,ece_15,0.20048816772049766
EF,natural,False,ece_20,0.20060282671409224
EF,natural,False,nll,1.666908906618937
EF,natural,True,adaptive_ece_15,0.2011150032350167
EF,natural,True,brier,0.5796484101280851
EF,natural,True,ece_10,0.2017754318105529
EF,natural,True,ece_15,0.20171474560849387
EF,natural,True,ece_20,0.20193154896984228
EF,natural,True,nll,1.652974576031842
EF,offset,False,adaptive_ece_15,0.2922662708215163
EF,offset,False,brier,0.7721499203066801
EF,offset,False,ece_10,0.29239494724422826
EF,offset,False,ece_15,0.2930651074434151
EF,offset,False,ece_20,0.2933577349318975
EF,offset,False,nll,2.6368161419623393
EF,offset,True,adaptive_ece_15,0.29638573238054183
EF,offset,True,brier,0.7736369124346102
EF,offset,True,ece_10,0.29690826410251836
EF,offset,True,ece_15,0.2967022426047394
EF,offset,True,ece_20,0.2973845912493581
EF,offset,True,nll,2.613259961703355
EF,silent_gaussian,False,adaptive_ece_15,0.28699969931426234
EF,silent_gaussian,False,brier,0.7667451681132826
EF,silent_gaussian,False,ece_10,0.2871330648954312
EF,silent_gaussian,False,ece_15,0.28775749362076397
EF,silent_gaussian,False,ece_20,0.2880035317928883
EF,silent_gaussian,False,nll,2.7205909626829925
EF,silent_gaussian,True,adaptive_ece_15,0.2898090256048549
EF,silent_gaussian,True,brier,0.7674898994147105
EF,silent_gaussian,True,ece_10,0.2902610596163518
EF,silent_gaussian,True,ece_15,0.2901941412016681
EF,silent_gaussian,True,ece_20,0.2907544695923325
EF,silent_gaussian,True,nll,2.712507032971164
EF,stuck_at,False,adaptive_ece_15,0.18652003972520528
EF,stuck_at,False,brier,0.6292956076769511
EF,stuck_at,False,ece_10,0.18702774223428484
EF,stuck_at,False,ece_15,0.18771463251313297
EF,stuck_at,False,ece_20,0.18782352123385604
EF,stuck_at,False,nll,1.6020733610117706
EF,stuck_at,True,adaptive_ece_15,0.18997255657568204
EF,stuck_at,True,brier,0.6303382054878451
EF,stuck_at,True,ece_10,0.19046990095162258
EF,stuck_at,True,ece_15,0.19045159973675344
EF,stuck_at,True,ece_20,0.1910458845486753
EF,stuck_at,True,nll,1.6000748969884089
UF,clipping,False,adaptive_ece_15,0.22029526200688396
UF,clipping,False,brier,0.6577548777414883
UF,clipping,False,ece_10,0.22101261919512863
UF,clipping,False,ece_15,0.22109105347132427
UF,clipping,False,ece_20,0.22111478175773297
UF,clipping,False,nll,1.7456496369308787
UF,clipping,True,adaptive_ece_15,0.21194578922472335
UF,clipping,True,brier,0.6528372229367297
UF,clipping,True,ece_10,0.21268330260455656
UF,clipping,True,ece_15,0.212676692904954
UF,clipping,True,ece_20,0.21274934074338642
UF,clipping,True,nll,1.7126416510597984
UF,correlated_dual,False,adaptive_ece_15,0.3166635116102988
UF,correlated_dual,False,brier,0.8042128839766345
UF,correlated_dual,False,ece_10,0.316991718085423
UF,correlated_dual,False,ece_15,0.3172117798605389
UF,correlated_dual,False,ece_20,0.31731136528746073
UF,correlated_dual,False,nll,2.9744047494156773
UF,correlated_dual,True,adaptive_ece_15,0.3092815472043566
UF,correlated_dual,True,brier,0.7989148614341024
UF,correlated_dual,True,ece_10,0.30967083821785113
UF,correlated_dual,True,ece_15,0.3097784213185665
UF,correlated_dual,True,ece_20,0.31002386688783173
UF,correlated_dual,True,nll,2.9126169484562388
UF,gain_loss,False,adaptive_ece_15,0.18775164738406727
UF,gain_loss,False,brier,0.623023643232823
UF,gain_loss,False,ece_10,0.18814868826682032
UF,gain_loss,False,ece_15,0.18826545153690738
UF,gain_loss,False,ece_20,0.18829382326689525
UF,gain_loss,False,nll,1.5888695185498645
UF,gain_loss,True,adaptive_ece_15,0.1792856671694601
UF,gain_loss,True,brier,0.6189568177883447
UF,gain_loss,True,ece_10,0.17977468134283908
UF,gain_loss,True,ece_15,0.17981273744880166
UF,gain_loss,True,ece_20,0.17986944650942638
UF,gain_loss,True,nll,1.5613062313639978
UF,linear_drift,False,adaptive_ece_15,0.2497879358973118
UF,linear_drift,False,brier,0.7006871006218338
UF,linear_drift,False,ece_10,0.250442688568648
UF,linear_drift,False,ece_15,0.2506566813241222
UF,linear_drift,False,ece_20,0.25057555313685637
UF,linear_drift,False,nll,2.0702474117649787
UF,linear_drift,True,adaptive_ece_15,0.24162265505269512
UF,linear_drift,True,brier,0.6953525290482174
UF,linear_drift,True,ece_10,0.2423759166359573
UF,linear_drift,True,ece_15,0.24241365305259888
UF,linear_drift,True,ece_20,0.24245027018613655
UF,linear_drift,True,nll,2.031381998258722
UF,natural,False,adaptive_ece_15,0.15927018528406384
UF,natural,False,brier,0.5490194139809779
UF,natural,False,ece_10,0.15988130094492026
UF,natural,False,ece_15,0.16021280393694154
UF,natural,False,ece_20,0.1604398943531633
UF,natural,False,nll,1.3650382878212626
UF,natural,True,adaptive_ece_15,0.1522502308859943
UF,natural,True,brier,0.5448300140295836
UF,natural,True,ece_10,0.15285663510494335
UF,natural,True,ece_15,0.15305056162076075
UF,natural,True,ece_20,0.1532381001614054
UF,natural,True,nll,1.3440852810362487
UF,offset,False,adaptive_ece_15,0.30031131990424653
UF,offset,False,brier,0.783193142074762
UF,offset,False,ece_10,0.3008533714467183
UF,offset,False,ece_15,0.30102115641326715
UF,offset,False,ece_20,0.30098580725962254
UF,offset,False,nll,2.6321062261828594
UF,offset,True,adaptive_ece_15,0.2924209931054375
UF,offset,True,brier,0.7773976116634818
UF,offset,True,ece_10,0.29300032479980465
UF,offset,True,ece_15,0.2930342200334251
UF,offset,True,ece_20,0.2931829251912375
UF,offset,True,nll,2.5811088287368094
UF,silent_gaussian,False,adaptive_ece_15,0.27775041840622233
UF,silent_gaussian,False,brier,0.7439648873516489
UF,silent_gaussian,False,ece_10,0.2781993677482814
UF,silent_gaussian,False,ece_15,0.2783828042177816
UF,silent_gaussian,False,ece_20,0.2784495415563817
UF,silent_gaussian,False,nll,2.4882380191488873
UF,silent_gaussian,True,adaptive_ece_15,0.2699930428994237
UF,silent_gaussian,True,brier,0.7387035075938234
UF,silent_gaussian,True,ece_10,0.2704952253641665
UF,silent_gaussian,True,ece_15,0.270575510920815
UF,silent_gaussian,True,ece_20,0.27067890771580166
UF,silent_gaussian,True,nll,2.438031172949296
UF,stuck_at,False,adaptive_ece_15,0.19793243814809508
UF,stuck_at,False,brier,0.6463121357635397
UF,stuck_at,False,ece_10,0.1979186480753909
UF,stuck_at,False,ece_15,0.19799954016461596
UF,stuck_at,False,ece_20,0.19803126067107524
UF,stuck_at,False,nll,1.643084444751708
UF,stuck_at,True,adaptive_ece_15,0.18926568726038404
UF,stuck_at,True,brier,0.642004549928963
UF,stuck_at,True,ece_10,0.1891882793207872
UF,stuck_at,True,ece_15,0.189379548066655
UF,stuck_at,True,ece_20,0.18933910640258778
UF,stuck_at,True,nll,1.6149704520912702
