building,seed,method,true,predicted,count
hospital,101,HGB-current,1,0,236
hospital,101,HGB-current,1,1,1259
hospital,101,HGB-lag,0,0,7860
hospital,101,HGB-lag,0,1,7
hospital,101,HGB-lag,1,0,267
hospital,101,HGB-lag,1,1,1228
hospital,102,EF-PD,0,0,7867
hospital,102,EF-PD,0,1,0
hospital,102,EF-PD,1,0,248
hospital,102,EF-PD,1,1,1247
hospital,102,UF-PD,0,0,7819
hospital,102,UF-PD,0,1,48
hospital,102,UF-PD,1,0,250
hospital,102,UF-PD,1,1,1245
hospital,102,CAGF,0,0,7864
hospital,102,CAGF,0,1,3
hospital,102,CAGF,1,0,275
hospital,102,CAGF,1,1,1220
hospital,102,ENT-PD,0,0,7846
hospital,102,ENT-PD,0,1,21
hospital,102,ENT-PD,1,0,261
hospital,102,ENT-PD,1,1,1234
hospital,102,PDRF-NOQ,0,0,7867
hospital,102,PDRF-NOQ,0,1,0
hospital,102,PDRF-NOQ,1,0,272
hospital,102,PDRF-NOQ,1,1,1223
hospital,102,RC-PDRF-NOQ,0,0,7867
hospital,102,RC-PDRF-NOQ,0,1,0
hospital,102,RC-PDRF-NOQ,1,0,272
hospital,102,RC-PDRF-NOQ,1,1,1223
hospital,102,HGB-current,0,0,7845
hospital,102,HGB-current,0,1,22
hospital,102,HGB-current,1,0,228
hospital,102,HGB-current,1,1,1267
hospital,102,HGB-lag,0,0,7858
hospital,102,HGB-lag,0,1,9
hospital,102,HGB-lag,1,0,264
hospital,102,HGB-lag,1,1,1231
hospital,103,EF-PD,0,0,7725
hospital,103,EF-PD,0,1,142
hospital,103,EF-PD,1,0,218
hospital,103,EF-PD,1,1,1277
hospital,103,UF-PD,0,0,7760
hospital,103,UF-PD,0,1,107
hospital,103,UF-PD,1,0,250
hospital,103,UF-PD,1,1,1245
hospital,103,CAGF,0,0,7858
hospital,103,CAGF,0,1,9
hospital,103,CAGF,1,0,193
hospital,103,CAGF,1,1,1302
hospital,103,ENT-PD,0,0,7785
hospital,103,ENT-PD,0,1,82
hospital,103,ENT-PD,1,0,261
hospital,103,ENT-PD,1,1,1234
hospital,103,PDRF-NOQ,0,0,7867
hospital,103,PDRF-NOQ,0,1,0
hospital,103,PDRF-NOQ,1,0,273
hospital,103,PDRF-NOQ,1,1,1222
hospital,103,RC-PDRF-NOQ,0,0,7867
hospital,103,RC-PDRF-NOQ,0,1,0
hospital,103,RC-PDRF-NOQ,1,0,275
hospital,103,RC-PDRF-NOQ,1,1,1220
hospital,103,HGB-current,0,0,7846
hospital,103,HGB-current,0,1,21
hospital,103,HGB-current,1,0,227
hospital,103,HGB-current,1,1,1268
hospital,103,HGB-lag,0,0,7860
hospital,103,HGB-lag,0,1,7
hospital,103,HGB-lag,1,0,267
hospital,103,HGB-lag,1,1,1228
hospital,104,EF-PD,0,0,7837
hospital,104,EF-PD,0,1,30
hospital,104,EF-PD,1,0,182
hospital,104,EF-PD,1,1,1313
hospital,104,UF-PD,0,0,7728
hospital,104,UF-PD,0,1,139
hospital,104,UF-PD,1,0,249
hospital,104,UF-PD,1,1,1246
hospital,104,CAGF,0,0,7861
hospital,104,CAGF,0,1,6
hospital,104,CAGF,1,0,273
hospital,104,CAGF,1,1,1222
hospital,104,ENT-PD,0,0,7739
hospital,104,ENT-PD,0,1,128
hospital,104,ENT-PD,1,0,261
hospital,104,ENT-PD,1,1,1234
hospital,104,PDRF-NOQ,0,0,7867
hospital,104,PDRF-NOQ,0,1,0
hospital,104,PDRF-NOQ,1,0,278
hospital,104,PDRF-NOQ,1,1,1217
hospital,104,RC-PDRF-NOQ,0,0,7867
hospital,104,RC-PDRF-NOQ,0,1,0
hospital,104,RC-PDRF-NOQ,1,0,290
hospital,104,RC-PDRF-NOQ,1,1,1205
hospital,104,HGB-current,0,0,7837
hospital,104,HGB-current,0,1,30
hospital,104,HGB-current,1,0,234
hospital,104,HGB-current,1,1,1261
hospital,104,HGB-lag,0,0,7853
hospital,104,HGB-lag,0,1,14
hospital,104,HGB-lag,1,0,264
hospital,104,HGB-lag,1,1,1231
hospital,105,EF-PD,0,0,7848
hospital,105,EF-PD,0,1,19
hospital,105,EF-PD,1,0,185
hospital,105,EF-PD,1,1,1310
hospital,105,UF-PD,0,0,7865
hospital,105,UF-PD,0,1,2
hospital,105,UF-PD,1,0,262
hospital,105,UF-PD,1,1,1233
hospital,105,CAGF,0,0,7864
hospital,105,CAGF,0,1,3
hospital,105,CAGF,1,0,275
hospital,105,CAGF,1,1,1220
hospital,105,ENT-PD,0,0,7867
hospital,105,ENT-PD,0,1,0
hospital,105,ENT-PD,1,0,267
hospital,105,ENT-PD,1,1,1228
hospital,105,PDRF-NOQ,0,0,7867
hospital,105,PDRF-NOQ,0,1,0
hospital,105,PDRF-NOQ,1,0,271
hospital,105,PDRF-NOQ,1,1,1224
hospital,105,RC-PDRF-NOQ,0,0,7867
hospital,105,RC-PDRF-NOQ,0,1,0
hospital,105,RC-PDRF-NOQ,1,0,272
hospital,105,RC-PDRF-NOQ,1,1,1223
hospital,105,HGB-current,0,0,7847
hospital,105,HGB-current,0,1,20
hospital,105,HGB-current,1,0,234
hospital,105,HGB-current,1,1,1261
hospital,105,HGB-lag,0,0,7858
hospital,105,HGB-lag,0,1,9
hospital,105,HGB-lag,1,0,267
hospital,105,HGB-lag,1,1,1228
office,101,EF-PD,0,0,18385
office,101,EF-PD,0,1,384
office,101,EF-PD,1,0,1
office,101,EF-PD,1,1,345
office,101,UF-PD,0,0,18380
office,101,UF-PD,0,1,389
office,101,UF-PD,1,0,63
office,101,UF-PD,1,1,283
office,101,CAGF,0,0,18236
office,101,CAGF,0,1,533
office,101,CAGF,1,0,1
office,101,CAGF,1,1,345
office,101,ENT-PD,0,0,18487
office,101,ENT-PD,0,1,282
office,101,ENT-PD,1,0,78
office,101,ENT-PD,1,1,268
office,101,PDRF-NOQ,0,0,17211
office,101,PDRF-NOQ,0,1,1558
office,101,PDRF-NOQ,1,0,2
office,101,PDRF-NOQ,1,1,344
office,101,RC-PDRF-NOQ,0,0,17265
office,101,RC-PDRF-NOQ,0,1,1504
office,101,RC-PDRF-NOQ,1,0,32
office,101,RC-PDRF-NOQ,1,1,314
office,101,HGB-current,0,0,18112
office,101,HGB-current,0,1,657
office,101,HGB-current,1,0,0
office,101,HGB-current,1,1,346
office,101,HGB-lag,0,0,18161
office,101,HGB-lag,0,1,608
office,101,HGB-lag,1,0,0
office,101,HGB-lag,1,1,346
office,102,EF-PD,0,0,18137
office,102,EF-PD,0,1,632
office,102,EF-PD,1,0,0
office,102,EF-PD,1,1,346
office,102,UF-PD,0,0,18427
office,102,UF-PD,0,1,342
office,102,UF-PD,1,0,71
office,102,UF-PD,1,1,275
office,102,CAGF,0,0,18268
office,102,CAGF,0,1,501
office,102,CAGF,1,0,1
office,102,CAGF,1,1,345
office,102,ENT-PD,0,0,18315
office,102,ENT-PD,0,1,454
office,102,ENT-PD,1,0,42
office,102,ENT-PD,1,1,304
office,102,PDRF-NOQ,0,0,16983
office,102,PDRF-NOQ,0,1,1786
office,102,PDRF-NOQ,1,0,4
office,102,PDRF-NOQ,1,1,342
office,102,RC-PDRF-NOQ,0,0,17014
office,102,RC-PDRF-NOQ,0,1,1755
office,102,RC-PDRF-NOQ,1,0,43
office,102,RC-PDRF-NOQ,1,1,303
office,102,HGB-current,0,0,18107
office,102,HGB-current,0,1,662
office,102,HGB-current,1,0,0
office,102,HGB-current,1,1,346
office,102,HGB-lag,0,0,18136
office,102,HGB-lag,0,1,633
office,102,HGB-lag,1,0,0
office,102,HGB-lag,1,1,346
office,103,EF-PD,0,0,18493
office,103,EF-PD,0,1,276
office,103,EF-PD,1,0,1
office,103,EF-PD,1,1,345
office,103,UF-PD,0,0,18474
office,103,UF-PD,0,1,295
office,103,UF-PD,1,0,108
office,103,UF-PD,1,1,238
office,103,CAGF,0,0,16970
office,103,CAGF,0,1,1799
office,103,CAGF,1,0,0
office,103,CAGF,1,1,346
office,103,ENT-PD,0,0,18536
office,103,ENT-PD,0,1,233
office,103,ENT-PD,1,0,109
office,103,ENT-PD,1,1,237
office,103,PDRF-NOQ,0,0,17316
office,103,PDRF-NOQ,0,1,1453
office,103,PDRF-NOQ,1,0,3
office,103,PDRF-NOQ,1,1,343
office,103,RC-PDRF-NOQ,0,0,17178
office,103,RC-PDRF-NOQ,0,1,1591
office,103,RC-PDRF-NOQ,1,0,11
office,103,RC-PDRF-NOQ,1,1,335
office,103,HGB-current,0,0,18180
office,103,HGB-current,0,1,589
office,103,HGB-current,1,0,0
office,103,HGB-current,1,1,346
office,103,HGB-lag,0,0,18135
office,103,HGB-lag,0,1,634
office,103,HGB-lag,1,0,0
office,103,HGB-lag,1,1,346
office,104,EF-PD,0,0,18227
office,104,EF-PD,0,1,542
office,104,EF-PD,1,0,6
office,104,EF-PD,1,1,340
office,104,UF-PD,0,0,18504
office,104,UF-PD,0,1,265
office,104,UF-PD,1,0,117
office,104,UF-PD,1,1,229
office,104,CAGF,0,0,18672
office,104,CAGF,0,1,97
office,104,CAGF,1,0,34
office,104,CAGF,1,1,312
office,104,ENT-PD,0,0,18502
office,104,ENT-PD,0,1,267
office,104,ENT-PD,1,0,99
office,104,ENT-PD,1,1,247
office,104,PDRF-NOQ,0,0,17309
office,104,PDRF-NOQ,0,1,1460
