dataset,task,seed,method,environment,fault_type,group,scale,prevalence,subset,metric,value
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,accuracy,0.5552135436706426
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,macro_f1,0.5346707690952518
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,macro_auroc,0.8406844417475048
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,macro_auprc,0.6008800451040965
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,nll,1.6623480499572374
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,brier,0.640703331799451
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,ece15,0.2083184074878509
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,accuracy,0.5286434463794684
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,macro_f1,0.4974460782646906
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,macro_auroc,0.8220083596460227
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,macro_auprc,0.5558054180147316
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,nll,1.7124221249725227
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,brier,0.6813555097250494
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,ece15,0.21962929980045715
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,accuracy,0.5105053946621237
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,macro_f1,0.4608420480318102
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,macro_auroc,0.8046373428705746
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,macro_auprc,0.5131360824665915
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,nll,1.7552579601818885
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,brier,0.7131432526441944
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,ece15,0.21718891260300355
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,accuracy,0.5409143296196696
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,macro_f1,0.5151544267504827
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,macro_auroc,0.835671358553538
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,macro_auprc,0.585571337316754
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,nll,1.683442522281899
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,brier,0.6598502406967688
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,ece15,0.2212928512258526
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,accuracy,0.5316223648029331
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,macro_f1,0.5011290723528737
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,macro_auroc,0.8291394900705548
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,macro_auprc,0.5544665290200949
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,nll,1.7990219579941744
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,brier,0.670662981282865
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,ece15,0.2213747177945704
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,accuracy,0.4784853700516351
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,macro_f1,0.44661152360612194
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,macro_auroc,0.8101059345357767
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,macro_auprc,0.5186682019791374
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,nll,2.0885737321847424
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,brier,0.7341285005661365
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,ece15,0.25745581467467626
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,accuracy,0.566959175887066
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,macro_f1,0.5382376274907578
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,macro_auroc,0.8469195323391842
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,macro_auprc,0.5988947048020992
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,nll,1.6064661615751894
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,brier,0.6284575634611397
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,ece15,0.19738032691854412
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,accuracy,0.5309349220898258
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,macro_f1,0.49916095414369416
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,macro_auroc,0.8310217528108758
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,macro_auprc,0.5677851257487964
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,nll,1.7324849939937723
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,brier,0.6667841347171363
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,ece15,0.22435249063834264
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,accuracy,0.48804891606448025
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,macro_f1,0.44881341102307903
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,macro_auroc,0.8213684425899231
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,macro_auprc,0.5360455496744349
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,nll,1.8042057511619032
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,brier,0.70415435766222
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,ece15,0.24841687717724006
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,accuracy,0.5610136452241715
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,macro_f1,0.5340620281900822
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,macro_auroc,0.8389593136819472
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,macro_auprc,0.592255479494134
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,nll,1.6821825993951491
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,brier,0.6405739861486351
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,ece15,0.2074746045801375
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,accuracy,0.553391384051329
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,macro_f1,0.5249419785364182
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,macro_auroc,0.8378345296415076
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,macro_auprc,0.573561889327383
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,nll,1.6871458355112727
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,brier,0.6485501856697364
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,ece15,0.21143306085650357
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,accuracy,0.5453527435610303
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,macro_f1,0.506968745951563
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,macro_auroc,0.8388397037690739
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,macro_auprc,0.5578288510818276
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,nll,1.7735582458632115
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,brier,0.6649839783631285
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,ece15,0.23284499470691
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,accuracy,0.5589604344453064
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,macro_f1,0.5353664746091021
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,macro_auroc,0.8400374852463668
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,macro_auprc,0.5998002018619201
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,nll,1.62728060475543
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,brier,0.6371650988774951
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,ece15,0.19659914460128552
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,accuracy,0.5458295142071494
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,macro_f1,0.5210374168311535
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,macro_auroc,0.8356122748862272
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,macro_auprc,0.5779752598956266
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,nll,1.690614076504611
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,brier,0.6499017704532305
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,ece15,0.20821250187050414
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,accuracy,0.5080738177623991
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,macro_f1,0.48949120895903464
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,macro_auroc,0.8143538785043251
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,macro_auprc,0.5432470890956862
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,nll,1.873209354511685
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,brier,0.6941904995926824
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,ece15,0.2279677679364794
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,accuracy,0.570722433460076
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,macro_f1,0.5399489374690326
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,macro_auroc,0.8488472248219918
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,macro_auprc,0.6041644837138561
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,nll,1.5702261631721903
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,brier,0.6207015208989302
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,ece15,0.19518753119068
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,accuracy,0.5258936755270394
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,macro_f1,0.5015245308620814
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,macro_auroc,0.8147623765000916
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,macro_auprc,0.5396996267012887
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,nll,1.9388737807885348
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,brier,0.7149424179872592
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,ece15,0.24314566537068594
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,accuracy,0.4494252873563218
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,macro_f1,0.4289621407167001
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,macro_auroc,0.7713727784275419
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,macro_auprc,0.45866776708357654
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,nll,2.449575123701528
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,brier,0.8688088829811851
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,ece15,0.33357218163109376
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,accuracy,0.5766006097560976
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,macro_f1,0.5485544324469397
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,macro_auroc,0.84655043106266
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,macro_auprc,0.606121070440059
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,nll,1.6002227378508023
