pool,contrast,subset,metric,aligned_difference,ci_low,ci_high,reps
calibration_stacking,PDRF_AUC-CAGF,all,macro_auprc,0.013471956797675655,0.002598410773833379,0.023910155920799675,5000
calibration_stacking,PDRF_AUC-CAGF,all,macro_auroc,-0.0028639399947136823,-0.007501368662509095,0.0017718880592387182,5000
calibration_stacking,PDRF_AUC-CAGF,all,nll,-0.48164144991571045,-0.5409759817307465,-0.4201173805954388,5000
calibration_stacking,PDRF_AUC-CAGF,affected,accuracy,-0.031161473087818692,-0.052691218130311634,-0.010198300283286055,5000
calibration_stacking,PDRF_AUC-CAGF,affected,macro_f1,-0.01356396183418812,-0.03497254722524702,0.007541002575125294,5000
calibration_stacking,PDRF_AUC-CAGF,affected,macro_auprc,-0.024002770742759916,-0.04390032153966114,-0.004616287586146933,5000
calibration_stacking,PDRF_AUC-CAGF,affected,macro_auroc,-0.021402975925403078,-0.030083141919663988,-0.012499692251622797,5000
calibration_stacking,PDRF_AUC-CAGF,affected,nll,-0.7453361098324607,-0.862895383750652,-0.635983633286683,5000
calibration_stacking,PDRF_AUC-CAGF,unaffected,accuracy,0.03732204694113128,0.023855328972681722,0.05078876490958062,5000
calibration_stacking,PDRF_AUC-CAGF,unaffected,macro_f1,0.035556842004106026,0.02200742639863466,0.04897146314122007,5000
calibration_stacking,PDRF_AUC-CAGF,unaffected,macro_auprc,0.0379920145760162,0.027231098126226594,0.048632738709969044,5000
calibration_stacking,PDRF_AUC-CAGF,unaffected,macro_auroc,0.009225808397669177,0.004743139832065674,0.014029015695355071,5000
calibration_stacking,PDRF_AUC-CAGF,unaffected,nll,-0.302564468479364,-0.3628809725677802,-0.2417938035295236,5000
stacking_dirichlet,PDRF-CAGF,all,accuracy,0.010769935838680134,-0.0025206232813932417,0.02452451879010078,5000
stacking_dirichlet,PDRF-CAGF,all,macro_f1,0.04349411251050522,0.03012408827142884,0.056791990849186284,5000
stacking_dirichlet,PDRF-CAGF,all,macro_auprc,0.01491971601729225,0.0029015016923241103,0.026691552778084326,5000
stacking_dirichlet,PDRF-CAGF,all,macro_auroc,-0.000633299409740995,-0.006321228139843873,0.0048368013120990315,5000
stacking_dirichlet,PDRF-CAGF,all,nll,0.02870145726476725,-0.038366629036472435,0.0949126713290077,5000
stacking_dirichlet,PDRF-CAGF,affected,accuracy,0.0,-0.024362606232294637,0.02436260623229458,5000
stacking_dirichlet,PDRF-CAGF,affected,macro_f1,0.03670176711557205,0.012367035072075762,0.060488706219101844,5000
stacking_dirichlet,PDRF-CAGF,affected,macro_auprc,-0.01311555662030861,-0.032570291193249896,0.006091144235060473,5000
stacking_dirichlet,PDRF-CAGF,affected,macro_auroc,-0.012134946057382967,-0.02230403674027771,-0.0023098553718457907,5000
stacking_dirichlet,PDRF-CAGF,affected,nll,-0.026373809729134834,-0.15189306086211263,0.10289535080215849,5000
