seed,method,subset,metric,value
102,RO-PDRF interior=.001,affected,ece15,0.2982309496943066
102,RO-PDRF interior=.001,unaffected,accuracy,0.590227010388611
102,RO-PDRF interior=.001,unaffected,macro_f1,0.5529235332211747
102,RO-PDRF interior=.001,unaffected,macro_auroc,0.8700930744362857
102,RO-PDRF interior=.001,unaffected,macro_auprc,0.6465816766820959
102,RO-PDRF interior=.001,unaffected,nll,1.5803940452863334
102,RO-PDRF interior=.001,unaffected,brier,0.5855362890458612
102,RO-PDRF interior=.001,unaffected,ece15,0.19818731813923404
102,RO-PDRF interior=.020,all,accuracy,0.5529330889092575
102,RO-PDRF interior=.020,all,macro_f1,0.5317538679027002
102,RO-PDRF interior=.020,all,macro_auroc,0.8440446484811908
102,RO-PDRF interior=.020,all,macro_auprc,0.5981655306570196
102,RO-PDRF interior=.020,all,nll,1.9277305894780077
102,RO-PDRF interior=.020,all,brier,0.6611042746154157
102,RO-PDRF interior=.020,all,ece15,0.24795695021407088
102,RO-PDRF interior=.020,affected,accuracy,0.49745042492917846
102,RO-PDRF interior=.020,affected,macro_f1,0.4908694974833007
102,RO-PDRF interior=.020,affected,macro_auroc,0.8063704153075105
102,RO-PDRF interior=.020,affected,macro_auprc,0.5349179609703103
102,RO-PDRF interior=.020,affected,nll,2.404479381545757
102,RO-PDRF interior=.020,affected,brier,0.7710737699872305
102,RO-PDRF interior=.020,affected,ece15,0.3082467622020765
102,RO-PDRF interior=.020,unaffected,accuracy,0.5906117737591381
102,RO-PDRF interior=.020,unaffected,macro_f1,0.5537195760730841
102,RO-PDRF interior=.020,unaffected,macro_auroc,0.87198349886399
102,RO-PDRF interior=.020,unaffected,macro_auprc,0.6480124013363525
102,RO-PDRF interior=.020,unaffected,nll,1.6039669811672814
102,RO-PDRF interior=.020,unaffected,brier,0.5864231821447525
102,RO-PDRF interior=.020,unaffected,ece15,0.20751268679520496
103,RO-CAGF KL=0,all,accuracy,0.4873968835930339
103,RO-CAGF KL=0,all,macro_f1,0.47144131705735476
103,RO-CAGF KL=0,all,macro_auroc,0.8013612482785463
103,RO-CAGF KL=0,all,macro_auprc,0.522012276516192
103,RO-CAGF KL=0,all,nll,1.9496994814408977
103,RO-CAGF KL=0,all,brier,0.7487203163696304
103,RO-CAGF KL=0,all,ece15,0.2539161959787665
103,RO-CAGF KL=0,affected,accuracy,0.43909348441926344
103,RO-CAGF KL=0,affected,macro_f1,0.4252162685968348
103,RO-CAGF KL=0,affected,macro_auroc,0.7777308742229477
103,RO-CAGF KL=0,affected,macro_auprc,0.4906625234296244
103,RO-CAGF KL=0,affected,nll,2.2496084200566004
103,RO-CAGF KL=0,affected,brier,0.8426597553817929
