representation,task,fault,subset,metric,CAGF,PDRF_NOQ,PDRF_RCIA_R30_NOQ,final_minus_cagf
linear_resampling,pump,vibration,all,macro_f1,0.8316770585087484,0.9807213823962961,0.9824925834503851,0.15081552494163675
linear_resampling,pump,vibration,all,nll,1.0806896187128903,0.07594376524812471,0.07540592225885746,-1.0052836964540328
linear_resampling,pump,vibration,unaffected,accuracy,0.8277372262773722,0.9751824817518248,0.9751824817518248,0.14744525547445253
linear_resampling,pump,vibration,unaffected,macro_auprc,0.8710208010003473,0.9965068072483028,0.9963702281481753,0.12534942714782804
linear_resampling,pump,vibration,unaffected,macro_auroc,0.9345739723791514,0.9978293521909654,0.9975025240426003,0.0629285516634489
linear_resampling,pump,vibration,unaffected,macro_f1,0.8214885399011976,0.9736223483942794,0.9739050618669243,0.15241652196572664
linear_resampling,pump,vibration,unaffected,nll,1.0720777609362044,0.09510183326549558,0.0979457691116412,-0.9741319918245632
linear_resampling,valve,pressure,affected,accuracy,0.4177215189873418,0.4556962025316455,0.4556962025316455,0.03797468354430372
linear_resampling,valve,pressure,affected,macro_auprc,0.5005004745214107,0.4188751078618389,0.47102975835750477,-0.029470716163905897
linear_resampling,valve,pressure,affected,macro_auroc,0.6970467701732177,0.645054369219846,0.6835651569454471,-0.013481613227770639
linear_resampling,valve,pressure,affected,macro_f1,0.3882861286486037,0.43699622777876873,0.445954899125797,0.05766877047719332
linear_resampling,valve,pressure,affected,nll,4.267747946123943,6.690576478027701,4.834604009465927,0.5668560633419846
linear_resampling,valve,pressure,all,accuracy,0.5724770642201834,0.7165137614678899,0.6972477064220184,0.12477064220183498
linear_resampling,valve,pressure,all,macro_auprc,0.5760681955339485,0.6758012569813971,0.7107924370098998,0.1347242414759513
linear_resampling,valve,pressure,all,macro_auroc,0.7697706962188671,0.8366761033681765,0.8592809018367962,0.0895102056179291
linear_resampling,valve,pressure,all,macro_f1,0.5691595278610068,0.712838590174112,0.6948844574210716,0.12572492956006487
linear_resampling,valve,pressure,all,nll,3.0667638926218435,2.700625325539959,2.049324067578448,-1.0174398250433954
linear_resampling,valve,pressure,unaffected,accuracy,0.660431654676259,0.8647482014388489,0.8345323741007193,0.17410071942446037
linear_resampling,valve,pressure,unaffected,macro_auprc,0.6814832118477663,0.937969379495199,0.9142218509572244,0.23273863910945813
linear_resampling,valve,pressure,unaffected,macro_auroc,0.8271654806898232,0.9765968406200594,0.9668424049012992,0.13967692421147604
linear_resampling,valve,pressure,unaffected,macro_f1,0.6563803693937909,0.8650668760979852,0.8354271295756014,0.17904676018181054
linear_resampling,valve,pressure,unaffected,nll,2.384190221926405,0.43295524606850877,0.4663232372970748,-1.9178669846293301
linear_resampling,valve,vibration,affected,accuracy,0.6246913580246913,0.8839506172839506,0.8444444444444444,0.2197530864197531
linear_resampling,valve,vibration,affected,macro_auprc,0.6787030001895689,0.9627064340154854,0.9422329438783583,0.26352994368878946
